reg_window,z_window,rows,sample_start,sample_end,total_return,annual_return,sharpe,max_drawdown,position_days_pct,trades
24,200,661,2023-07-05,2026-03-27,1.6338884738762642,0.42639613802519905,2.117815702136361,-0.09891616915469459,0.3767019667170953,24
30,250,661,2023-07-05,2026-03-27,1.5336129836647463,0.4062365098943308,2.098362069769491,-0.10554826407864193,0.34190620272314676,16
24,250,661,2023-07-05,2026-03-27,1.3141296949995827,0.3602762458362634,1.9532995319063404,-0.09891616915469448,0.34190620272314676,22
30,120,661,2023-07-05,2026-03-27,2.1794095326501473,0.5283362869943549,1.9444203781834,-0.24030973306350534,0.4462934947049924,32
30,60,661,2023-07-05,2026-03-27,1.9624839669010585,0.4892383589461271,1.8792296478086497,-0.2387097420059241,0.49016641452344933,40
30,200,661,2023-07-05,2026-03-27,1.295018187549756,0.35614572728744176,1.875786029970448,-0.09891616915469448,0.37821482602118,20
18,60,661,2023-07-05,2026-03-27,1.8433567003451006,0.46699154027306355,1.8557156853912087,-0.17620863796168018,0.49016641452344933,42
30,160,661,2023-07-05,2026-03-27,1.4789132686995048,0.3950259317742393,1.7602907750750083,-0.16402903706553007,0.4175491679273828,28
24,50,661,2023-07-05,2026-03-27,1.7127782906339997,0.441917241548373,1.7596113531835225,-0.2266449315569351,0.4750378214826021,38
16,60,661,2023-07-05,2026-03-27,1.5949222875029605,0.4186210070833256,1.6800151052572927,-0.2108034870221589,0.4826021180030257,54
30,50,661,2023-07-05,2026-03-27,1.611165284858246,0.42187098477197527,1.6465283807220623,-0.221141534750942,0.4886535552193646,36
20,60,661,2023-07-05,2026-03-27,1.5113753350144563,0.4016976274307924,1.6323064618766552,-0.2250052357174004,0.49016641452344933,48
24,160,661,2023-07-05,2026-03-27,1.2476871465883712,0.34582153556816064,1.6246275360522116,-0.24016758706859398,0.41603630862329805,30
16,50,661,2023-07-05,2026-03-27,1.4891061741525218,0.3971267345525322,1.616155196898992,-0.19915420679865592,0.4659606656580938,52
24,60,661,2023-07-05,2026-03-27,1.492270345002606,0.3977777757439349,1.609719931826923,-0.22592500481449973,0.4947049924357035,42
18,50,661,2023-07-05,2026-03-27,1.4939203848279394,0.39811707059802615,1.60619180833929,-0.19501940642752702,0.4750378214826021,54
8,250,661,2023-07-05,2026-03-27,1.0526727215409686,0.301765945273091,1.5587815461503574,-0.16787221694051213,0.32526475037821484,62
18,400,661,2023-07-05,2026-03-27,0.3541480985412253,0.11759436484636843,1.519791763622092,-0.08288578008646785,0.16036308623298035,12
24,400,661,2023-07-05,2026-03-27,0.3803513266079277,0.1254768363928016,1.5147388410169584,-0.08288578008646774,0.16792738275340394,10
