index_label,window_years,window_start_actual,window_end,annual,max_dd,sharpe,vol,total_return,win_rate,avg_monthly_member_turnover,peak_date,trough_date,recovery_date
top_100,5,2021-03-18,2026-03-18,0.4670234038202916,-0.4807232556023285,1.518000052604244,0.30765704060357413,5.7860274465149235,0.7540983606557377,0.17448453608247425,2024-01-02,2024-02-07,2024-10-28
top_100,10,2016-03-18,2026-03-18,0.5021168320362013,-0.4807232556023285,1.7623402241212822,0.2849148110924841,57.25642998970483,0.6859504132231405,0.17448453608247425,2024-01-02,2024-02-07,2024-10-28
top_100,15,2011-03-18,2026-03-18,0.6909307689743129,-0.4807232556023284,2.1840858534487797,0.31634780651287087,2630.2967101291206,0.6961325966850829,0.17448453608247425,2024-01-02,2024-02-07,2024-10-28
top_200,5,2021-03-18,2026-03-18,0.42187600543017667,-0.468150911506954,1.4078238859512822,0.29966532720469535,4.804776280391674,0.7213114754098361,0.1402577319587629,2024-01-02,2024-02-07,2024-10-28
top_200,10,2016-03-18,2026-03-18,0.35771367428875434,-0.46815091150695426,1.279778237909001,0.2795122339892372,20.2231228947701,0.6528925619834711,0.1402577319587629,2024-01-02,2024-02-07,2024-10-28
top_200,15,2011-03-18,2026-03-18,0.46967869021757913,-0.4921255731639796,1.5098820527882875,0.3110697881004858,320.4229808077489,0.6519337016574586,0.1402577319587629,2015-06-17,2015-07-08,2015-08-14
top_300,5,2021-03-18,2026-03-18,0.3961195655345462,-0.46436294235876346,1.3517525135671729,0.29304148618833825,4.2980627355197765,0.7213114754098361,0.12185567010309278,2024-01-02,2024-02-07,2024-10-28
top_300,10,2016-03-18,2026-03-18,0.30318992860948324,-0.4643629423587636,1.1028405850175786,0.27491727519680514,13.092079703882844,0.6363636363636364,0.12185567010309278,2024-01-02,2024-02-07,2024-10-28
top_300,15,2011-03-18,2026-03-18,0.38821538646016895,-0.5132062945683792,1.2592422386144912,0.30829285625560926,135.7036890033394,0.6408839779005525,0.12185567010309278,2015-06-12,2015-07-08,2015-11-11
top_400,5,2021-03-18,2026-03-18,0.37455067227562955,-0.46014096316448055,1.2987956710663724,0.288383061800711,3.9015218552950106,0.6885245901639344,0.10582474226804124,2024-01-02,2024-02-07,2024-10-28
top_400,10,2016-03-18,2026-03-18,0.2645945563081795,-0.46014096316448017,0.9727410133053486,0.2720092529141895,9.436049578294343,0.6033057851239669,0.10582474226804124,2024-01-02,2024-02-07,2024-10-28
top_400,15,2011-03-18,2026-03-18,0.32775960871760756,-0.5275423994657346,1.0707938412842637,0.306090300561037,69.12369911350464,0.6077348066298343,0.10582474226804124,2015-06-12,2015-07-08,2015-11-20
