hedge_ratio,window_years,start_date,end_date,annual,max_dd,sharpe,vol,total_return
0.5,1,2025-04-09,2026-04-09,0.4505227454912655,-0.15982919955718708,2.6855054864378793,0.16776087323837494,0.45015353565704497
0.6,1,2025-04-09,2026-04-09,0.41990408826279024,-0.15245060431233118,2.5730465852361037,0.16319334856669906,0.41956340140850745
0.7,1,2025-04-09,2026-04-09,0.38961663243212086,-0.14505433177144117,2.436310187032481,0.159920782873173,0.3893037158213235
0.8,1,2025-04-09,2026-04-09,0.3596670067673242,-0.1377291471849804,2.2760327774744193,0.15802364989067763,0.35938110674857304
0.9,1,2025-04-09,2026-04-09,0.33006145497953976,-0.1331585928520763,2.094941362731093,0.1575516436170087,0.3298018177813862
1.0,1,2025-04-09,2026-04-09,0.30080583938920147,-0.12861951987126227,1.8976191825237991,0.15851749505880056,0.30057171189464005
1.1,1,2025-04-09,2026-04-09,0.2719056449154629,-0.12411255526817924,1.6899538061729267,0.1608953120033624,0.27169627541527186
1.2,1,2025-04-09,2026-04-09,0.24336598337584703,-0.11963832339118484,1.4783148112513176,0.16462392280968235,0.24318062230027881
1.3,1,2025-04-09,2026-04-09,0.21519159808268218,-0.11519744578748112,1.268711652877754,0.16961426782403555,0.21502949871101484
1.4,1,2025-04-09,2026-04-09,0.187386868723171,-0.11079054107949637,1.066158596642263,0.17575890614522377,0.1872472878706828
1.5,1,2025-04-09,2026-04-09,0.15995581650967283,-0.11294832137537718,0.8743547031605216,0.18294156356851754,0.1598380151916483
0.5,3,2023-04-10,2026-04-09,0.3099704607603917,-0.15982919955718733,1.7185579279857945,0.1803666060437585,1.2466929602381014
0.6,3,2023-04-10,2026-04-09,0.30468379871243867,-0.15245060431233143,1.7866242537319592,0.1705360251748543,1.219620009133903
0.7,3,2023-04-10,2026-04-09,0.2989134172844983,-0.14505433177144153,1.8396062498001728,0.16248771568207476,1.1903190708542661
0.8,3,2023-04-10,2026-04-09,0.29266735252767284,-0.13772914718498075,1.8701160324567012,0.15649689508474335,1.158894479127491
