date,return,weight,target_weight_next,mom8_signal_on,bias20_10_signal_on,nav
2010-02-22,0.0,0.0,1.0,True,True,1.0
2010-02-23,-0.0061349269750042065,1.0,0.5,True,False,0.9938650730249958
2010-02-24,0.0008286246956775547,0.5,0.5,True,False,0.9946886141686756
2010-02-25,-0.000882381163117135,0.5,0.0,False,False,0.9938109196723661
2010-02-26,0.0,0.0,0.5,True,False,0.9938109196723661
2010-03-01,0.001487729560260648,0.5,0.5,True,False,0.9952894415548725
2010-03-02,0.002976652705226385,0.5,0.5,True,False,0.9982520725635601
2010-03-03,-0.0009914349123803122,0.5,1.0,True,True,0.9972623706074646
2010-03-04,-0.0004142020697209034,1.0,1.0,True,True,0.9968493024695042
2010-03-05,0.00814304895699688,1.0,1.0,True,True,1.0049666951422616
2010-03-08,0.001504686640789699,1.0,1.0,True,True,1.0064788551028807
2010-03-09,-1.2509069111687739e-05,1.0,1.0,True,True,1.0064662649893228
2010-03-10,0.003892122973916135,1.0,1.0,True,True,1.0103835554617593
2010-03-11,0.009474220676232237,1.0,1.0,True,True,1.01995615223384
2010-03-12,0.0038814430821309757,1.0,1.0,True,True,1.023915053985005
2010-03-15,-0.0017880562770198668,1.0,1.0,True,True,1.022084236245592
2010-03-16,0.0007621923749587482,1.0,1.0,True,True,1.0228632610570239
2010-03-17,-0.0028524343737204357,1.0,1.0,True,True,1.019945610731569
2010-03-18,0.0034582706363861185,1.0,1.0,True,True,1.023472858687873
2010-03-19,0.002619923021709625,1.0,1.0,True,True,1.0261542787924443
2010-03-22,0.006371759139016409,1.0,1.0,True,True,1.0326926866963808
2010-03-23,0.0008596727638502059,1.0,1.0,True,True,1.0335804644725608
2010-03-24,5.8760432790816734e-05,1.0,0.5,True,False,1.0336411981079774
2010-03-25,0.002339917924195173,0.5,0.5,True,False,1.0360598336746167
2010-03-26,-0.002186839037921845,0.5,0.5,True,False,1.0337941375847144
2010-03-29,-0.0015075766320507165,0.5,0.5,True,False,1.0322356137005406
2010-03-30,0.0016309788179898867,0.5,0.5,True,False,1.0339191681216608
2010-03-31,0.001915521332813347,0.5,0.5,True,False,1.0358996623446024
2010-04-01,-0.0022476993768214713,0.5,0.5,True,False,1.033571271319101
2010-04-02,0.0012504906389840644,0.5,0.5,True,False,1.0348637425186085
2010-04-06,0.0028715372599597945,0.5,0.5,True,False,1.037835392314232
2010-04-07,0.002131532547416809,0.5,0.5,True,False,1.0400475722318108
2010-04-08,-0.00027218503963212775,0.5,0.5,True,False,1.0397644868421436
2010-04-09,0.0004155963776298734,0.5,0.5,True,False,1.0401966091964634
2010-04-12,0.0010763158473067027,0.5,1.0,True,True,1.0413161892912561
2010-04-13,-0.0040955767011546015,1.0,0.5,True,False,1.0370513989678598
2010-04-14,-0.0019185257883144345,0.5,0.5,True,False,1.0350617891151324
2010-04-15,0.002214758725517002,0.5,0.5,True,False,1.0373542012440244
2010-04-16,-0.0005986921608918836,0.5,0.5,True,False,1.0367331454156714
2010-04-19,0.0003622386889246378,0.5,0.5,True,False,1.0371086902710314
2010-04-20,-0.0040283983290126,0.5,0.0,False,False,1.032930803356139
2010-04-21,0.0,0.0,0.0,False,False,1.032930803356139
2010-04-22,0.0,0.0,0.0,False,False,1.032930803356139
2010-04-23,0.0,0.0,0.0,False,False,1.032930803356139
