rank,weekday_anchor,signal_weekday,effective_weekday,net_annual,net_max_dd,net_sharpe,net_total_return,total_cost_sum,entry_exit_cost_sum,rebalance_cost_sum,rebalance_events,avg_turnover_frac_one_side,first_rebalance_dates_sample
1,Tuesday,Tuesday,Wednesday,0.6989310506112569,-0.15894217837021773,5.140746018683313,5178.900346703397,0.7974,0.549,0.2484,420,0.12835714285714284,"2010-01-04, 2010-01-12, 2010-01-26, 2010-02-09, 2010-02-23, 2010-03-09"
2,Wednesday,Wednesday,Thursday,0.685163854379701,-0.15179274142983837,5.052792219904618,4541.550678252985,0.82212,0.57,0.25212,420,0.1280952380952381,"2010-01-04, 2010-01-13, 2010-01-27, 2010-02-10, 2010-02-24, 2010-03-10"
3,Thursday,Thursday,Friday,0.6786561192850058,-0.1748344675626238,5.04225417288121,4266.596898311162,0.83394,0.573,0.26094000000000006,420,0.12985714285714287,"2010-01-04, 2010-01-14, 2010-01-28, 2010-02-11, 2010-02-25, 2010-03-11"
4,Friday,Friday,Monday,0.6843157946053726,-0.14925073074680698,4.946472175969096,4504.801245661052,0.89316,0.633,0.26016000000000006,418,0.130622009569378,"2010-01-04, 2010-01-15, 2010-01-29, 2010-02-12, 2010-02-26, 2010-03-12"
5,Monday,Monday,Tuesday,0.644529295308834,-0.13935369266781078,4.884315491819151,3062.6582221862086,0.85314,0.597,0.25614000000000003,414,0.13132850241545893,"2010-01-04, 2010-01-18, 2010-02-01, 2010-02-22, 2010-03-08, 2010-03-22"
