date,A_1_100,B_101_200,C_201_300,D_301_400
2010-01-04,1000.0,1000.0,1000.0,1000.0
2010-01-05,1010.1236937358398,1010.6238230235465,1008.6193686302524,1012.9963534952465
2010-01-06,1008.3579468005244,1006.5604989190999,1002.8589460640354,1010.190240637204
2010-01-07,988.5156469700214,986.7302767021176,980.7026195040806,992.8247087293483
2010-01-08,997.6646642717226,999.9717908656845,995.9376095313455,998.4226975815549
2010-01-11,1004.1406039163485,1010.5149841187656,1006.0608187334353,1008.6017033516173
2010-01-12,1025.0453776779857,1030.2161135032231,1027.5554545371567,1032.8741810658526
2010-01-13,1015.463527452709,1023.4336940350706,1020.6346594894748,1024.587748352726
2010-01-14,1043.2445328377332,1048.080824089556,1048.4263269942523,1054.5290834541
2010-01-15,1051.8307274592703,1056.0939935490408,1054.9032834536722,1066.0942064259934
2010-01-18,1070.3950696358047,1074.242660416903,1072.252048278592,1078.249714879683
2010-01-19,1070.9879161193473,1075.5357977963747,1070.9885479818122,1078.0957906003475
2010-01-20,1033.5079594057602,1035.7976173165634,1032.2191041232875,1035.1603553055497
2010-01-21,1047.6055029467755,1046.630869979415,1040.8478810121856,1042.1905711024974
2010-01-22,1025.1376804967776,1015.4554268819508,1010.3702089482873,1007.0601455049019
2010-01-25,1011.9724366375714,1002.5389481863942,1001.2470489898673,990.9156044760248
2010-01-26,966.4196174473724,963.0484472101468,963.8254180501731,953.8545215217248
2010-01-27,957.7157422508823,957.3297155163776,954.3618937506258,945.495459057001
2010-01-28,969.1331701564977,968.0202230151365,966.3084907866494,955.8223108329586
2010-01-29,979.4363198507231,977.8835813804809,974.3872501568173,964.423845449766
2010-02-01,968.3365475307016,962.7054942137856,955.3894943899002,948.2963978400297
2010-02-02,969.3785967319889,959.7855277441629,949.5439237436234,944.886656910511
2010-02-03,987.6425361591155,979.0951029051953,960.3474657193699,964.327848878158
2010-02-04,998.5630148402649,993.6479598876374,970.2686592163191,974.2511981006768
2010-02-05,987.8905260815503,979.7954626653694,951.9609060941832,954.2011817700728
2010-02-08,991.370181761777,983.6506291814085,957.2001403861339,956.1838471835562
2010-02-09,991.0886200450062,980.0382177208494,960.3886088833825,957.2422615305354
2010-02-10,1003.8563821930159,994.5480091182421,973.1340129013936,971.5057612580407
2010-02-11,1001.2157187391512,990.1722775491113,969.9680988021594,967.3337923630389
2010-02-12,1012.4073995480459,1003.70618415232,979.1575795324377,978.6822956332559
2010-02-22,1017.8398159149124,1008.2479030161733,981.1054139460592,985.4600937755779
2010-02-23,1028.4774849246403,1021.1237270972015,992.3818764579823,999.8644443009028
2010-02-24,1052.4758100635966,1044.0035852707351,1016.5253475709692,1024.521701335169
2010-02-25,1070.6464937541105,1059.2627069277623,1034.5604577428464,1040.820543673909
2010-02-26,1081.1207390438917,1064.8213256218205,1034.4266522514183,1047.0662800250068
2010-03-01,1100.5882784261785,1083.3526108779931,1050.2485520576638,1065.5732518805944
2010-03-02,1108.1115689778483,1087.2507144533038,1048.307883730702,1069.64645008571
2010-03-03,1121.2244115615479,1105.7124126159797,1058.5727033768687,1081.97323224013
2010-03-04,1081.1387699588133,1062.6392392453445,1016.8916189652349,1041.97995803908
2010-03-05,1090.152157902869,1069.492219422738,1020.7865770304572,1046.8003275000112
2010-03-08,1106.0682452824672,1081.0486237945117,1035.1952948709145,1065.330640246504
2010-03-09,1107.76040691795,1081.522657494989,1041.7769389989137,1064.3941237123172
2010-03-10,1100.0449595561024,1071.052357585958,1033.404305546209,1055.2909649306305
2010-03-11,1104.9143086190347,1069.4831777473853,1034.5934423176473,1053.1968618496176
2010-03-12,1091.9791373900337,1051.85575470037,1020.7956531714577,1039.2641364923822
2010-03-15,1082.1645120164594,1043.2350731196927,1015.2465607359788,1034.9671675095228
2010-03-16,1097.0801448550271,1059.4274376132685,1025.0934538621234,1046.3803153573576
2010-03-17,1123.018814322253,1086.3926993397263,1051.190641250796,1073.602146158389
2010-03-18,1130.0285678816742,1096.0260237049454,1054.8023419828664,1080.5521986356646
2010-03-19,1142.3949179323552,1106.2184954346753,1062.6350942638003,1089.77345410065
2010-03-22,1160.4373960182263,1117.3655530359163,1070.961881753466,1098.1814313898444
2010-03-23,1155.071635995872,1114.952996507826,1065.8982657164386,1090.4360774779495
2010-03-24,1158.3180377121791,1123.2581275405116,1075.6839675940719,1096.6173375103458
2010-03-25,1146.488382126177,1109.464421925308,1064.766416820461,1085.1686990285823
2010-03-26,1157.417105700483,1125.0733213011465,1074.5197359961014,1098.102978185606
2010-03-29,1161.1251267772577,1130.3506291239744,1077.4741341930567,1104.8034433402142
2010-03-30,1172.540946876635,1141.0126824538868,1090.478057721219,1115.7241800393488
2010-03-31,1182.6680308909267,1148.1182185649027,1094.5992085638945,1125.5309816175786
2010-04-01,1197.8716240776432,1166.1985079573494,1110.6283528679035,1143.7663059074312
2010-04-02,1205.7503362831962,1174.1893370082269,1112.7292663257867,1143.7163274214076
2010-04-06,1217.8153757039684,1185.426668139983,1122.4805844367118,1152.0994547317694
2010-04-07,1225.6885545867663,1194.9150164842902,1129.7022255853274,1160.68943375802
2010-04-08,1226.5375598344624,1201.7669405694196,1122.4321450297052,1156.5858720734795
2010-04-09,1246.4553323228095,1220.6260894878324,1142.238232638658,1176.192627226633
2010-04-12,1263.6436703443758,1239.3453453381426,1159.9776111136655,1192.877446692621
2010-04-13,1234.2862432225477,1211.869933189678,1129.6487062151275,1158.7266489295582
2010-04-14,1251.0197364171609,1229.3974605821631,1142.8991278569583,1159.7456064594703
2010-04-15,1244.6325482507368,1215.1269022294236,1127.6316704277233,1141.2175694544333
2010-04-16,1242.1731037307588,1215.0033291507325,1121.700314494633,1139.1353158230172
2010-04-19,1190.6737109747648,1167.505346400125,1074.6220702536777,1093.2743425240185
2010-04-20,1198.527117414135,1181.2577756525013,1078.357520653004,1098.9379491202722
2010-04-21,1230.6288280295428,1216.5466447659835,1110.730494878118,1132.3507642872235
2010-04-22,1238.4585521806039,1221.304073344813,1120.5199949999057,1138.8327949317381
2010-04-23,1228.6551653938197,1213.323972754548,1117.5377983101232,1127.5764453405761
2010-04-26,1225.4869849415309,1207.5459067135055,1113.5294684251353,1125.843197687881
