hedge_ratio,annual,max_dd,sharpe,vol,total_return,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,active_days_pct,peak_date,trough_date,recovery_date
0.5,0.2596079878021369,-0.24151907153124955,1.7647153286389456,0.14711040562126365,40.86767549885536,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2015-06-12,2015-07-15,2015-11-06
0.6,0.25489917602066514,-0.20185004179213836,1.9319563963805046,0.1319383690533676,38.405766565183995,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2015-06-12,2015-07-15,2015-10-29
0.7,0.24954954868707335,-0.16067593372597072,2.092684256838551,0.11924854304780384,35.773831957572014,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2015-06-15,2015-07-15,2015-10-13
0.8,0.24356939629375352,-0.1377291471849807,2.2161988466448452,0.10990412555376015,33.02727021842104,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2026-02-06,2026-04-07,
0.9,0.2369698470271815,-0.13793812066512573,2.2610804587061093,0.1048038101053627,30.22014616966115,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2022-04-22,2022-07-15,2022-09-02
1.0,0.2297628369280571,-0.14728587821533332,2.197206019429817,0.10457045670559442,27.403534670983454,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2021-04-16,2021-11-29,2022-01-10
1.1,0.22196107853566893,-0.16522501052409486,2.03195448719771,0.10923526089493167,24.624126909411768,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2021-04-16,2021-11-29,2022-01-11
1.2,0.2135780281200772,-0.18289565685814807,1.8066178913583908,0.11821981235859924,21.92314269194912,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2021-04-16,2021-11-29,2022-01-13
1.3,0.20462785160840036,-0.20924270782987917,1.5663988740063766,0.13063585208346323,19.335570960920666,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2014-11-14,2015-05-12,2015-07-31
1.4,0.19512538931413914,-0.3220777499181555,1.3400714410969974,0.1456081991825804,16.889740223228078,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2012-11-29,2015-05-21,2015-09-01
1.5,0.18508611958033416,-0.43042364008588707,1.1394718946029165,0.16243149169101098,14.607202158695152,0.6900000000000001,0.24272999999999578,0.9327299999999958,0.754582484725051,2012-11-29,2015-05-21,2016-01-04
