date,return_raw,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,ratio_bias_mom,ratio_r2,futures_drag,active_spread_ret,weight,realized_vol,scale_raw,return,nav,momentum_gap_exit_buffer
2010-02-09,0.0,cash,long_microcap_short_zz1000,True,946.806967930858,4277.33,-0.002705086913728616,-0.0002921530040340681,-0.07619261191028459,-0.09647553363399208,0.020282921723707492,,0.7369038870162125,0.0,0.0,1.0,,,0.0,1.0,0.0
2010-02-10,0.004809750666304398,long_microcap_short_zz1000,long_microcap_short_zz1000,True,960.9894825654565,4330.42,0.01497930952662152,0.012411948575396403,-0.06267932285175004,-0.08649600776297606,0.023816684911226016,,0.690369880146562,0.00023999999999999998,0.0050497506663043975,1.0,,,0.004809750666304398,1.0048097506663043,0.0
2010-02-11,-0.0029311342841914986,long_microcap_short_zz1000,long_microcap_short_zz1000,True,954.2685919194472,4307.13,-0.0069937192528550796,-0.005378231210829476,-0.03747053598804151,-0.060962555186133915,0.023492019198092406,,0.2310333866771842,0.00023999999999999998,-0.002691134284191499,1.0,,,-0.0029311342841914986,1.0018645183570365,0.0
2010-02-12,-0.00010513338846534462,long_microcap_short_zz1000,long_microcap_short_zz1000,True,964.8812999107744,4366.28,0.011121300733560213,0.013733042652531946,-0.037040883551692994,-0.05213364796599551,0.015092764414302517,,0.4271235742036356,0.00023999999999999998,0.00013486661153465536,1.0,,,-0.00010513338846534462,1.0017591889454385,0.0
2010-02-22,-0.0012275042009392931,long_microcap_short_zz1000,long_microcap_short_zz1000,True,968.5974413991934,4392.69,0.003851397564407888,0.006048627206683976,-0.008904765209150844,-0.01757662235422519,0.008671857145074346,,0.5906318349719583,0.00023999999999999998,-0.0009875042009392931,1.0,,,-0.0012275042009392931,1.0005295253326785,0.0
2010-02-23,-0.0011432264090508505,long_microcap_short_zz1000,long_microcap_short_zz1000,True,980.3423557324098,4464.23,0.012125692089636653,0.01628614812335938,0.015628800289508193,0.012976964130118951,0.0026518361593892426,,0.9745054880894441,0.00023999999999999998,-0.0009032264090508505,1.0,,,-0.0011432264090508505,0.999385693556283,0.0
2010-02-24,0.007070319646915042,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1004.2740704692078,4559.66,0.024411589070757467,0.02137658677980303,0.0873894632570722,0.07871415255480341,0.00867531070226879,,0.7276199939441255,0.00023999999999999998,0.0073103196469150415,1.0,,,0.007070319646915042,1.00645166986028,0.0
2010-02-25,0.0010496913091391838,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1020.6168881948156,4645.06,0.016273264645747743,0.018729466670760697,0.11394871750222157,0.10738253433556721,0.00656618316665436,,0.5938693168032426,0.00023999999999999998,0.0012896913091391838,1.0,,,0.0010496913091391838,1.0075081334312008,0.0
2010-02-26,0.005116510704516327,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1027.5392649006976,4653.34,0.006782541799916553,0.001782538869250283,0.10494357496223294,0.09540870613271069,0.009534868829522258,,0.05324626297954013,0.00023999999999999998,0.0053565107045163264,1.0,,,0.005116510704516327,1.0126630595807888,0.0
2010-03-01,0.007593606863565289,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1047.6982394749632,4721.89,0.019618690266024696,0.014731354253074258,0.11247522300775059,0.10059156426560278,0.011883658742147807,,0.7565092772635253,0.00023999999999999998,0.007833606863565289,1.0,,,0.007593606863565289,1.0203528247405007,0.0
2010-03-02,0.002386642440713978,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1050.938306598785,4724.64,0.003092557572154986,0.0005823939143012602,0.13393984421487803,0.11430451486913906,0.019635329345738972,,0.8415031598596328,0.00023999999999999998,0.0026266424407139777,1.0,,,0.002386642440713978,1.0227880420965287,0.0
2010-03-03,0.002682462608881559,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1065.3735344430022,4788.5,0.013735561596317503,0.013516373734294929,0.14884148420950405,0.13324671574996394,0.01559476845954011,,0.9092687263063427,0.00023999999999999998,0.0029224626088815587,1.0,,,0.002682462608881559,1.0255316327762638,0.0
2010-03-04,-0.005762036450103584,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1029.1167335214532,4617.85,-0.03403200825755892,-0.03563746475931917,0.08816014213830647,0.07271118090335538,0.015448961234951097,,0.8674035303477691,0.00023999999999999998,-0.005522036450103584,1.0,,,-0.005762036450103584,1.0196224821274729,0.0
2010-03-05,0.006076523856082857,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1035.5298142694812,4617.36,0.006231635867083529,-0.0001061099862491588,0.08134502439513525,0.058001067771405346,0.0233439566237299,,0.8341929423230747,0.00023999999999999998,0.006316523856082857,1.0,,,0.006076523856082857,1.025818242464319,0.0
