date,return_raw,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,ratio_bias_mom,ratio_r2,futures_drag,active_spread_ret,weight,realized_vol,scale_raw,return,nav
2010-01-15,0.0,cash,cash,False,1051.8307274592703,4658.09,0.008230280007489377,0.010585121385025875,0.0412890361666316,0.04389285178038804,-0.002603815613756444,,0.17274848425800543,0.0,0.0,1.0,,,0.0,1.0
2010-01-18,0.0,cash,cash,False,1070.3950696358047,4734.05,0.01764955300495652,0.01630711300125154,0.06152291756327344,0.06314579136601783,-0.0016228738027443956,,0.012465145244640846,0.0,0.0,1.0,,,0.0,1.0
2010-01-19,0.0,cash,cash,False,1070.9879161193471,4740.45,0.0005538576366426184,0.0013519079857626792,0.08343041347106439,0.08696998046391324,-0.0035395669928488527,,0.5317701122396105,0.0,0.0,1.0,,,0.0,1.0
2010-01-20,0.0,cash,cash,False,1033.5079594057602,4586.75,-0.03499568589848623,-0.03242308219683787,0.03592719720127868,0.03825006734166769,-0.0023228701403890106,,0.6330362557558282,0.0,0.0,1.0,,,0.0,1.0
2010-01-21,0.0,cash,long_microcap_short_zz1000,True,1047.6055029467757,4606.43,0.013640478926859156,0.0042906197198453455,0.04328567021481411,0.03516676629347826,0.008118903921335852,,0.24341370291090314,0.0,0.0,1.0,,,0.0,1.0
2010-01-22,0.007592588291818714,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1025.1376804967776,4471.28,-0.021446835079425464,-0.029339423371244178,9.004754404240423e-05,-0.015483530033468473,0.015573577577510878,,0.6179245946651986,0.0003,0.007892588291818714,1.0,,,0.007592588291818714,1.0075925882918186
2010-01-25,0.0012248352152960055,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1011.9724366375714,4407.04,-0.012842415325935996,-0.014367250541232002,-0.003437928316239014,-0.017452489454487075,0.01401456113824806,,0.8657761992231234,0.0003,0.0015248352152960054,1.0,,,0.0012248352152960055,1.0088267231766297
2010-01-26,-0.004447461315187062,long_microcap_short_zz1000,long_microcap_short_zz1000,True,966.4196174473724,4226.94,-0.04501389320598004,-0.040866431890792976,-0.07364037190915262,-0.08295402772655291,0.00931365581740029,,0.641059246512086,0.0003,-0.004147461315187062,1.0,,,-0.004447461315187062,1.0043400053515747
2010-01-27,-0.001662483100507572,long_microcap_short_zz1000,long_microcap_short_zz1000,True,957.7157422508824,4194.63,-0.009006310550151886,-0.007643827449644314,-0.0894773110838144,-0.09949571605529306,0.010018404971478656,,0.04519623035649928,0.0003,-0.0013624831005075722,1.0,,,-0.001662483100507572,1.002670307065514
2010-01-28,-0.00111142609499385,long_microcap_short_zz1000,long_microcap_short_zz1000,True,969.1331701564976,4248.04,0.011921520553459075,0.012732946648452925,-0.09460235977521914,-0.10266262502508428,0.00806026524986514,,0.7976713067545934,0.0003,-0.0008114260949938501,1.0,,,-0.00111142609499385,1.001555913121566
2010-01-29,0.0003784790538587604,long_microcap_short_zz1000,long_microcap_short_zz1000,True,979.4363198507232,4290.32,0.010631304356822024,0.009952825302963264,-0.08548331394844777,-0.09495512029448683,0.009471806346039058,,0.695780479115891,0.0003,0.0006784790538587604,1.0,,,0.0003784790538587604,1.001934981055951
2010-02-01,9.824294923052064e-05,long_microcap_short_zz1000,long_microcap_short_zz1000,True,968.3365475307016,4239.99,-0.011332816738624962,-0.011731059687855483,-0.06305845183091807,-0.075600370632801,0.012541918801882934,,0.21605947601711795,0.0003,0.0003982429492305206,1.0,,,9.824294923052064e-05,1.002033414103427
2010-02-02,0.004200659348415592,long_microcap_short_zz1000,long_microcap_short_zz1000,True,969.3785967319888,4225.47,0.0010761229697922037,-0.0034245363786233884,-0.07467210318650008,-0.0827017885868232,0.008029685400323117,,0.5601829322308164,0.0003,0.004500659348415592,1.0,,,0.004200659348415592,1.0062426151318054
2010-02-03,-0.0002428358581170517,long_microcap_short_zz1000,long_microcap_short_zz1000,True,987.6425361591156,4304.84,0.01884087340972762,0.018783709267844673,-0.03657571568288476,-0.03722424003864655,0.0006485243557617926,,0.8469748976317146,0.0003,5.716414188294827e-05,1.0,,,-0.0002428358581170517,1.005998263342886
2010-02-04,-0.0030389826745904954,long_microcap_short_zz1000,cash,False,998.5630148402648,4364.23,0.011057116599714645,0.01379609927430514,-0.01325077770088412,-0.009714003049666076,-0.0035367746512180442,,0.36467252656642957,0.0003,-0.0027389826745904955,1.0,,,-0.0030389826745904954,1.0029410520499187
2010-02-05,0.0,cash,long_microcap_short_zz1000,True,987.8905260815504,4281.78,-0.010687847036295106,-0.018892221537361698,0.022216962742219293,0.012973924399210857,0.009243038343008436,,0.5307928493047382,0.0,0.0,1.0,,,0.0,1.0029410520499187
2010-02-08,0.003969661725541107,long_microcap_short_zz1000,long_microcap_short_zz1000,True,991.370181761777,4278.58,0.0035223089890623616,-0.0007473527364787458,0.03514032194124517,0.020013684162846213,0.015126637778398955,,0.6254496769833877,0.0003,0.004269661725541107,1.0,,,0.003969661725541107,1.0069223887572152
2010-02-09,-0.00029185969066928245,long_microcap_short_zz1000,long_microcap_short_zz1000,True,991.0886200450062,4277.33,-0.00028401269470335055,-0.0002921530040340681,0.02265472957133774,0.006894944492048083,0.015759785079289657,,0.7979574846578924,0.0003,8.140309330717521e-06,1.0,,,-0.00029185969066928245,1.0066285087003046
2010-02-10,0.00017061499135092613,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1003.856382193016,4330.42,0.01288256356674733,0.012411948575396403,0.024932771888645844,0.00934662216338178,0.015586149725264065,,0.7502231997259768,0.0003,0.0004706149913509261,1.0,,,0.00017061499135092613,1.0068002546146102
