date,return_raw,holding,next_holding,signal_on,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,hedge_ratio,futures_drag,weight,realized_vol,scale_raw,return,nav,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2010-01-27,0.0,cash,long_microcap_short_zz1000,True,-0.009079177606107214,-0.007643827449644314,-0.03808283457734274,-0.05997001499250365,0.02188718041516091,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2010-01-28,-0.005386808459937094,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.006342843523670538,0.012732946648452925,-0.028798210354865295,-0.04599954635998804,0.017201336005122747,0.9,0.00027,1.0,,,-0.005386808459937094,0.9946131915400629,0.003,0.0,0.003,-0.008370648034557338,0.9916293519654427
2010-01-29,-0.0014202124228923942,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.007807330349774544,0.009952825302963264,-0.006709872170179376,-0.01624338478753362,0.009533512617354245,0.9,0.00027,1.0,,,-0.0014202124228923942,0.9932006295294651,0.0,0.0,0.0,-0.001420212422892364,0.9902210276408766
2010-02-01,0.004467024311022698,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.005820929408047237,-0.011731059687855483,-0.017342010404295394,-0.040242022558892976,0.022900012154597582,0.9,0.00027,1.0,,,0.004467024311022698,0.9976372808872963,0.0,0.0,0.0,0.004467024311022749,0.9946443690446344
2010-02-02,0.0016988101596766482,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.0011132725810844013,-0.0034245363786233884,-0.024288860208578678,-0.0504433767646304,0.02615451655605172,0.9,0.00027,1.0,,,0.0016988101596766482,0.9993320772357398,0.0,0.0,0.0,0.0016988101596766558,0.9963340810040325
2010-02-03,0.0006389379827551743,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.01781427632381538,0.018783709267844673,-0.025470936617246753,-0.05213140743350364,0.026660470816256887,0.9,0.00027,1.0,,,0.0006389379827551743,0.9999705884572714,0.0,0.0,0.0,0.0006389379827551611,0.9969706766918994
2010-02-04,-0.002974735229794487,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.00971175411708014,0.01379609927430514,-0.013336083804709076,-0.026996958968367957,0.013660875163658881,0.9,0.00027,1.0,,,-0.002974735229794487,0.9969959407190292,0.0,0.0,0.0,-0.002974735229794523,0.994004952896872
2010-02-05,0.008461192801140476,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.008271806582485053,-0.018892221537361698,-0.0468055407999165,-0.07105634261167648,0.02425080181175998,0.9,0.00027,1.0,,,0.008461192801140476,1.0054317155954073,0.0,0.0,0.0,0.008461192801140438,1.0024154204486209
2010-02-08,0.004363673379024872,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.003961055916194001,-0.0007473527364787458,-0.052928401848916784,-0.08147330772913364,0.028544905880216853,0.9,0.00027,1.0,,,0.004363673379024872,1.0098190912071783,0.0,0.0,0.0,0.004363673379024879,1.0067896339335565
2010-02-09,0.0022937397041874843,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.002300802000556823,-0.0002921530040340681,-0.0674420974348956,-0.09647553363399208,0.029033436199096485,0.9,0.00027,1.0,,,0.0022937397041874843,1.0121353533507267,0.0,0.0,0.0,0.0022937397041875585,1.0090989472906744
2010-02-10,-0.0006402600464299943,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.01080049367142677,0.012411948575396403,-0.06263052568870808,-0.08649600776297606,0.023865482074267974,0.9,0.00027,1.0,,,-0.0006402600464299943,1.011487323522397,0.0,0.0006,0.0006,-0.0012398758904021978,1.0078477898348985
2010-02-11,0.003970779163201003,long_microcap_short_zz1000,long_microcap_short_zz1000,True,-0.0005996289265455257,-0.005378231210829476,-0.028194229092918688,-0.060962555186133915,0.03276832609321523,0.9,0.00027,1.0,,,0.003970779163201003,1.0155037163104816,0.0,0.0,0.0,0.003970779163201099,1.0118497308384533
2010-02-12,-0.004165988797889194,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.008463749589389558,0.013733042652531946,-0.03252666242991353,-0.05213364796599551,0.019606985536081978,0.9,0.00027,1.0,,,-0.004165988797889194,1.0112731392041172,0.0,0.0,0.0,-0.0041659887978892085,1.0076343761946331
2010-02-22,-0.004460028682206859,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.0012537358038087199,0.006048627206683976,-0.017210887986135792,-0.01757662235422519,0.00036573436808939874,0.9,0.00027,1.0,,,-0.004460028682206859,1.0067628319977215,0.0,0.0,0.0,-0.004460028682206851,1.0031402979756274
2010-02-23,-0.010805339147052137,long_microcap_short_zz1000,cash,False,0.0041221941639713044,0.01628614812335938,0.0012228486426391072,0.012976964130118951,-0.011754115487479844,0.9,0.00027,1.0,,,-0.010805339147052137,0.9958844181573394,0.0,0.0,0.0,-0.010805339147052173,0.9923010268439258
2010-02-24,0.0,cash,cash,False,0.026303063870932064,0.02137658677980303,0.07594092687971465,0.07871415255480341,-0.002773225675088753,0.0,0.0,1.0,,,0.0,0.9958844181573394,0.003,0.0,0.003,-0.0030000000000000027,0.9893241237633941
2010-02-25,0.0,cash,cash,False,0.015944404468701823,0.018729466670760697,0.10311150951655645,0.10738253433556721,-0.00427102481901076,0.0,0.0,1.0,,,0.0,0.9958844181573394,0.0,0.0,0.0,0.0,0.9893241237633941
2010-02-26,0.0,cash,long_microcap_short_zz1000,True,0.0069450654949230195,0.001782538869250283,0.10377164039744624,0.09540870613271069,0.008362934264735555,0.0,0.0,1.0,,,0.0,0.9958844181573394,0.0,0.0,0.0,0.0,0.9893241237633941
2010-03-01,0.005710475866995637,long_microcap_short_zz1000,long_microcap_short_zz1000,True,0.01923869469476247,0.014731354253074258,0.11629150941910638,0.10059156426560278,0.01569994515350359,0.9,0.00027,1.0,,,0.005710475866995637,1.0015713920935438,0.003,0.0,0.003,0.002693344439394618,0.9919887143908912
