year,start_date,end_date,days,return_pct,max_drawdown_pct,sharpe,annual_pct
2010,2010-02-02,2010-12-31,221,8.855582289679042,-4.199427018473112,1.6662805631151707,9.78457515986426
2011,2011-01-04,2011-12-30,244,16.22641224246706,-4.033326881545374,2.812418116778546,16.481564201562637
2012,2012-01-04,2012-12-31,243,9.290321792327006,-3.4794147987108337,1.6388954988020297,9.377523863321379
2013,2013-01-04,2013-12-31,238,12.95938421365037,-4.71042384922179,2.198494839304225,13.121554071834307
2014,2014-01-02,2014-12-31,245,33.17206702424678,-3.1477686050304654,5.479870772852179,33.40874432682304
2015,2015-01-05,2015-12-31,244,87.45162791593705,-4.513801958799246,9.297774808295074,89.17722508107715
2016,2016-01-04,2016-12-30,244,76.60701845065732,-2.8920098050718046,12.617112294281497,77.79352769872412
2017,2017-01-03,2017-12-29,244,19.034619608483894,-6.085329414535423,2.197722700630955,19.337478471758885
2018,2018-01-02,2018-12-28,244,39.40760822513953,-4.577383557385306,4.468063078482502,40.084683739468694
2019,2019-01-02,2019-12-31,244,21.004682447533597,-4.165867028267634,3.066833616662916,21.147766803514155
2020,2020-01-02,2020-12-31,243,32.037815400565094,-4.465033471402203,3.468050954436436,32.16389103714403
2021,2021-01-04,2021-12-31,243,12.548385182492371,-9.749803381691569,1.0379762786409636,12.705128342848337
2022,2022-01-04,2022-12-30,242,44.92507045220666,-10.593341389172151,2.9121634499304903,45.71139963302622
2023,2023-01-03,2023-12-29,242,57.28550772934118,-3.5803753561896134,5.000158270244738,58.32776661597248
2024,2024-01-02,2024-12-31,242,15.386615511797697,-8.019930959215127,1.0115112167326643,15.443339347452255
2025,2025-01-02,2025-12-31,243,42.37238267718584,-6.560710088134869,3.120616049254713,42.68448081613585
2026,2026-01-05,2026-04-10,62,3.7340678767278535,-6.838752181282127,0.7590407115727481,15.136660096838739
