label,dd_moderate,dd_severe,scale_moderate,scale_severe,recover_dd,step_up,rebal_cost_bps,annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,avg_scale,median_scale,min_scale,share_below_1,share_at_severe_scale,avg_turnover,annualized_turnover,moderate_or_worse_share,severe_share,recovery_band_share,n_scale_changes
dd5_10_sc85_70_rec30_step10,0.05,0.1,0.85,0.7,0.03,0.01,2.0,0.23327320484738712,0.09943150113064929,2.346069426638494,-0.12611496862061744,28.744246968723115,2010-02-02,2026-04-09,3928,0.9418991853360488,1.0,0.7,0.37780040733197556,0.033859470468431775,0.0014358452138492873,0.3618329938900204,0.4093686354378819,0.033859470468431775,0.16726069246435846,292
dd5_8_sc85_75_rec40_step10,0.05,0.08,0.85,0.75,0.04,0.01,2.0,0.23308020331856816,0.09935302980986153,2.345979823309155,-0.12473065422130081,28.669017865503946,2010-02-02,2026-04-09,3928,0.9414180244399185,1.0,0.75,0.3681262729124236,0.07459266802443992,0.0020901221995926686,0.5267107942973525,0.3284114052953157,0.07459266802443992,0.079938900203666,444
dd5_10_sc85_70_rec40_step10,0.05,0.1,0.85,0.7,0.04,0.01,2.0,0.23432412728097507,0.0999203090748865,2.345110112753534,-0.12611496862061666,29.157030979581215,2010-02-02,2026-04-09,3928,0.9458961303462321,1.0,0.7,0.3643075356415479,0.033859470468431775,0.0017158859470468436,0.4324032586558046,0.3243380855397149,0.033859470468431775,0.07942973523421588,353
dd5_8_sc85_75_rec30_step10,0.05,0.08,0.85,0.75,0.03,0.01,2.0,0.2318336874724567,0.09889117626688254,2.344331377420323,-0.12473065422130125,28.187427619368062,2010-02-02,2026-04-09,3928,0.9378691446028513,1.0,0.75,0.3806008146639511,0.07331975560081466,0.0018355397148676173,0.46255600814663955,0.4111507128309572,0.07331975560081466,0.16547861507128309,386
dd5_8_sc85_70_rec30_step10,0.05,0.08,0.85,0.7,0.03,0.01,2.0,0.22876839912450841,0.09759815717688503,2.3439827732596727,-0.12197170603833007,27.03416411630783,2010-02-02,2026-04-09,3928,0.9299999999999998,1.0,0.7,0.38772912423625255,0.07459266802443992,0.002209775967413443,0.5568635437881876,0.4134419551934827,0.07459266802443992,0.16369653767820774,458
dd5_9_sc85_70_rec40_step10,0.05,0.09,0.85,0.7,0.04,0.01,2.0,0.23247973087439622,0.09918939000560387,2.343796356256066,-0.12415988693463886,28.436102766513567,2010-02-02,2026-04-09,3928,0.9406873727087577,1.0,0.7,0.36787169042769857,0.05168024439918534,0.0020773930753564163,0.5235030549898169,0.3276476578411405,0.05168024439918534,0.07713849287169043,437
dd5_8_sc85_70_rec40_step10,0.05,0.08,0.85,0.7,0.04,0.01,2.0,0.2296899915810675,0.09801635424286731,2.343384360246006,-0.12197170603832996,27.37632302314434,2010-02-02,2026-04-09,3928,0.9328920570264765,1.0,0.7,0.3770366598778004,0.07612016293279023,0.0024694501018329945,0.6223014256619146,0.33273930753564157,0.07612016293279023,0.08019348268839104,516
dd5_8_sc85_75_rec30_step20,0.05,0.08,0.85,0.75,0.03,0.02,2.0,0.23364425095571506,0.09970977051083141,2.343243292595227,-0.12493485277900784,28.889378198793594,2010-02-02,2026-04-09,3928,0.9415020366598776,1.0,0.75,0.3513238289205703,0.07357433808553972,0.002003564154786151,0.5048981670061101,0.420061099796334,0.07357433808553972,0.17311608961303462,236
dd5_8_sc85_70_rec40_step20,0.05,0.08,0.85,0.7,0.04,0.02,2.0,0.23272686497908235,0.0993306939728635,2.342950156400416,-0.12217281991722218,28.531754222067843,2010-02-02,2026-04-09,3928,0.9391140529531569,1.0,0.7,0.33528513238289204,0.07713849287169043,0.0028513238289205713,0.718533604887984,0.3340122199592668,0.07713849287169043,0.07408350305498981,334
dd5_9_sc85_70_rec30_step20,0.05,0.09,0.85,0.7,0.03,0.02,2.0,0.23312175020408898,0.099505819373921,2.342795141740089,-0.12617384997986936,28.685197125233735,2010-02-02,2026-04-09,3928,0.9406211812627291,1.0,0.7,0.35157841140529533,0.051934826883910386,0.002016293279022404,0.5081059063136458,0.42082484725050917,0.051934826883910386,0.17413441955193482,239
