rank,entry_gap,exit_gap,annual,max_dd,sharpe,entry_days,exit_days,signal_cost_days,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,signal_changes,median_holding_days,mean_holding_days,active_days_pct,peak_date,trough_date,recovery_date
11,0.0,-0.005,0.7124218907042392,-0.16032004425292773,5.134740918690796,68,67,135,0.405,0.2566199999999965,0.6616199999999965,134,28.0,45.23529411764706,0.785294868521828,2024-04-02,2024-07-10,2024-10-28
12,0.01,-0.005,0.7077016663497797,-0.17015466588005476,5.128314083081472,59,58,117,0.35100000000000003,0.25199999999999656,0.6029999999999966,116,35.0,50.779661016949156,0.7648710748021444,2024-04-02,2024-07-10,2024-10-28
13,0.02,-0.01,0.7027995929630912,-0.17015466588005487,5.1255475683594405,46,46,92,0.276,0.2471999999999967,0.5231999999999967,92,36.5,63.45652173913044,0.7452131733469491,2024-04-02,2024-07-10,2024-10-24
14,0.02,-0.005,0.6974711458824763,-0.17112420549668503,5.117476871404767,51,51,102,0.30600000000000005,0.24329999999999669,0.5492999999999968,102,34.0,55.84313725490196,0.7270870564207301,2024-04-02,2024-07-24,2024-11-12
15,0.015,0.0,0.6855540784553491,-0.1970438249086504,5.112337802412405,69,68,137,0.41100000000000003,0.23771999999999682,0.6487199999999969,137,25.0,41.08695652173913,0.7237681899412816,2021-04-16,2021-11-29,2022-02-08
16,0.01,-0.02,0.7182691025444237,-0.19529837292501803,5.10925574347887,39,38,77,0.231,0.2726399999999962,0.5036399999999962,76,48.0,83.41025641025641,0.8304825121266275,2024-04-02,2024-07-10,2024-10-28
17,0.02,0.0,0.6786672142554697,-0.17285076527969706,5.103502162878216,63,63,126,0.378,0.23321999999999693,0.6112199999999969,126,27.0,43.65079365079365,0.702067909114118,2021-04-16,2021-11-29,2022-01-13
18,0.015,-0.02,0.713451279023098,-0.19529837292501775,5.097847699120479,37,36,73,0.219,0.2690999999999963,0.4880999999999963,73,53.0,86.02702702702703,0.8126116926219045,2024-04-02,2024-07-10,2024-10-28
19,0.02,-0.02,0.7093645905801313,-0.19529837292501773,5.088296463500018,36,36,72,0.21600000000000003,0.2657399999999964,0.4817399999999964,72,56.0,86.61111111111111,0.7960173602246617,2024-04-02,2024-07-10,2024-10-28
20,0.005,-0.015,0.7107009952050456,-0.18576173314453548,5.081219814608174,47,46,93,0.279,0.2675399999999963,0.5465399999999963,92,44.0,68.06382978723404,0.8166964513658412,2024-04-02,2024-07-10,2024-10-28
21,0.015,-0.005,0.6983637464603283,-0.17015466588005465,5.081127694121923,56,55,111,0.333,0.2474399999999967,0.5804399999999967,111,34.5,52.25,0.7470002552974215,2024-04-02,2024-07-10,2024-10-28
22,0.015,-0.01,0.7016193322062008,-0.17015466588005398,5.077852457504672,50,49,99,0.29700000000000004,0.2512799999999967,0.5482799999999968,99,35.0,59.8,0.7633392902731683,2024-04-02,2024-07-10,2024-10-24
23,0.02,-0.015,0.6977730183912065,-0.1952983729250177,5.045256650272726,42,42,84,0.252,0.2585399999999965,0.5105399999999966,84,45.5,72.33333333333333,0.7755935665049783,2024-04-02,2024-07-10,2024-10-28
24,0.01,-0.015,0.7052321424252614,-0.19529837292501773,5.044852738956691,47,46,93,0.279,0.2659199999999963,0.5449199999999963,92,44.0,67.51063829787235,0.8100587184069441,2024-04-02,2024-07-10,2024-10-28
25,0.03,0.0,0.6587343214699606,-0.15496736892997112,5.01467946513304,57,57,114,0.342,0.2206199999999971,0.5626199999999971,114,29.0,44.94736842105263,0.6540719938728619,2021-04-16,2021-11-29,2022-01-11
26,0.015,-0.015,0.695127189135369,-0.19529837292501745,4.990514918850566,45,44,89,0.267,0.2623799999999964,0.5293799999999964,89,44.0,69.0,0.7926984937452132,2024-04-02,2024-07-10,2024-10-28
27,0.03,-0.01,0.6792067470895164,-0.17015466588005457,4.988427883884043,45,45,90,0.27,0.2390399999999969,0.5090399999999969,90,36.0,62.06666666666667,0.7130456982384478,2024-04-02,2024-07-10,2024-10-24
28,0.03,-0.02,0.6885332315604598,-0.19529837292501784,4.9657789051010885,36,36,72,0.21600000000000003,0.2599799999999965,0.4759799999999965,72,44.5,83.52777777777777,0.7676793464386009,2024-04-02,2024-07-10,2024-10-28
29,0.03,-0.005,0.6692455713132812,-0.17112420549668497,4.954986157784807,50,50,100,0.30000000000000004,0.23333999999999688,0.5333399999999968,100,33.5,54.08,0.6903242277253,2024-04-02,2024-07-24,2024-11-25
30,0.03,-0.015,0.6739406676271971,-0.19529837292501806,4.906397839783992,42,42,84,0.252,0.2501399999999967,0.5021399999999967,84,39.5,69.19047619047619,0.7418943068675007,2024-04-02,2024-07-10,2024-10-28
