rank,entry_gap,exit_gap,annual,max_dd,sharpe,entry_days,exit_days,signal_cost_days,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,signal_changes,median_holding_days,mean_holding_days,active_days_pct,peak_date,trough_date,recovery_date
1,0.005,0.0,0.7063491288966837,-0.14826657740737736,5.227805065339419,80,79,159,0.4770000000000001,0.24731999999999668,0.7243199999999967,158,23.0,36.9625,0.7549144753637989,2021-04-16,2021-11-29,2022-01-11
2,0.01,0.0,0.7004510858954878,-0.14352286920087012,5.198422024972474,74,73,147,0.44100000000000006,0.24317999999999668,0.6841799999999967,146,24.5,39.351351351351354,0.7434260913964769,2021-04-16,2021-11-29,2022-01-11
3,0.0,-0.02,0.727261637780994,-0.18576173314453576,5.165191294293226,39,38,77,0.231,0.27509999999999607,0.5060999999999961,76,49.0,84.3076923076923,0.839417921878989,2024-04-02,2024-07-10,2024-10-28
4,0.0,-0.01,0.71905191796571,-0.16032004425292767,5.157808262753065,57,56,113,0.339,0.26063999999999643,0.5996399999999964,112,36.0,55.05263157894737,0.8011233086545826,2024-04-02,2024-07-10,2024-10-15
5,0.005,-0.005,0.7125432875541222,-0.1603200442529281,5.152463640281026,62,61,123,0.36900000000000005,0.2551799999999966,0.6241799999999966,122,35.5,49.0,0.7755935665049783,2024-04-02,2024-07-10,2024-10-28
6,0.0,0.0,0.6989310506112572,-0.158942178370217,5.140746018683315,92,91,183,0.549,0.24839999999999668,0.7973999999999968,182,18.5,32.619565217391305,0.7661475619096247,2021-04-16,2021-11-29,2022-01-11
7,0.005,-0.01,0.714437105411623,-0.16032004425292765,5.139638814779646,55,54,109,0.327,0.2584799999999966,0.5854799999999966,108,36.0,56.41818181818182,0.7921878989022211,2024-04-02,2024-07-10,2024-10-15
8,0.0,-0.015,0.7197436036063987,-0.18576173314453587,5.137733081034077,47,46,93,0.279,0.2689799999999962,0.5479799999999961,92,44.0,68.63829787234043,0.8235894817462344,2024-04-02,2024-07-10,2024-10-28
9,0.01,-0.01,0.7123669547835225,-0.17015466588005435,5.136356362439973,52,51,103,0.309,0.2552999999999966,0.5642999999999966,102,35.5,58.90384615384615,0.7819760020423794,2024-04-02,2024-07-10,2024-10-24
10,0.005,-0.02,0.7221761391691266,-0.18576173314453565,5.135892341436246,39,38,77,0.231,0.2736599999999962,0.5046599999999962,76,49.0,83.74358974358974,0.8338013786060761,2024-04-02,2024-07-10,2024-10-28
