top_n,window_years,annual,max_dd,sharpe
100,1,0.3411925724169167,-0.07030824215509628,2.3074691295301473
30,1,0.2050639442111475,-0.1454020517339242,1.3226071858339532
50,1,0.16968689692761463,-0.12815883171259354,1.1087544743276994
20,1,0.1255319466774547,-0.12129596980266115,0.7714333994080025
10,1,-0.05377308356299726,-0.17681472010350485,-0.31445786406540294
100,2,0.28910906191923336,-0.10579340513002781,1.8685634135570068
30,2,0.2950682692877158,-0.14540205173392434,1.7637327761120114
20,2,0.294262543977476,-0.12129596980266104,1.634848129497106
50,2,0.2555729109052125,-0.1281588317125936,1.5722946410508143
10,2,0.1610759769519754,-0.17681472010350438,0.8861788889123778
30,3,0.3367668134905746,-0.14540205173392493,2.17146385203848
100,3,0.3097497703561689,-0.10579340513002779,2.143636016501573
20,3,0.33108936291066016,-0.12129596980266145,1.9857123939842736
50,3,0.299509114433016,-0.12815883171259398,1.971393843780167
10,3,0.2545637349565322,-0.17681472010350474,1.4662218358729946
100,4,0.2719329675434856,-0.13638816165313922,1.9253113882028698
30,4,0.2881356348215658,-0.14540205173392462,1.9010489743782157
50,4,0.2730412174630368,-0.1281588317125935,1.8260157206180232
20,4,0.2744046090494292,-0.1212959698026607,1.7069218671273585
10,4,0.21464444828651486,-0.1768147201035051,1.264097456979673
30,5,0.2989055561337002,-0.1454020517339243,1.9234308217191745
20,5,0.2965565113084667,-0.1251524924259813,1.8016390675528973
50,5,0.27055731704681296,-0.12815883171259365,1.7668566590462063
100,5,0.25010195460102747,-0.15894217837021732,1.7249003990856995
10,5,0.24254562861279672,-0.17681472010350507,1.4122784466739382
