strategy,trades_total,trades_per_year,avg_weight,start_date,end_date
5???,128,40.23407917383821,0.67578125,2023-01-11,2026-03-18
??? 20:10,77,25.088537020517396,0.5,2023-02-21,2026-03-18
AND,102,33.23416592328279,0.43548387096774194,2023-02-21,2026-03-18
OR,93,30.301739518287246,0.7379032258064516,2023-02-21,2026-03-18
????,181,58.974353256021416,0.5866935483870968,2023-02-21,2026-03-18
