rebalance_date,effective_date,exit_count,entry_count,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,turnover_frac_one_side,two_side_cost_rate,holding_count_after
2010-01-04,2010-01-05,0,100,0,0,1.0,0.0,0.5,0.003,100
2010-01-05,2010-01-06,6,6,0,0,0.06,0.06,0.06,0.00035999999999999997,100
2010-01-12,2010-01-13,6,6,2,2,0.06,0.06,0.06,0.00035999999999999997,100
2010-01-19,2010-01-20,8,8,2,2,0.08,0.08,0.08,0.00048,100
2010-01-26,2010-01-27,10,10,1,1,0.1,0.1,0.1,0.0006000000000000001,100
2010-02-02,2010-02-03,8,8,2,2,0.08,0.08,0.08,0.00048,100
2010-02-09,2010-02-10,5,5,2,2,0.05,0.05,0.05,0.00030000000000000003,100
2010-02-22,2010-02-23,3,3,2,2,0.03,0.03,0.03,0.00017999999999999998,100
2010-02-23,2010-02-24,4,4,2,2,0.04,0.04,0.04,0.00024,100
2010-03-02,2010-03-03,6,6,2,2,0.06,0.06,0.06,0.00035999999999999997,100
2010-03-09,2010-03-10,5,5,1,1,0.05,0.05,0.05,0.00030000000000000003,100
2010-03-16,2010-03-17,7,7,3,3,0.07,0.07,0.07,0.00042000000000000007,100
2010-03-23,2010-03-24,3,3,4,4,0.03,0.03,0.03,0.00017999999999999998,100
2010-03-30,2010-03-31,5,5,3,3,0.05,0.05,0.05,0.00030000000000000003,100
2010-04-06,2010-04-07,3,3,4,4,0.03,0.03,0.03,0.00017999999999999998,100
2010-04-13,2010-04-14,5,5,5,5,0.05,0.05,0.05,0.00030000000000000003,100
2010-04-20,2010-04-21,11,11,5,5,0.11,0.11,0.11,0.00066,100
2010-04-27,2010-04-28,10,10,4,4,0.1,0.1,0.1,0.0006000000000000001,100
2010-05-04,2010-05-05,8,8,6,6,0.08,0.08,0.08,0.00048,100
2010-05-11,2010-05-12,8,8,4,4,0.08,0.08,0.08,0.00048,100
2010-05-18,2010-05-19,10,10,5,5,0.1,0.1,0.1,0.0006000000000000001,100
2010-05-25,2010-05-26,8,8,4,4,0.08,0.08,0.08,0.00048,100
2010-06-01,2010-06-02,3,3,4,4,0.03,0.03,0.03,0.00017999999999999998,100
2010-06-08,2010-06-09,7,7,4,4,0.07,0.07,0.07,0.00042000000000000007,100
2010-06-17,2010-06-18,4,4,4,4,0.04,0.04,0.04,0.00024,100
2010-06-22,2010-06-23,3,3,4,4,0.03,0.03,0.03,0.00017999999999999998,100
2010-06-29,2010-06-30,7,7,3,3,0.07,0.07,0.07,0.00042000000000000007,100
2010-07-06,2010-07-07,8,8,2,2,0.08,0.08,0.08,0.00048,100
2010-07-13,2010-07-14,5,5,2,2,0.05,0.05,0.05,0.00030000000000000003,100
2010-07-20,2010-07-21,3,3,2,2,0.03,0.03,0.03,0.00017999999999999998,100
2010-07-27,2010-07-28,4,4,2,2,0.04,0.04,0.04,0.00024,100
2010-08-03,2010-08-04,6,6,2,2,0.06,0.06,0.06,0.00035999999999999997,100
2010-08-10,2010-08-11,2,2,4,4,0.02,0.02,0.02,0.00012,100
2010-08-17,2010-08-18,4,4,4,4,0.04,0.04,0.04,0.00024,100
2010-08-24,2010-08-25,4,4,3,3,0.04,0.04,0.04,0.00024,100
2010-08-31,2010-09-01,4,4,2,2,0.04,0.04,0.04,0.00024,100
2010-09-07,2010-09-08,5,5,2,2,0.05,0.05,0.05,0.00030000000000000003,100
2010-09-14,2010-09-15,4,4,3,3,0.04,0.04,0.04,0.00024,100
2010-09-21,2010-09-27,6,6,4,4,0.06,0.06,0.06,0.00035999999999999997,100
2010-09-28,2010-09-29,4,4,4,4,0.04,0.04,0.04,0.00024,100
2010-10-08,2010-10-11,4,4,4,4,0.04,0.04,0.04,0.00024,100
2010-10-12,2010-10-13,4,4,4,4,0.04,0.04,0.04,0.00024,100
2010-10-19,2010-10-20,3,3,4,4,0.03,0.03,0.03,0.00017999999999999998,100
2010-10-26,2010-10-27,4,4,6,6,0.04,0.04,0.04,0.00024,100
2010-11-02,2010-11-03,6,6,5,5,0.06,0.06,0.06,0.00035999999999999997,100
2010-11-09,2010-11-10,8,8,4,4,0.08,0.08,0.08,0.00048,100
2010-11-16,2010-11-17,9,9,4,4,0.09,0.09,0.09,0.00054,100
2010-11-23,2010-11-24,7,7,5,5,0.07,0.07,0.07,0.00042000000000000007,100
2010-11-30,2010-12-01,6,6,5,5,0.06,0.06,0.06,0.00035999999999999997,100
2010-12-07,2010-12-08,4,4,5,5,0.04,0.04,0.04,0.00024,100
2010-12-14,2010-12-15,4,4,6,6,0.04,0.04,0.04,0.00024,100
2010-12-21,2010-12-22,5,5,5,5,0.05,0.05,0.05,0.00030000000000000003,100
2010-12-28,2010-12-29,6,6,7,7,0.06,0.06,0.06,0.00035999999999999997,100
2011-01-04,2011-01-05,4,4,5,5,0.04,0.04,0.04,0.00024,100
2011-01-11,2011-01-12,3,3,6,6,0.03,0.03,0.03,0.00017999999999999998,100
2011-01-18,2011-01-19,7,7,6,6,0.07,0.07,0.07,0.00042000000000000007,100
2011-01-25,2011-01-26,6,6,5,5,0.06,0.06,0.06,0.00035999999999999997,100
2011-02-01,2011-02-09,3,3,6,6,0.03,0.03,0.03,0.00017999999999999998,100
2011-02-09,2011-02-10,3,3,6,6,0.03,0.03,0.03,0.00017999999999999998,100
2011-02-15,2011-02-16,4,4,6,6,0.04,0.04,0.04,0.00024,100
2011-02-22,2011-02-23,6,6,5,5,0.06,0.06,0.06,0.00035999999999999997,100
2011-03-01,2011-03-02,4,4,7,7,0.04,0.04,0.04,0.00024,100
