top_n,window_years,annual,max_dd,sharpe
100,1,0.8100552685522016,-0.16476428041413596,2.996097252912836
30,1,0.7614173319125197,-0.16781824878505347,2.7428703891137887
50,1,0.7466672320350791,-0.17202384826066378,2.716756885942236
20,1,0.627449313293307,-0.18547247553379229,2.120388889149971
10,1,0.3553953059536481,-0.21590439312550963,1.114776553956676
20,2,0.7743892834068842,-0.28090236593776374,2.0529430907756048
30,2,0.7421480421965969,-0.2877775935625684,2.03597430897638
100,2,0.7102165760887438,-0.26110800343406193,2.010448646052385
50,2,0.7134042191192844,-0.2792813693027769,1.9893685723591226
10,2,0.6069598893401336,-0.28708966438196515,1.551940450807907
20,3,0.5203769693945102,-0.4831302129252869,1.3878386621158643
30,3,0.49719642950394305,-0.4781363268358189,1.3659954280411197
50,3,0.4821476936555351,-0.48159028708507584,1.3326107116531476
100,3,0.45785084195172465,-0.4826045370404431,1.2828938560309173
10,3,0.48270649664929643,-0.4705087986477928,1.235010662297297
50,4,0.4720122484191356,-0.48159028708507573,1.407715951682605
30,4,0.4676929568103041,-0.4781363268358191,1.3883289057372423
20,4,0.47556177319053083,-0.483130212925287,1.3793918903301683
100,4,0.4373551689870314,-0.4826045370404433,1.320666847116502
10,4,0.44563926937765275,-0.4705087986477926,1.248318685274557
30,5,0.5591994881273272,-0.4781363268358191,1.7682569982262382
20,5,0.5539213530007459,-0.483130212925287,1.712551316823615
50,5,0.5289637884965133,-0.48159028708507584,1.6788995999622471
10,5,0.5583810020567879,-0.47050879864779277,1.6744744909552614
100,5,0.4768925522719045,-0.4826045370404428,1.532181926068458
