rebalance_date,execution_timing,constraint_trade_date,execution_date,effective_date,return_start_date,exit_count,entry_count,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,turnover_frac_one_side,two_side_cost_rate,holding_count_after
2010-01-04,close,2010-01-04,2010-01-04,2010-01-04,2010-01-05,0,100,0,0,1.0,0.0,0.5,0.003,100
2010-01-05,close,2010-01-05,2010-01-05,2010-01-05,2010-01-06,6,6,0,0,0.06,0.06,0.06,0.00035999999999999997,100
2010-01-12,close,2010-01-12,2010-01-12,2010-01-12,2010-01-13,6,6,2,2,0.06,0.06,0.06,0.00035999999999999997,100
2010-01-19,close,2010-01-19,2010-01-19,2010-01-19,2010-01-20,5,5,5,5,0.05,0.05,0.05,0.00030000000000000003,100
2010-01-26,close,2010-01-26,2010-01-26,2010-01-26,2010-01-27,4,4,5,5,0.04,0.04,0.04,0.00024,100
2010-02-02,close,2010-02-02,2010-02-02,2010-02-02,2010-02-03,8,8,2,2,0.08,0.08,0.08,0.00048,100
2010-02-09,close,2010-02-09,2010-02-09,2010-02-09,2010-02-10,3,3,4,4,0.03,0.03,0.03,0.00017999999999999998,100
2010-02-22,close,2010-02-22,2010-02-22,2010-02-22,2010-02-23,2,2,3,3,0.02,0.02,0.02,0.00012,100
2010-02-23,close,2010-02-23,2010-02-23,2010-02-23,2010-02-24,2,2,4,4,0.02,0.02,0.02,0.00012,100
2010-03-02,close,2010-03-02,2010-03-02,2010-03-02,2010-03-03,3,3,5,5,0.03,0.03,0.03,0.00017999999999999998,100
2010-03-09,close,2010-03-09,2010-03-09,2010-03-09,2010-03-10,3,3,1,1,0.03,0.03,0.03,0.00017999999999999998,100
2010-03-16,close,2010-03-16,2010-03-16,2010-03-16,2010-03-17,8,8,2,2,0.08,0.08,0.08,0.00048,100
2010-03-23,close,2010-03-23,2010-03-23,2010-03-23,2010-03-24,3,3,4,4,0.03,0.03,0.03,0.00017999999999999998,100
2010-03-30,close,2010-03-30,2010-03-30,2010-03-30,2010-03-31,5,5,3,3,0.05,0.05,0.05,0.00030000000000000003,100
2010-04-06,close,2010-04-06,2010-04-06,2010-04-06,2010-04-07,2,2,4,4,0.02,0.02,0.02,0.00012,100
2010-04-13,close,2010-04-13,2010-04-13,2010-04-13,2010-04-14,3,3,5,5,0.03,0.03,0.03,0.00017999999999999998,100
2010-04-20,close,2010-04-20,2010-04-20,2010-04-20,2010-04-21,6,6,9,9,0.06,0.06,0.06,0.00035999999999999997,100
2010-04-27,close,2010-04-27,2010-04-27,2010-04-27,2010-04-28,6,6,8,8,0.06,0.06,0.06,0.00035999999999999997,100
2010-05-04,close,2010-05-04,2010-05-04,2010-05-04,2010-05-05,5,5,6,6,0.05,0.05,0.05,0.00030000000000000003,100
2010-05-11,close,2010-05-11,2010-05-11,2010-05-11,2010-05-12,7,7,5,5,0.07,0.07,0.07,0.00042000000000000007,100
2010-05-18,close,2010-05-18,2010-05-18,2010-05-18,2010-05-19,6,6,8,8,0.06,0.06,0.06,0.00035999999999999997,100
2010-05-25,close,2010-05-25,2010-05-25,2010-05-25,2010-05-26,3,3,6,6,0.03,0.03,0.03,0.00017999999999999998,100
2010-06-01,close,2010-06-01,2010-06-01,2010-06-01,2010-06-02,3,3,5,5,0.03,0.03,0.03,0.00017999999999999998,100
2010-06-08,close,2010-06-08,2010-06-08,2010-06-08,2010-06-09,6,6,5,5,0.06,0.06,0.06,0.00035999999999999997,100
2010-06-17,close,2010-06-17,2010-06-17,2010-06-17,2010-06-18,3,3,5,5,0.03,0.03,0.03,0.00017999999999999998,100
2010-06-22,close,2010-06-22,2010-06-22,2010-06-22,2010-06-23,1,1,6,6,0.01,0.01,0.01,6e-05,100
2010-06-29,close,2010-06-29,2010-06-29,2010-06-29,2010-06-30,3,3,6,6,0.03,0.03,0.03,0.00017999999999999998,100
2010-07-06,close,2010-07-06,2010-07-06,2010-07-06,2010-07-07,8,8,2,2,0.08,0.08,0.08,0.00048,100
2010-07-13,close,2010-07-13,2010-07-13,2010-07-13,2010-07-14,4,4,3,3,0.04,0.04,0.04,0.00024,100
2010-07-20,close,2010-07-20,2010-07-20,2010-07-20,2010-07-21,2,2,2,2,0.02,0.02,0.02,0.00012,100
2010-07-27,close,2010-07-27,2010-07-27,2010-07-27,2010-07-28,4,4,2,2,0.04,0.04,0.04,0.00024,100
2010-08-03,close,2010-08-03,2010-08-03,2010-08-03,2010-08-04,5,5,3,3,0.05,0.05,0.05,0.00030000000000000003,100
2010-08-10,close,2010-08-10,2010-08-10,2010-08-10,2010-08-11,2,2,4,4,0.02,0.02,0.02,0.00012,100
2010-08-17,close,2010-08-17,2010-08-17,2010-08-17,2010-08-18,3,3,5,5,0.03,0.03,0.03,0.00017999999999999998,100
2010-08-24,close,2010-08-24,2010-08-24,2010-08-24,2010-08-25,2,2,5,5,0.02,0.02,0.02,0.00012,100
2010-08-31,close,2010-08-31,2010-08-31,2010-08-31,2010-09-01,5,5,2,2,0.05,0.05,0.05,0.00030000000000000003,100
2010-09-07,close,2010-09-07,2010-09-07,2010-09-07,2010-09-08,4,4,4,4,0.04,0.04,0.04,0.00024,100
