year,start_date,end_date,days,return_pct,max_drawdown_pct,sharpe,annual_pct
2010,2010-02-02,2010-12-31,221,0.09670920517568238,-8.307551961088787,0.0179219481857165,0.10639984125964119
2011,2011-01-04,2011-12-30,244,8.345937673454017,-7.71567736797325,1.4295982047461648,8.4726666291993
2012,2012-01-04,2012-12-31,243,2.186302483361935,-5.086626330527144,0.3944484193932978,2.2061458373929366
2013,2013-01-04,2013-12-31,238,4.893519245239353,-9.184209161953383,0.8059887939175596,4.952533672380466
2014,2014-01-02,2014-12-31,245,25.4347485146333,-4.06882967443567,4.182060275200833,25.611063176085437
2015,2015-01-05,2015-12-31,244,74.7267520892236,-6.853913173690884,7.886215546422479,76.15452840631562
2016,2016-01-04,2016-12-30,244,66.97169482774284,-4.362730903518786,11.148341869240767,67.98248326574469
2017,2017-01-03,2017-12-29,244,9.335065298923961,-10.149220763230616,1.0543394319652242,9.477459540445166
2018,2018-01-02,2018-12-28,244,32.51339491043321,-5.668399026012816,3.694845420049262,33.05853442865172
2019,2019-01-02,2019-12-31,244,13.072252916525361,-5.302071978150924,1.9001951252154883,13.158391282814375
2020,2020-01-02,2020-12-31,243,26.069602395421665,-5.901863108297656,2.821977266254919,26.16993688989091
2021,2021-01-04,2021-12-31,243,6.671650294891918,-14.72858782153319,0.4953859374596072,6.752789201182607
2022,2022-01-04,2022-12-30,242,37.07612003001479,-14.22489926053635,2.3463450000141997,37.70799742929156
2023,2023-01-03,2023-12-29,242,49.88555877793277,-3.709239745681414,4.457144298589391,50.77278429336527
2024,2024-01-02,2024-12-31,242,9.847932752709854,-8.997838566709394,0.6118848408518228,9.883370006481984
2025,2025-01-02,2025-12-31,243,38.539636614402625,-8.728559829400451,2.6531365135931146,38.81984949874537
2026,2026-01-05,2026-04-09,62,-2.9627507364243355,-12.765147680871236,-0.5338852318994181,-11.0291692029448
