date,slippage_0.0000,slippage_0.0025,slippage_0.0050,slippage_0.0075,slippage_0.0100,slippage_0.0150,slippage_0.0200
2021-04-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-04-13,0.993592228026363,0.9911161217168177,0.9886400154072724,0.9861639090977272,0.9836878027881819,0.9787355901690914,0.9737833775500009
2021-04-14,0.9931666943510625,0.990691648503333,0.9882166026556036,0.9857415568078742,0.9832665109601447,0.9783164192646859,0.973366327569227
2021-04-15,0.9988654534535916,0.9963762058710132,0.9938869582884349,0.9913977107058566,0.9889084631232782,0.9839299679581216,0.9789514727929649
2021-04-16,1.0132444978842325,1.010719416645114,1.008194335405996,1.0056692541668775,1.003144172927759,0.9980940104495225,0.9930438479712858
2021-04-19,1.0016502120913948,0.9991540246815522,0.9966578372717098,0.9941616498618671,0.9916654624520245,0.9866730876323394,0.9816807128126542
2021-04-20,1.0003601808347322,0.9978672082794788,0.9953742357242257,0.9928812631689723,0.9903882906137189,0.9854023455032124,0.9804164003927057
2021-04-21,0.9962360750582582,0.9937533800837329,0.9912706851092078,0.9887879901346825,0.9863052951601573,0.9813399052111069,0.9763745152620565
2021-04-22,0.9956362637532543,0.9931550635534615,0.9906738633536689,0.9881926631538761,0.9857114629540834,0.980749062554498,0.9757866621549126
2021-04-23,0.9868963222477434,0.9844369026373074,0.9819774830268718,0.9795180634164359,0.977058643806,0.9721398045851285,0.967220965364257
2021-04-26,0.9828423198869157,0.9779364602780014,0.9730428750356973,0.9681615641600031,0.9632925276509189,0.9535912777325806,0.9439391252806825
2021-04-27,0.9828423198869157,0.9779364602780014,0.9730428750356973,0.9681615641600031,0.9632925276509189,0.9535912777325806,0.9439391252806825
2021-04-28,0.9828423198869157,0.9779364602780014,0.9730428750356973,0.9681615641600031,0.9632925276509189,0.9535912777325806,0.9439391252806825
2021-04-29,0.9828423198869157,0.9779364602780014,0.9730428750356973,0.9681615641600031,0.9632925276509189,0.9535912777325806,0.9439391252806825
2021-04-30,0.9828423198869157,0.9779364602780014,0.9730428750356973,0.9681615641600031,0.9632925276509189,0.9535912777325806,0.9439391252806825
2021-05-06,0.9828423198869157,0.9779364602780014,0.9730428750356973,0.9681615641600031,0.9632925276509189,0.9535912777325806,0.9439391252806825
2021-05-07,0.9828423198869157,0.9779364602780014,0.9730428750356973,0.9681615641600031,0.9632925276509189,0.9535912777325806,0.9439391252806825
2021-05-10,0.9828423198869157,0.9779364602780014,0.9730428750356973,0.9681615641600031,0.9632925276509189,0.9535912777325806,0.9439391252806825
2021-05-11,0.9890933410424926,0.9816795327137507,0.974302864055103,0.9669632418074308,0.9596605727116156,0.9451657209390825,0.9308175626645558
2021-05-12,0.9883581192797825,0.9809498218497614,0.9735786364828406,0.9662444699892238,0.9589472291791147,0.9444631518502343,0.9301256589778295
2021-05-13,1.0019114230864747,0.9944015360566915,0.9869292700058115,0.9794945304661319,0.9720972229699495,0.9574145262372634,0.9428804240661283
2021-05-14,1.000300858611921,0.9928030436645389,0.985342789220642,0.9779200009643835,0.9705345845799163,0.9558754901629674,0.9413647514430186
2021-05-17,0.9707648850912947,0.9634884588009769,0.956248483961776,0.9490448690427175,0.941877522512827,0.9276512684966512,0.9135689896654522
2021-05-18,0.9650123311895308,0.9553868924322036,0.9458336396697055,0.936352211092272,0.9269422457991441,0.9083352660077966,0.8900098312697016
2021-05-19,0.9650123311895308,0.9553868924322036,0.9458336396697055,0.936352211092272,0.9269422457991441,0.9083352660077966,0.8900098312697016
2021-05-20,0.9583549400334491,0.9464131648190376,0.9345907293334939,0.9228867368733754,0.911300295238328,0.8884765180894585,0.8661123499150748
2021-05-21,0.9681603275557932,0.956096370330531,0.9441529738559515,0.9323292322540109,0.9206242441958264,0.8975669460722955,0.8749739594023791
2021-05-24,0.9666931930710183,0.9546475173712062,0.9427222197262675,0.9309163956309107,0.9192291451221127,0.8962067876548346,0.873648038031112
2021-05-25,0.9591739329612483,0.9472219525201119,0.9353894137934332,0.923675419311463,0.9120790761113889,0.8892357941722902,0.866852513981256
2021-05-26,0.9559827141280894,0.9440704985135049,0.9322773272249217,0.9206023057785166,0.9090445441824084,0.8862772629654206,0.8639684530480656
2021-05-27,0.9546518660002715,0.9427562336874711,0.9309794799760036,0.9193207116272797,0.9077790398883986,0.8850434535892533,0.862765700340051
2021-05-28,0.9538911031987071,0.9420049505243874,0.9302375817169525,0.9185881042496353,0.9070556300777831,0.8843381617847342,0.862078161694121
2021-05-31,0.9439454168616838,0.9321831944199204,0.9205385173524319,0.909010502438326,0.8975982708920927,0.8751176648711169,0.8530897572887794
