schedule,window_years,annual,max_dd,sharpe
biweekly,1,0.31942563540750313,-0.07080479124738034,2.1768916067900976
monthly,1,0.3079828933842319,-0.08906770245980573,2.033001734878513
weekly,1,0.26073517085456865,-0.08766892029191031,1.74789642842
biweekly,2,0.27264412460291587,-0.10579340513002773,1.7694737285318674
monthly,2,0.26884276808137475,-0.10434648420452147,1.7156674452993086
weekly,2,0.20840627661150557,-0.1548057886800919,1.2309777639197519
biweekly,3,0.30017780993420184,-0.10579340513002793,2.084718656221197
monthly,3,0.2989955329777869,-0.10434648420452149,2.0413128176666424
weekly,3,0.26171323029339244,-0.15480578868009176,1.6836501082442572
monthly,4,0.2896255794422269,-0.1441085954508952,1.9889510248421298
biweekly,4,0.2811614992878806,-0.13405346397465756,1.9731233110177626
weekly,4,0.2509948032403446,-0.15480578868009195,1.6784450077562434
biweekly,5,0.25928878845616676,-0.15184555120128237,1.7784001210131555
monthly,5,0.2541657623245024,-0.1740010416282879,1.716170193381835
weekly,5,0.2319760805556741,-0.15973532384352998,1.5349217914528237
