lookback,annual,max_dd
5,0.2615801402999596,-0.07664793339443128
10,0.24782682769586284,-0.09750305876049073
15,0.23817847638363432,-0.14996762425458277
20,0.197830393664862,-0.17393050777247565
25,0.15586477942329013,-0.22678291227967257
30,0.10528319158561783,-0.27045526084472427
35,0.13588332461156916,-0.2514660287228497
40,0.1517517025880324,-0.1974848423344146
45,0.16804565093031942,-0.18623378009257444
50,0.15693013127689825,-0.16891893009534245
55,0.1140113980332389,-0.20415311889069468
60,0.13803566046607285,-0.215762340153763
65,0.2162603961045615,-0.15966994658869743
70,0.17302775422047745,-0.2273981935244499
75,0.19699900758010513,-0.2185810865599526
80,0.20378820487994864,-0.19985413598411864
85,0.20419340421869436,-0.1992804299069613
90,0.20640999769385604,-0.2178542641589387
95,0.21796557913086034,-0.2181380181542525
100,0.2170057422612668,-0.20739582077685348
