date,base_close,anchored_close,raw_proxy_close,valid_member_ratio,close_diff,close_diff_pct
2010-01-04,1000.0,1000.0,1000.0,0.0,0.0,0.0
2010-01-05,1010.1236937358398,1010.1236937358398,1009.9457783665322,0.71,0.0,0.0
2010-01-06,1008.3579468005244,1008.3579468005244,1009.1160977558322,0.7,0.0,0.0
2010-01-07,988.5156469700214,988.5156469700214,989.0723246385936,0.71,0.0,0.0
2010-01-08,997.6646642717226,997.6646642717226,998.8157183790944,0.71,0.0,0.0
2010-01-11,1004.1406039163484,1004.1406039163484,1004.9855745575222,0.67,0.0,0.0
2010-01-12,1025.0453776779857,1025.0453776779857,1025.0127672506826,0.69,0.0,0.0
2010-01-13,1015.463527452709,1015.463527452709,1013.7308896661383,0.69,0.0,0.0
2010-01-14,1043.2445328377332,1043.2445328377332,1041.053423059326,0.68,0.0,0.0
2010-01-15,1051.8307274592703,1051.8307274592703,1048.3517040991287,0.66,0.0,0.0
2010-01-18,1070.3950696358047,1070.3950696358047,1066.4541187895697,0.69,0.0,0.0
2010-01-19,1070.9879161193471,1070.9879161193471,1066.4889007614102,0.69,0.0,0.0
2010-01-20,1033.5079594057602,1033.5079594057602,1031.0296123627134,0.68,0.0,0.0
2010-01-21,1047.6055029467757,1047.6055029467757,1044.4182794921542,0.69,0.0,0.0
2010-01-22,1025.1376804967776,1025.1376804967776,1020.2929285010972,0.69,0.0,0.0
2010-01-25,1011.9724366375714,1011.9724366375714,1004.1262967856162,0.7,0.0,0.0
2010-01-26,966.4196174473724,966.4196174473724,960.3236910655883,0.7,0.0,0.0
2010-01-27,957.7157422508824,957.7157422508824,954.2014659502086,0.7,0.0,0.0
2010-01-28,969.1331701564976,969.1331701564976,965.5061653803483,0.69,0.0,0.0
2010-01-29,979.4363198507232,979.4363198507232,977.5740882951429,0.67,0.0,0.0
2010-02-01,968.3365475307016,968.3365475307016,966.3912018165036,0.69,0.0,0.0
2010-02-02,969.3785967319888,969.3785967319888,966.9969612006013,0.65,0.0,0.0
2010-02-03,987.6425361591156,987.6425361591156,985.7667854081551,0.65,0.0,0.0
2010-02-04,998.5630148402648,998.5630148402648,996.598882553788,0.64,0.0,0.0
2010-02-05,987.8905260815504,987.8905260815504,982.0596173438568,0.64,0.0,0.0
2010-02-08,991.370181761777,991.370181761777,984.0691999385905,0.63,0.0,0.0
2010-02-09,991.0886200450062,991.0886200450062,986.5868365956339,0.62,0.0,0.0
2010-02-10,1003.856382193016,1003.856382193016,997.8811850264452,0.64,0.0,0.0
2010-02-11,1001.2157187391512,1001.2157187391512,994.6760905051626,0.64,0.0,0.0
2010-02-12,1012.407399548046,1012.407399548046,1004.1705186507129,0.65,0.0,0.0
2010-02-22,1017.8398159149124,1017.8398159149124,1009.5329917355245,0.65,0.0,0.0
2010-02-23,1028.4774849246403,1028.4774849246403,1019.3957884466944,0.64,0.0,0.0
2010-02-24,1052.4758100635966,1052.4758100635966,1046.374806288127,0.65,0.0,0.0
2010-02-25,1070.6464937541105,1070.6464937541105,1063.271951975328,0.65,0.0,0.0
2010-02-26,1081.1207390438915,1081.1207390438915,1074.1553797868537,0.63,0.0,0.0
2010-03-01,1100.5882784261785,1100.5882784261785,1092.2388386221457,0.64,0.0,0.0
2010-03-02,1108.1115689778485,1108.1115689778485,1102.8516446009899,0.61,0.0,0.0
2010-03-03,1121.224411561548,1121.224411561548,1119.4091054747887,0.64,0.0,0.0
2010-03-04,1081.138769958813,1081.138769958813,1080.5970864029237,0.64,0.0,0.0
2010-03-05,1090.152157902869,1090.152157902869,1091.2137030730003,0.64,0.0,0.0
2010-03-08,1106.0682452824672,1106.0682452824672,1108.365227163196,0.64,0.0,0.0
2010-03-09,1107.76040691795,1107.76040691795,1110.268341613276,0.64,0.0,0.0
2010-03-10,1100.0449595561024,1100.0449595561024,1101.9783827412678,0.63,0.0,0.0
2010-03-11,1104.9143086190347,1104.9143086190347,1109.8580947611033,0.63,0.0,0.0
2010-03-12,1091.9791373900337,1091.9791373900337,1094.0395635061047,0.61,0.0,0.0
2010-03-15,1082.1645120164594,1082.1645120164594,1083.6785120586526,0.61,0.0,0.0
2010-03-16,1097.0801448550271,1097.0801448550271,1099.7339066132674,0.63,0.0,0.0
2010-03-17,1123.018814322253,1123.018814322253,1124.4890222376616,0.62,0.0,0.0
2010-03-18,1130.0285678816742,1130.0285678816742,1133.4190720412248,0.62,0.0,0.0
2010-03-19,1142.3949179323552,1142.3949179323552,1143.7404591533914,0.62,0.0,0.0
2010-03-22,1160.4373960182263,1160.4373960182263,1162.8875362362535,0.61,0.0,0.0
2010-03-23,1155.071635995872,1155.071635995872,1159.8649761233157,0.62,0.0,0.0
