rebalance_date,entry_count,exit_count,turnover_frac_one_side,two_side_cost_rate
2010-01-12,1,1,0.1,0.0006000000000000001
2010-01-26,2,2,0.2,0.0012000000000000001
2010-02-09,3,3,0.3,0.0018
2010-02-23,0,0,0.0,0.0
2010-03-09,1,1,0.1,0.0006000000000000001
2010-03-23,1,1,0.1,0.0006000000000000001
2010-04-06,1,1,0.1,0.0006000000000000001
2010-04-20,1,1,0.1,0.0006000000000000001
2010-05-04,1,1,0.1,0.0006000000000000001
2010-05-18,1,1,0.1,0.0006000000000000001
2010-06-01,1,1,0.1,0.0006000000000000001
2010-06-17,1,1,0.1,0.0006000000000000001
2010-06-29,1,1,0.1,0.0006000000000000001
2010-07-13,1,1,0.1,0.0006000000000000001
2010-07-27,2,2,0.2,0.0012000000000000001
2010-08-10,0,0,0.0,0.0
2010-08-24,0,0,0.0,0.0
2010-09-07,1,1,0.1,0.0006000000000000001
2010-09-21,0,0,0.0,0.0
2010-10-08,0,0,0.0,0.0
2010-10-19,0,0,0.0,0.0
2010-11-02,2,2,0.2,0.0012000000000000001
2010-11-16,2,2,0.2,0.0012000000000000001
2010-11-30,1,1,0.1,0.0006000000000000001
2010-12-14,1,1,0.1,0.0006000000000000001
2010-12-28,2,2,0.2,0.0012000000000000001
2011-01-11,2,2,0.2,0.0012000000000000001
2011-01-25,2,2,0.2,0.0012000000000000001
2011-02-09,1,1,0.1,0.0006000000000000001
2011-02-22,1,1,0.1,0.0006000000000000001
2011-03-08,1,1,0.1,0.0006000000000000001
2011-03-22,1,1,0.1,0.0006000000000000001
2011-04-06,1,1,0.1,0.0006000000000000001
2011-04-19,1,1,0.1,0.0006000000000000001
2011-05-03,1,1,0.1,0.0006000000000000001
2011-05-17,0,0,0.0,0.0
2011-05-31,2,2,0.2,0.0012000000000000001
2011-06-14,3,3,0.3,0.0018
2011-06-28,1,1,0.1,0.0006000000000000001
2011-07-12,2,2,0.2,0.0012000000000000001
2011-07-26,3,3,0.3,0.0018
2011-08-09,1,1,0.1,0.0006000000000000001
2011-08-23,1,1,0.1,0.0006000000000000001
2011-09-06,1,1,0.1,0.0006000000000000001
2011-09-20,1,1,0.1,0.0006000000000000001
2011-10-10,1,1,0.1,0.0006000000000000001
2011-10-18,1,1,0.1,0.0006000000000000001
2011-11-01,1,1,0.1,0.0006000000000000001
2011-11-15,1,1,0.1,0.0006000000000000001
2011-11-29,2,2,0.2,0.0012000000000000001
2011-12-13,5,5,0.5,0.003
2011-12-27,3,3,0.3,0.0018
2012-01-10,1,1,0.1,0.0006000000000000001
2012-01-30,1,1,0.1,0.0006000000000000001
2012-02-07,2,2,0.2,0.0012000000000000001
2012-02-21,2,2,0.2,0.0012000000000000001
2012-03-06,2,2,0.2,0.0012000000000000001
2012-03-20,0,0,0.0,0.0
2012-04-05,3,3,0.3,0.0018
2012-04-17,1,1,0.1,0.0006000000000000001
2012-05-02,3,3,0.3,0.0018
2012-05-15,2,2,0.2,0.0012000000000000001
2012-05-29,1,1,0.1,0.0006000000000000001
2012-06-12,1,1,0.1,0.0006000000000000001
2012-06-26,2,2,0.2,0.0012000000000000001
2012-07-10,2,2,0.2,0.0012000000000000001
2012-07-24,2,2,0.2,0.0012000000000000001
2012-08-07,4,4,0.4,0.0024000000000000002
2012-08-21,2,2,0.2,0.0012000000000000001
2012-09-04,3,3,0.3,0.0018
2012-09-18,1,1,0.1,0.0006000000000000001
2012-10-08,1,1,0.1,0.0006000000000000001
2012-10-16,1,1,0.1,0.0006000000000000001
2012-10-30,0,0,0.0,0.0
2012-11-13,0,0,0.0,0.0
2012-11-27,0,0,0.0,0.0
2012-12-11,0,0,0.0,0.0
2012-12-25,1,1,0.1,0.0006000000000000001
2013-01-08,1,1,0.1,0.0006000000000000001
2013-01-22,0,0,0.0,0.0
2013-02-05,1,1,0.1,0.0006000000000000001
2013-02-19,1,1,0.1,0.0006000000000000001
2013-03-05,2,2,0.2,0.0012000000000000001
2013-03-19,3,3,0.3,0.0018
2013-04-02,1,1,0.1,0.0006000000000000001
2013-04-16,2,2,0.2,0.0012000000000000001
2013-05-02,1,1,0.1,0.0006000000000000001
2013-05-14,2,2,0.2,0.0012000000000000001
2013-05-28,4,4,0.4,0.0024000000000000002
2013-06-13,3,3,0.3,0.0018
2013-06-25,2,2,0.2,0.0012000000000000001
2013-07-09,3,3,0.3,0.0018
2013-07-23,4,4,0.4,0.0024000000000000002
2013-08-06,2,2,0.2,0.0012000000000000001
2013-08-20,2,2,0.2,0.0012000000000000001
2013-09-03,2,2,0.2,0.0012000000000000001
2013-09-17,1,1,0.1,0.0006000000000000001
2013-10-08,1,1,0.1,0.0006000000000000001
2013-10-22,1,1,0.1,0.0006000000000000001
2013-11-05,4,4,0.4,0.0024000000000000002
2013-11-19,3,3,0.3,0.0018
2013-12-03,2,2,0.2,0.0012000000000000001
2013-12-17,1,1,0.1,0.0006000000000000001
2013-12-31,1,1,0.1,0.0006000000000000001
2014-01-14,2,2,0.2,0.0012000000000000001
2014-01-28,1,1,0.1,0.0006000000000000001
2014-02-11,0,0,0.0,0.0
2014-02-25,0,0,0.0,0.0
2014-03-11,3,3,0.3,0.0018
2014-03-25,2,2,0.2,0.0012000000000000001
2014-04-08,0,0,0.0,0.0
2014-04-22,0,0,0.0,0.0
2014-05-06,3,3,0.3,0.0018
2014-05-20,1,1,0.1,0.0006000000000000001
2014-06-03,1,1,0.1,0.0006000000000000001
2014-06-17,1,1,0.1,0.0006000000000000001
2014-07-01,2,2,0.2,0.0012000000000000001
2014-07-15,2,2,0.2,0.0012000000000000001
2014-07-29,2,2,0.2,0.0012000000000000001
2014-08-12,3,3,0.3,0.0018
2014-08-26,4,4,0.4,0.0024000000000000002
2014-09-09,4,4,0.4,0.0024000000000000002
2014-09-23,1,1,0.1,0.0006000000000000001
2014-10-08,2,2,0.2,0.0012000000000000001
2014-10-21,1,1,0.1,0.0006000000000000001
2014-11-04,0,0,0.0,0.0
2014-11-18,3,3,0.3,0.0018
2014-12-02,3,3,0.3,0.0018
2014-12-16,3,3,0.3,0.0018
2014-12-30,4,4,0.4,0.0024000000000000002
2015-01-13,2,2,0.2,0.0012000000000000001
2015-01-27,4,4,0.4,0.0024000000000000002
2015-02-10,4,4,0.4,0.0024000000000000002
2015-02-25,6,6,0.6,0.0036
2015-03-10,6,6,0.6,0.0036
2015-03-24,3,3,0.3,0.0018
2015-04-07,3,3,0.3,0.0018
2015-04-21,2,2,0.2,0.0012000000000000001
2015-05-05,5,5,0.5,0.003
2015-05-19,8,8,0.8,0.0048000000000000004
2015-06-02,8,8,0.8,0.0048000000000000004
2015-06-16,6,6,0.6,0.0036
2015-06-30,8,8,0.8,0.0048000000000000004
2015-07-14,8,8,0.8,0.0048000000000000004
2015-07-28,4,4,0.4,0.0024000000000000002
2015-08-11,4,4,0.4,0.0024000000000000002
2015-08-25,7,7,0.7,0.0042
2015-09-08,6,6,0.6,0.0036
2015-09-22,3,3,0.3,0.0018
2015-10-08,3,3,0.3,0.0018
2015-10-20,6,6,0.6,0.0036
2015-11-03,1,1,0.1,0.0006000000000000001
2015-11-17,5,5,0.5,0.003
2015-12-01,0,0,0.0,0.0
2015-12-15,3,3,0.3,0.0018
2015-12-29,3,3,0.3,0.0018
2016-01-12,6,6,0.6,0.0036
2016-01-26,5,5,0.5,0.003
2016-02-15,4,4,0.4,0.0024000000000000002
2016-02-23,5,5,0.5,0.003
2016-03-08,4,4,0.4,0.0024000000000000002
2016-03-22,6,6,0.6,0.0036
2016-04-05,4,4,0.4,0.0024000000000000002
2016-04-19,4,4,0.4,0.0024000000000000002
2016-05-03,4,4,0.4,0.0024000000000000002
2016-05-17,9,9,0.9,0.0054
2016-05-31,6,6,0.6,0.0036
2016-06-14,3,3,0.3,0.0018
2016-06-28,5,5,0.5,0.003
2016-07-12,6,6,0.6,0.0036
2016-07-26,6,6,0.6,0.0036
2016-08-09,3,3,0.3,0.0018
2016-08-23,4,4,0.4,0.0024000000000000002
2016-09-06,5,5,0.5,0.003
2016-09-20,7,7,0.7,0.0042
2016-10-10,6,6,0.6,0.0036
2016-10-18,6,6,0.6,0.0036
2016-11-01,7,7,0.7,0.0042
2016-11-15,6,6,0.6,0.0036
2016-11-29,6,6,0.6,0.0036
2016-12-13,9,9,0.9,0.0054
2016-12-27,8,8,0.8,0.0048000000000000004
2017-01-10,10,10,1.0,0.006
2017-01-24,10,10,1.0,0.006
2017-02-07,7,7,0.7,0.0042
2017-02-21,9,9,0.9,0.0054
2017-03-07,9,9,0.9,0.0054
2017-03-21,9,9,0.9,0.0054
2017-04-05,9,9,0.9,0.0054
2017-04-18,9,9,0.9,0.0054
2017-05-02,8,8,0.8,0.0048000000000000004
2017-05-16,7,7,0.7,0.0042
2017-05-31,5,5,0.5,0.003
2017-06-13,4,4,0.4,0.0024000000000000002
2017-06-27,7,7,0.7,0.0042
2017-07-11,7,7,0.7,0.0042
2017-07-25,5,5,0.5,0.003
2017-08-08,6,6,0.6,0.0036
2017-08-22,4,4,0.4,0.0024000000000000002
2017-09-05,4,4,0.4,0.0024000000000000002
2017-09-19,4,4,0.4,0.0024000000000000002
2017-10-09,4,4,0.4,0.0024000000000000002
2017-10-17,3,3,0.3,0.0018
2017-10-31,5,5,0.5,0.003
2017-11-14,5,5,0.5,0.003
2017-11-28,5,5,0.5,0.003
2017-12-12,3,3,0.3,0.0018
2017-12-26,3,3,0.3,0.0018
2018-01-09,2,2,0.2,0.0012000000000000001
2018-01-23,3,3,0.3,0.0018
2018-02-06,4,4,0.4,0.0024000000000000002
2018-02-22,1,1,0.1,0.0006000000000000001
2018-03-06,0,0,0.0,0.0
2018-03-20,0,0,0.0,0.0
2018-04-03,2,2,0.2,0.0012000000000000001
2018-04-17,1,1,0.1,0.0006000000000000001
