date,return,weight,target_weight_next,signal_on,mom_signal_on,bias_signal_on,nav
2010-02-22,0.0,0.0,1.0,True,True,True,1.0
2010-02-23,-0.004250363392923206,1.0,0.5,True,False,True,0.9957496366070768
2010-02-24,0.001002577230912777,0.5,0.5,True,False,True,0.9967479525204288
2010-02-25,-0.0013256661736662676,0.5,0.0,False,False,False,0.9954265974761014
2010-02-26,0.0,0.0,0.0,False,False,False,0.9954265974761014
2010-03-01,0.0,0.0,0.5,True,True,False,0.9954265974761014
2010-03-02,0.0010839468379378716,0.5,0.5,True,True,False,0.9965055869888347
2010-03-03,-0.000652966544090766,0.5,1.0,True,True,True,0.9958549021795315
2010-03-04,-0.002423752840893611,1.0,1.0,True,True,True,0.9934411960312561
2010-03-05,0.005619490651975945,1.0,1.0,True,True,True,0.9990238295456416
2010-03-08,0.0012185843463081384,1.0,1.0,True,True,True,1.0002412243459147
2010-03-09,0.0003307207791358405,1.0,1.0,True,True,True,1.0005720249029542
2010-03-10,0.002551086130070124,1.0,1.0,True,True,True,1.0031245703178202
2010-03-11,0.005571381330075587,1.0,1.0,True,True,True,1.0087133598206288
2010-03-12,0.0018834110962147824,1.0,1.0,True,True,True,1.010613181755415
2010-03-15,0.0005230880055134505,1.0,1.0,True,True,True,1.0111418213890049
2010-03-16,-0.0005235159775407779,1.0,1.0,True,True,True,1.0106124724899481
2010-03-17,-0.001347135842636937,1.0,1.0,True,True,True,1.009251040205241
2010-03-18,0.0034845592394141204,1.0,1.0,True,True,True,1.0127678352422766
2010-03-19,0.0007161160030253137,1.0,1.0,True,True,True,1.0134930944964429
2010-03-22,0.0009263550826967507,1.0,1.0,True,True,True,1.0144319489758078
2010-03-23,0.0008301273782614586,1.0,1.0,True,True,True,1.0152740567100356
2010-03-24,0.003560757822372607,1.0,1.0,True,True,True,1.0188892017493179
2010-03-25,0.004122124277412287,1.0,1.0,True,True,True,1.0230891896638419
2010-03-26,-0.0027293664276577864,1.0,1.0,True,True,True,1.0202968043770737
2010-03-29,-0.002034609680063448,1.0,1.0,True,True,True,1.0182208986223504
2010-03-30,0.003739428623146657,1.0,1.0,True,True,True,1.0220284629953449
2010-03-31,0.0020477537006408867,1.0,0.5,True,True,False,1.024121325562604
2010-04-01,-0.0012440080215997571,0.5,0.5,True,True,False,1.0228473104185127
2010-04-02,-0.00013096189418017586,0.5,0.5,True,True,False,1.0227133563972832
2010-04-06,0.0023213486573412214,0.5,0.5,True,True,False,1.025087430674001
2010-04-07,0.002446060961200686,0.5,0.5,True,True,False,1.0275948570199902
2010-04-08,-0.0010833154910937668,0.5,0.5,True,True,False,1.0264816475928122
2010-04-09,0.0006161032196200069,0.5,0.5,True,True,False,1.027114066240775
2010-04-12,0.0015339105158881207,0.5,1.0,True,True,True,1.028689567307998
2010-04-13,-0.005958943044990039,1.0,0.5,True,True,False,1.0225596647654343
2010-04-14,-0.0036495685534692233,0.5,0.0,False,False,False,1.0188277631688603
2010-04-15,0.0,0.0,0.0,False,False,False,1.0188277631688603
2010-04-16,0.0,0.0,0.0,False,False,False,1.0188277631688603
2010-04-19,0.0,0.0,0.0,False,False,False,1.0188277631688603
2010-04-20,0.0,0.0,0.0,False,False,False,1.0188277631688603
2010-04-21,0.0,0.0,0.0,False,False,False,1.0188277631688603
2010-04-22,0.0,0.0,0.0,False,False,False,1.0188277631688603
2010-04-23,0.0,0.0,0.0,False,False,False,1.0188277631688603
2010-04-26,0.0,0.0,0.0,False,False,False,1.0188277631688603
2010-04-27,0.0,0.0,0.0,False,False,False,1.0188277631688603
2010-04-28,0.0,0.0,0.5,True,True,False,1.0188277631688603
2010-04-29,0.0002616939689240984,0.5,0.5,True,True,False,1.019094384249854
2010-04-30,-0.004431580375968985,0.5,0.0,False,False,False,1.0145781855753522
2010-05-04,0.0,0.0,0.0,False,False,False,1.0145781855753522
2010-05-05,0.0,0.0,0.0,False,False,False,1.0145781855753522
2010-05-06,0.0,0.0,0.0,False,False,False,1.0145781855753522
2010-05-07,0.0,0.0,0.0,False,False,False,1.0145781855753522
2010-05-10,0.0,0.0,0.0,False,False,False,1.0145781855753522
2010-05-11,0.0,0.0,0.0,False,False,False,1.0145781855753522
2010-05-12,0.0,0.0,0.0,False,False,False,1.0145781855753522
2010-05-13,0.0,0.0,0.0,False,False,False,1.0145781855753522
2010-05-14,0.0,0.0,0.5,True,False,True,1.0145781855753522
2010-05-17,-0.002209619153117642,0.5,0.0,False,False,False,1.0123363541841695
2010-05-18,0.0,0.0,0.0,False,False,False,1.0123363541841695
2010-05-19,0.0,0.0,0.0,False,False,False,1.0123363541841695
2010-05-20,0.0,0.0,0.0,False,False,False,1.0123363541841695
2010-05-21,0.0,0.0,0.0,False,False,False,1.0123363541841695
2010-05-24,0.0,0.0,0.0,False,False,False,1.0123363541841695
2010-05-25,0.0,0.0,0.0,False,False,False,1.0123363541841695
2010-05-26,0.0,0.0,0.5,True,False,True,1.0123363541841695
2010-05-27,0.0008110804344258872,0.5,0.5,True,False,True,1.0131574403941064
2010-05-28,0.0008711423874142423,0.5,1.0,True,True,True,1.0140400447855578
2010-05-31,-0.002125018819076818,1.0,0.5,True,False,True,1.011885190607091
2010-06-01,-0.0004924650976424636,0.5,0.5,True,False,True,1.0113868724678956
2010-06-02,0.0005667472593756497,0.5,1.0,True,True,True,1.0119600732060352
2010-06-03,0.0023802895189125265,1.0,1.0,True,True,True,1.0143688311618455
2010-06-04,-0.00022813923573553578,1.0,1.0,True,True,True,1.0141374138319503
2010-06-07,0.0036715134170149603,1.0,1.0,True,True,True,1.017860832953531
