schedule,execution_timing,trade_constraint_mode,net_annual,net_max_dd,net_sharpe,net_vol,net_total_return,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,entry_days,rebalance_cost_days,avg_monthly_equiv_turnover_frac,rebalance_events
weekly,close,close,0.2940303427029991,-0.15754422758787306,2.719570897601057,0.10811644695946859,63.03769915198272,0.6360000000000001,0.26286,0.89886,212,608,0.0703206650831354,842
biweekly,close,close,0.24665254872584352,-0.16017211879235327,2.3577112097626722,0.10461525046176949,34.07790948854174,0.675,0.17709000000000003,0.85209,225,291,0.0995249406175772,421
monthly,close,close,0.18998312718357813,-0.16249745274694072,1.8168858923261093,0.10456524979691924,15.557464377292536,0.6990000000000001,0.11298,0.81198,233,130,0.1449230769230769,195
