reg_window,z_window,rows,sample_start,sample_end,total_return,annual_return,sharpe,max_drawdown,position_days_pct,trades
24,60,3934,2010-01-04,2026-03-18,74.28250686622819,0.30570868251615235,1.42617582086057,-0.5037022801804188,0.5218607015760041,268
20,80,3934,2010-01-04,2026-03-18,64.93908874866905,0.2950714310066851,1.3427974793162818,-0.32169844561710315,0.5172852058973055,314
24,80,3934,2010-01-04,2026-03-18,53.723846653179564,0.2802528744151598,1.3372238667788516,-0.49528618972443594,0.5190645653279106,262
20,60,3934,2010-01-04,2026-03-18,67.91845490385246,0.2986091569416085,1.3243611076385027,-0.3935067146980069,0.5238942552109812,318
20,200,3934,2010-01-04,2026-03-18,55.94010850552504,0.28339419149261147,1.288025784054888,-0.40940707193568615,0.4877986781901373,306
40,60,3934,2010-01-04,2026-03-18,44.63495499878403,0.2659794175961405,1.2816116476828814,-0.3699767760849625,0.5315200813421453,156
30,80,3934,2010-01-04,2026-03-18,43.90847802282349,0.2647259750619879,1.2730503863621645,-0.48384777292173864,0.5216065073716319,214
24,40,3934,2010-01-04,2026-03-18,48.95942829490846,0.2730744896088957,1.264403536165424,-0.41900015124513923,0.5129639044229791,262
20,250,3934,2010-01-04,2026-03-18,47.842485784503914,0.27129885587916336,1.2489870961295315,-0.3494164176268323,0.48576512455516013,300
40,80,3934,2010-01-04,2026-03-18,43.384233906881605,0.263809585268282,1.2473065389741291,-0.3981074938842778,0.5376207422470768,162
30,60,3934,2010-01-04,2026-03-18,39.88687342494613,0.25742279288688064,1.2468853749549835,-0.4797013477717209,0.5246568378240977,202
20,100,3934,2010-01-04,2026-03-18,46.59322797231366,0.26926716552733465,1.2402507975775214,-0.41256215913977845,0.509150991357397,308
30,40,3934,2010-01-04,2026-03-18,41.82448267070894,0.26102177885490696,1.2337251707102825,-0.40799896741229247,0.5213523131672598,218
20,800,3934,2010-01-04,2026-03-18,37.89193747845802,0.2535460983318254,1.2201858705472073,-0.35285519145327715,0.3917132689374682,234
20,160,3934,2010-01-04,2026-03-18,45.084245874964466,0.26674527415748917,1.2078042995665024,-0.33550028570619195,0.49669547534316216,290
20,1000,3934,2010-01-04,2026-03-18,33.061232387833314,0.24332530252999018,1.2065212828160299,-0.35285519145327726,0.3657854600915099,216
