config,target_vol,avg_effective_leverage_all_days,avg_leverage_active_days,latest_weight,active_days_pct,rebalances_total,rebalances_per_year,signal_changes_total,signal_changes_per_year
baseline,,0.67578125,1.0,1.0,0.67578125,128,40.23407917383821,129,40.54840791738383
tv_10,0.1,0.6161027516937226,0.9116896210034277,1.0,0.67578125,171,53.75021514629949,129,40.54840791738383
tv_20,0.2,0.963659287744242,1.4259929344654678,1.0,0.67578125,143,44.94901032702238,129,40.54840791738383
tv_30,0.3,0.9563578844242967,1.4151885457376872,1.0,0.67578125,130,40.862736660929436,129,40.54840791738383
