date,return_raw,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,ratio_bias_mom,ratio_r2,futures_drag,active_spread_ret,weight,realized_vol,scale_raw,return,nav,long_only_return,long_only_nav
2010-02-22,0.0,cash,long_microcap_short_zz1000,True,1017.8398159149124,4392.69,0.005365840243059861,0.006048627206683976,0.02670005073795534,0.026670063432260083,2.9987305695255984e-05,4.107751199479495,0.0010646864705353605,0.0,0.0,1.0,,,0.0,1.0,0.0,1.0
2010-02-23,-0.0061349269750042065,long_microcap_short_zz1000,cash,False,1028.4774849246403,4464.23,0.010451221148355172,0.01628614812335938,0.03772504710823554,0.043695482929771545,-0.005970435821536002,-2.297018663546748,0.5577086915076331,0.0003,-0.0058349269750042065,1.0,,,-0.0061349269750042065,0.9938650730249958,0.010451221148355172,1.0104512211483552
2010-02-24,0.0,cash,cash,False,1052.4758100635966,4559.66,0.02333383617115814,0.02137658677980303,0.04843265304979871,0.052937128500237796,-0.004504475450439083,-7.93247022448007,0.8095423016843624,0.0,0.0,1.0,,,0.0,0.9938650730249958,0.0,1.0104512211483552
2010-02-25,0.0,cash,cash,False,1070.6464937541105,4645.06,0.017264704344526427,0.018729466670760697,0.06934646921284338,0.07845827732155763,-0.009111808108714259,-16.060282899115162,0.692088697410293,0.0,0.0,1.0,,,0.0,0.9938650730249958,0.0,1.0104512211483552
2010-02-26,0.0,cash,cash,False,1081.1207390438915,4653.34,0.009783103340724741,0.001782538869250283,0.06787123397806072,0.0657447529704922,0.0021264810075685148,-14.924033938494286,0.06404240814027937,0.0,0.0,1.0,,,0.0,0.9938650730249958,0.0,1.0104512211483552
2010-03-01,0.0,cash,cash,False,1100.5882784261785,4721.89,0.018006813373595554,0.014731354253074258,0.08129811903348028,0.0749426888762923,0.00635543015718798,-10.040871841709675,0.8104270620374954,0.0,0.0,1.0,,,0.0,0.9938650730249958,0.0,1.0104512211483552
2010-03-02,0.0,cash,cash,False,1108.1115689778485,4724.64,0.00683569932475403,0.0005823939143012602,0.07742909807990905,0.058332567990448725,0.01909653008946033,-2.7450658415345237,0.9076117155401301,0.0,0.0,1.0,,,0.0,0.9938650730249958,0.0,1.0104512211483552
2010-03-03,0.0,cash,long_microcap_short_zz1000,True,1121.224411561548,4788.5,0.011833503909534304,0.013516373734294929,0.0653208376293204,0.050187952610501796,0.015132885018818598,2.289603479941824,0.8717665036821218,0.0,0.0,1.0,,,0.0,0.9938650730249958,0.0,1.0104512211483552
2010-03-04,-0.0004142020697209034,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1081.138769958813,4617.85,-0.035751666829040074,-0.03563746475931917,0.009799944487664192,-0.005857836066703093,0.015657780554367284,7.60691154898976,0.6500536874921652,0.0003,-0.00011420206972090341,1.0,,,-0.0004142020697209034,0.9934534120547256,-0.035751666829040074,0.9743259057428625
2010-03-05,0.00814304895699688,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1090.152157902869,4617.36,0.00833693897074772,-0.0001061099862491588,0.008353755998580459,-0.007732080613065073,0.016085836611645532,14.477422764696747,0.6595531957825054,0.0003,0.00844304895699688,1.0,,,0.00814304895699688,1.0015431518255828,0.00833693897074772,0.9824488013566592
