date,return_raw,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,ratio_bias_mom,ratio_r2,futures_drag,active_spread_ret,weight,realized_vol,scale_raw,return,nav,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2010-01-27,0.0,cash,long_microcap_short_zz1000,True,957.2073691629819,4194.63,-0.007102152403826945,-0.007643827449644314,-0.05252328957983998,-0.05997001499250365,0.007446725412663668,,0.40287764241659446,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2010-01-28,-0.00196194599551317,long_microcap_short_zz1000,long_microcap_short_zz1000,True,967.804612571984,4248.04,0.011071000652939755,0.012732946648452925,-0.039626528907224956,-0.04599954635998804,0.006373017452763086,,0.480023422715353,0.0003,-0.00166194599551317,1.0,,,-0.00196194599551317,0.9980380540044869,0.003,0.0,0.003,-0.004956060157526587,0.9950439398424734
2010-01-29,-0.0011110108013135164,long_microcap_short_zz1000,long_microcap_short_zz1000,True,976.6521028139581,4290.32,0.009141814501649748,0.009952825302963264,-0.012181070698267682,-0.01624338478753362,0.004062314089265939,,0.8676681161353046,0.0003,-0.0008110108013135164,1.0,,,-0.0011110108013135164,0.996929222946366,0.0,0.0,0.0,-0.0011110108013134834,0.9939384352775269
2010-02-01,-0.00011097482048331135,long_microcap_short_zz1000,long_microcap_short_zz1000,True,965.3795505406378,4239.99,-0.011542034508338794,-0.011731059687855483,-0.032785283675505594,-0.040242022558892976,0.0074567388833873816,,0.7521623222956807,0.0003,0.00018902517951668862,1.0,,,-0.00011097482048331135,0.996818588904815,0.0,0.0,0.0,-0.00011097482048327834,0.9938281331381006
2010-02-02,0.00405168200983882,long_microcap_short_zz1000,long_microcap_short_zz1000,True,966.2745979733862,4225.47,0.0009271456312154314,-0.0034245363786233884,-0.036563938356794945,-0.0504433767646304,0.013879438407835454,,0.08881983577591944,0.0003,0.00435168200983882,1.0,,,0.00405168200983882,1.0008573808485537,0.0,0.0007800000000000001,0.0007800000000000001,0.003268521697871174,0.9970764819552173
2010-02-03,0.00042714689453623474,long_microcap_short_zz1000,long_microcap_short_zz1000,True,985.1274426678074,4304.84,0.019510856162380907,0.018783709267844673,-0.03636082252643813,-0.05213140743350364,0.01577058490706551,,0.7055283444153866,0.0003,0.0007271468945362347,1.0,,,0.00042714689453623474,1.001284893970657,0.0,0.0,0.0,0.00042714689453626775,0.9975023800780995
2010-02-04,-0.001808742023627274,long_microcap_short_zz1000,long_microcap_short_zz1000,True,997.2320554933134,4364.23,0.012287357250677866,0.01379609927430514,-0.01582584929613695,-0.026996958968367957,0.011171109672231005,,0.64409889102339,0.0003,-0.0015087420236272742,1.0,,,-0.001808742023627274,0.999473827905309,0.0,0.0,0.0,-0.0018087420236272411,0.9956981556045841
2010-02-05,0.007851017329132482,long_microcap_short_zz1000,long_microcap_short_zz1000,True,986.5205823422675,4281.78,-0.010741204208229216,-0.018892221537361698,-0.051046484246459634,-0.07105634261167648,0.020009858365216848,,0.706324309418747,0.0003,0.008151017329132482,1.0,,,0.007851017329132482,1.007320714248208,0.0,0.0,0.0,0.007851017329132404,1.0035153990788208
2010-02-08,0.0038955033544942567,long_microcap_short_zz1000,long_microcap_short_zz1000,True,989.922253897956,4278.58,0.003448150618015511,-0.0007473527364787458,-0.0541808878261838,-0.08147330772913364,0.027292419902949838,,0.7532953035692016,0.0003,0.004195503354494257,1.0,,,0.0038955033544942567,1.0112447354696135,0.0,0.0,0.0,0.0038955033544942896,1.007424596682219
2010-02-09,-0.0008187555383761033,long_microcap_short_zz1000,long_microcap_short_zz1000,True,989.1195174859482,4277.33,-0.0008109085424101714,-0.0002921530040340681,-0.07038259775629818,-0.09647553363399208,0.0260929358776939,,0.8245933177342086,0.0003,-0.0005187555383761033,1.0,,,-0.0008187555383761033,1.0104167732417941,0.0,0.0,0.0,-0.0008187555383760703,1.0065997622141891
