annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,window,strategy
-0.10582241974373285,0.21054063732704809,-0.5026223017428754,-0.1272531752099333,-0.028375356068812363,2026-01-05,2026-04-09,62,ytd,baseline_v1_1
0.3138096951951381,0.16113978912235694,1.947437668277297,-0.12725317520993318,0.3135642838268691,2025-04-09,2026-04-09,243,1y,baseline_v1_1
0.29257715516107496,0.15408266454245165,1.89883239642748,-0.12725317520993273,1.1584429018142979,2023-04-10,2026-04-09,726,3y,baseline_v1_1
0.2536762594789066,0.15193944517002964,1.6695879019107065,-0.1434863780482677,2.096419579019002,2021-04-09,2026-04-09,1211,5y,baseline_v1_1
0.26724227284241464,0.12369063256314039,2.1605700230047367,-0.14348637804826814,9.663320961256964,2016-04-11,2026-04-09,2429,10y,baseline_v1_1
0.26219764299898785,0.10899757669228109,2.40553644361486,-0.14348637804826736,31.841724027206922,2011-04-11,2026-04-09,3645,15y,baseline_v1_1
-0.038754442583610604,0.19273695589503134,-0.20107426935142164,-0.10701419215335783,-0.010120610119259354,2026-01-05,2026-04-09,62,ytd,reference_3_6
0.29857143607578074,0.14933025846034212,1.999403464201951,-0.10701419215335828,0.29833923852099264,2025-04-09,2026-04-09,243,1y,reference_3_6
0.26394516422344205,0.13959286958942965,1.890821250395935,-0.10701419215335828,1.0182539467221474,2023-04-10,2026-04-09,726,3y,reference_3_6
0.22711178592641956,0.13633030827621143,1.665893584471919,-0.11962955226690986,1.7820171243606229,2021-04-09,2026-04-09,1211,5y,reference_3_6
0.24976805065906915,0.11291195466667472,2.212060285347152,-0.1196295522669103,8.281783186586711,2016-04-11,2026-04-09,2429,10y,reference_3_6
0.2485757767896457,0.1000602080722676,2.484262041611127,-0.11962955226691052,26.91011521135594,2011-04-11,2026-04-09,3645,15y,reference_3_6
-0.051392443364383866,0.19443633092885737,-0.2643150234262954,-0.11005058195778072,-0.013486463933095605,2026-01-05,2026-04-09,62,ytd,best_practical_scan
0.3061831290345811,0.1513184238737313,2.0234358857060113,-0.1100505819577805,0.3059443462184075,2025-04-09,2026-04-09,243,1y,best_practical_scan
0.28243759336781693,0.14262542521604252,1.9802752064717304,-0.11005058195778006,1.1080789951873444,2023-04-10,2026-04-09,726,3y,best_practical_scan
0.2359061786718024,0.13799847500596618,1.7094839538016875,-0.12383715447651777,1.883132199404037,2021-04-09,2026-04-09,1211,5y,best_practical_scan
0.2543001199999311,0.11403640924782242,2.229990594032906,-0.12383715447651822,8.623678740707982,2016-04-11,2026-04-09,2429,10y,best_practical_scan
0.25209999385358905,0.10104836918502201,2.494844754911263,-0.12383715447651844,28.115039884866324,2011-04-11,2026-04-09,3645,15y,best_practical_scan
