weekday_anchor,window_years,annual,max_dd,sharpe
Thursday,1,0.38292280958565716,-0.06113813156759635,2.5355287278745102
Tuesday,1,0.3411925724169167,-0.07030824215509628,2.3074691295301473
Monday,1,0.32064773147391334,-0.08774485417494776,2.087193041573421
Friday,1,0.31293833776241775,-0.08500946302988051,2.055551200581972
Wednesday,1,0.2782697911745806,-0.12115161173518127,1.7883269077602244
Thursday,2,0.33422725007910303,-0.10568122006438782,2.1267744005735136
Monday,2,0.3096034706904578,-0.10668830511809864,1.9497902303357062
Tuesday,2,0.28910906191923336,-0.10579340513002781,1.8685634135570068
Friday,2,0.2756502429930332,-0.10640610075618567,1.7556319194264405
Wednesday,2,0.2266530146323591,-0.12115161173518105,1.4242887849723738
Thursday,3,0.3470813074487311,-0.10568122006438774,2.368396431407194
Tuesday,3,0.3097497703561689,-0.10579340513002779,2.143636016501573
Monday,3,0.3143399907430404,-0.10668830511809879,2.129480088033903
Friday,3,0.3036002351961191,-0.10640610075618578,2.068801689982439
Wednesday,3,0.2623468150505499,-0.12115161173518128,1.7743130784553738
Thursday,4,0.3311761472457164,-0.115516263048338,2.3157307623319445
Monday,4,0.29575974953532613,-0.1138349417585936,2.0550510883101127
Tuesday,4,0.2719329675434856,-0.13638816165313922,1.9253113882028698
Friday,4,0.2750033010768651,-0.1369556075161819,1.9155686595487527
Wednesday,4,0.24422528373014973,-0.13812623214651948,1.6927422277609632
Thursday,5,0.2851183255079195,-0.1748344675626234,1.9487564468157679
Monday,5,0.2720288748232651,-0.13935369266781072,1.852150676601586
Tuesday,5,0.25010195460102747,-0.15894217837021732,1.7249003990856995
Friday,5,0.24972294128489603,-0.14925073074680684,1.7049060475019684
Wednesday,5,0.23639617131460988,-0.1517927414298375,1.6067989187540945
