window_years,strategy,start_date,end_date,annual_pct,max_dd_pct,sharpe,total_return_pct,vol_pct
1,mom16,2025-04-09,2026-04-09,30.2251934484254,-12.765147680871284,1.909192478711233,30.201655654259874,15.83140190706617
1,bias20_10,2025-04-09,2026-04-09,4.879956302790234,-12.752639506910857,0.37505397467807444,4.876536005901899,13.011344052489825
3,mom16,2023-04-10,2026-04-09,27.92560039353369,-12.765147680871285,1.843133516870324,109.24388099100737,15.15115434553645
3,bias20_10,2023-04-10,2026-04-09,12.755221813855089,-12.752639506910848,0.9568728569950136,43.31872441918561,13.33011143602912
5,mom16,2021-04-09,2026-04-09,24.03838601245585,-14.728587821533148,1.608637000822835,193.57326110485963,14.943325312149328
5,bias20_10,2021-04-09,2026-04-09,7.243153987515227,-12.752639506910882,0.5754007300399535,41.84926929707113,12.588016680153139
10,mom16,2016-04-11,2026-04-09,25.364530505825478,-14.728587821533104,2.0851209551144296,857.358982806685,12.164536759179754
10,bias20_10,2016-04-11,2026-04-09,12.033525048705652,-12.752639506910867,1.1549108164601296,211.27356569723622,10.419440944876698
15,mom16,2011-04-11,2026-04-09,24.850848107861466,-14.728587821533093,2.318395412649102,2688.756644238836,10.71898605918383
15,bias20_10,2011-04-11,2026-04-09,11.032851706577219,-12.752639506910848,1.1999513139891596,380.34651382966473,9.19441612168349
