action,symbol,name,prev_rank,new_rank,signal_date,effective_date
enter,688021,奥福科技,,32.0,2026-04-02,2026-04-02
enter,300614,百川畅银,,67.0,2026-04-02,2026-04-02
enter,301024,霍普股份,,70.0,2026-04-02,2026-04-02
enter,300556,丝路视觉,,74.0,2026-04-02,2026-04-02
enter,301030,仕净科技,,83.0,2026-04-02,2026-04-02
enter,002963,豪尔赛,,89.0,2026-04-02,2026-04-02
enter,300675,建科院,,92.0,2026-04-02,2026-04-02
enter,688395,正弦电气,,94.0,2026-04-02,2026-04-02
enter,300334,津膜科技,,95.0,2026-04-02,2026-04-02
enter,300640,德艺文创,,98.0,2026-04-02,2026-04-02
exit,688156,路德科技,49.0,,2026-04-02,2026-04-02
exit,688189,南新制药,50.0,,2026-04-02,2026-04-02
exit,300069,金利华电,55.0,,2026-04-02,2026-04-02
exit,688450,光格科技,63.0,,2026-04-02,2026-04-02
exit,000632,三木集团,80.0,,2026-04-02,2026-04-02
exit,000692,惠天热电,84.0,,2026-04-02,2026-04-02
exit,688178,万德斯,91.0,,2026-04-02,2026-04-02
exit,001366,播恩集团,93.0,,2026-04-02,2026-04-02
exit,600768,宁波富邦,95.0,,2026-04-02,2026-04-02
exit,603214,爱婴室,98.0,,2026-04-02,2026-04-02
exit,600149,廊坊发展,100.0,,2026-04-02,2026-04-02
