symbol,status,rows,date_min,date_max
000056,ok,306,2025-01-02,2026-04-10
000548,ok,306,2025-01-02,2026-04-10
000573,ok,306,2025-01-02,2026-04-10
000590,ok,306,2025-01-02,2026-04-10
000605,ok,306,2025-01-02,2026-04-10
000610,ok,306,2025-01-02,2026-04-10
000619,ok,306,2025-01-02,2026-04-10
000632,ok,306,2025-01-02,2026-04-10
000633,ok,301,2025-01-02,2026-04-10
000637,ok,306,2025-01-02,2026-04-10
000663,ok,306,2025-01-02,2026-04-10
000679,ok,306,2025-01-02,2026-04-10
000692,ok,306,2025-01-02,2026-04-10
000702,ok,306,2025-01-02,2026-04-10
000757,ok,306,2025-01-02,2026-04-10
000790,ok,306,2025-01-02,2026-04-10
000802,ok,306,2025-01-02,2026-04-10
000838,ok,306,2025-01-02,2026-04-10
000856,ok,306,2025-01-02,2026-04-10
000890,ok,306,2025-01-02,2026-04-10
000911,ok,306,2025-01-02,2026-04-10
000952,ok,306,2025-01-02,2026-04-10
000953,ok,301,2025-01-02,2026-04-10
000955,ok,306,2025-01-02,2026-04-10
000995,ok,306,2025-01-02,2026-04-10
001202,ok,306,2025-01-02,2026-04-10
001205,ok,306,2025-01-02,2026-04-10
001209,ok,306,2025-01-02,2026-04-10
001211,ok,306,2025-01-02,2026-04-10
001219,ok,306,2025-01-02,2026-04-10
001231,ok,306,2025-01-02,2026-04-10
001234,ok,306,2025-01-02,2026-04-10
001259,ok,306,2025-01-02,2026-04-10
001260,ok,306,2025-01-02,2026-04-10
001277,ok,306,2025-01-02,2026-04-10
001278,ok,306,2025-01-02,2026-04-10
001324,ok,306,2025-01-02,2026-04-10
001336,ok,306,2025-01-02,2026-04-10
001366,ok,306,2025-01-02,2026-04-10
001368,ok,306,2025-01-02,2026-04-10
001373,ok,306,2025-01-02,2026-04-10
001387,ok,306,2025-01-02,2026-04-10
002069,ok,306,2025-01-02,2026-04-10
002072,ok,306,2025-01-02,2026-04-10
002084,ok,306,2025-01-02,2026-04-10
002105,ok,306,2025-01-02,2026-04-10
002114,ok,302,2025-01-02,2026-04-10
002133,ok,306,2025-01-02,2026-04-10
002136,ok,306,2025-01-02,2026-04-10
002144,ok,306,2025-01-02,2026-04-10
002188,ok,306,2025-01-02,2026-04-10
002193,ok,306,2025-01-02,2026-04-10
002205,ok,306,2025-01-02,2026-04-10
002207,ok,306,2025-01-02,2026-04-10
002227,ok,306,2025-01-02,2026-04-10
002234,ok,306,2025-01-02,2026-04-10
002247,ok,306,2025-01-02,2026-04-10
002295,ok,306,2025-01-02,2026-04-10
002316,ok,305,2025-01-02,2026-04-10
002319,ok,306,2025-01-02,2026-04-10
002330,ok,306,2025-01-02,2026-04-10
002360,ok,306,2025-01-02,2026-04-10
002381,ok,306,2025-01-02,2026-04-10
002388,ok,305,2025-01-02,2026-04-10
002397,ok,306,2025-01-02,2026-04-10
002420,ok,303,2025-01-02,2026-04-10
002442,ok,306,2025-01-02,2026-04-10
002486,ok,306,2025-01-02,2026-04-10
002492,ok,306,2025-01-02,2026-04-10
002494,ok,298,2025-01-14,2026-04-10
002495,ok,306,2025-01-02,2026-04-10
002513,ok,306,2025-01-02,2026-04-10
002524,ok,306,2025-01-02,2026-04-10
002535,ok,306,2025-01-02,2026-04-10
002566,ok,306,2025-01-02,2026-04-10
002591,ok,306,2025-01-02,2026-04-10
002598,ok,305,2025-01-02,2026-04-10
002622,ok,306,2025-01-02,2026-04-10
002629,ok,306,2025-01-02,2026-04-10
002633,ok,303,2025-01-02,2026-04-10
002652,ok,306,2025-01-02,2026-04-10
002661,ok,306,2025-01-02,2026-04-10
002679,ok,306,2025-01-02,2026-04-10
002687,ok,306,2025-01-02,2026-04-10
