year,entries,exits,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum
2010,18,17,0.10500000000000001,0.0036,0.1086
2011,11,12,0.069,0.0060599999999999,0.0750599999999999
2012,13,12,0.07500000000000001,0.0046799999999998995,0.07967999999999989
2013,18,18,0.108,0.0051600000000000005,0.11316
2014,5,5,0.030000000000000002,0.0102,0.0402
2015,7,7,0.042,0.0156,0.0576
2016,1,1,0.006,0.0147599999999999,0.0207599999999999
2017,10,10,0.06000000000000001,0.011640000000000001,0.07164
2018,10,10,0.06,0.0056999999999999005,0.0656999999999999
2019,15,15,0.09000000000000001,0.0069,0.09689999999999999
2020,10,11,0.063,0.00528,0.06828000000000001
2021,20,20,0.12000000000000001,0.00246,0.12246000000000001
2022,14,14,0.084,0.00678,0.09078
2023,16,15,0.093,0.0082799999999999,0.10127999999999991
2024,10,11,0.063,0.00852,0.07152
2025,17,17,0.10200000000000001,0.00468,0.10668
2026,2,1,0.009000000000000001,0.0012,0.0102
