date,return,weight,target_weight_next,signal_on,mom_signal_on,bias_signal_on,nav
2010-02-22,0.0,0.0,1.0,True,True,True,1.0
2010-02-23,-0.004250363392923206,1.0,1.0,True,False,True,0.9957496366070768
2010-02-24,0.002005154461825554,1.0,1.0,True,False,True,0.9977462684337807
2010-02-25,-0.0026513323473325353,1.0,0.0,False,False,False,0.9951009114778518
2010-02-26,0.0,0.0,0.0,False,False,False,0.9951009114778518
2010-03-01,0.0,0.0,1.0,True,True,False,0.9951009114778518
2010-03-02,0.002167893675875743,1.0,1.0,True,True,False,0.9972581844507029
2010-03-03,-0.001305933088181532,1.0,1.0,True,True,True,0.9959558319901689
2010-03-04,-0.002423752840893611,1.0,1.0,True,True,True,0.9935418812129782
2010-03-05,0.005619490651975945,1.0,1.0,True,True,True,0.9991250805268012
2010-03-08,0.0012185843463081384,1.0,1.0,True,True,True,1.000342598709935
2010-03-09,0.0003307207791358405,1.0,1.0,True,True,True,1.0006734327935831
2010-03-10,0.002551086130070124,1.0,1.0,True,True,True,1.0032262369087126
2010-03-11,0.005571381330075587,1.0,1.0,True,True,True,1.0088155928348677
2010-03-12,0.0018834110962147824,1.0,1.0,True,True,True,1.0107156073164472
2010-03-15,0.0005230880055134505,1.0,1.0,True,True,True,1.0112443005276195
2010-03-16,-0.0005235159775407779,1.0,1.0,True,True,True,1.0107148979790963
2010-03-17,-0.001347135842636937,1.0,1.0,True,True,True,1.0093533277133415
2010-03-18,0.0034845592394141204,1.0,1.0,True,True,True,1.0128704791772585
2010-03-19,0.0007161160030253137,1.0,1.0,True,True,True,1.0135958119363893
2010-03-22,0.0009263550826967507,1.0,1.0,True,True,True,1.0145347615685767
2010-03-23,0.0008301273782614586,1.0,1.0,True,True,True,1.0153769546503526
2010-03-24,0.003560757822372607,1.0,1.0,True,True,True,1.0189924660842808
2010-03-25,0.004122124277412287,1.0,1.0,True,True,True,1.0231928796672272
2010-03-26,-0.0027293664276577864,1.0,1.0,True,True,True,1.020400211372445
2010-03-29,-0.002034609680063448,1.0,1.0,True,True,True,1.018324095224848
2010-03-30,0.003739428623146657,1.0,1.0,True,True,True,1.0221320454941718
2010-03-31,0.0020477537006408867,1.0,1.0,True,True,False,1.0242251201728763
2010-04-01,-0.0024880160431995143,1.0,1.0,True,True,False,1.0216768316420382
2010-04-02,-0.0002619237883603517,1.0,1.0,True,True,False,1.0214092301758144
2010-04-06,0.004642697314682443,1.0,1.0,True,True,False,1.0261513240659437
2010-04-07,0.004892121922401372,1.0,1.0,True,True,False,1.031171381454108
2010-04-08,-0.0021666309821875337,1.0,1.0,True,True,False,1.0289372135911043
2010-04-09,0.0012322064392400137,1.0,1.0,True,True,False,1.030205076651265
2010-04-12,0.0030678210317762414,1.0,1.0,True,True,True,1.0333655614524584
2010-04-13,-0.005958943044990039,1.0,1.0,True,True,False,1.027207794927109
2010-04-14,-0.007299137106938447,1.0,0.0,False,False,False,1.0197100643946202
2010-04-15,0.0,0.0,0.0,False,False,False,1.0197100643946202
2010-04-16,0.0,0.0,0.0,False,False,False,1.0197100643946202
2010-04-19,0.0,0.0,0.0,False,False,False,1.0197100643946202
2010-04-20,0.0,0.0,0.0,False,False,False,1.0197100643946202
2010-04-21,0.0,0.0,0.0,False,False,False,1.0197100643946202
2010-04-22,0.0,0.0,0.0,False,False,False,1.0197100643946202
2010-04-23,0.0,0.0,0.0,False,False,False,1.0197100643946202
2010-04-26,0.0,0.0,0.0,False,False,False,1.0197100643946202
2010-04-27,0.0,0.0,0.0,False,False,False,1.0197100643946202
2010-04-28,0.0,0.0,1.0,True,True,False,1.0197100643946202
2010-04-29,0.0005233879378481968,1.0,1.0,True,True,False,1.0202437683424266
2010-04-30,-0.00886316075193797,1.0,0.0,False,False,False,1.0112011838174446
2010-05-04,0.0,0.0,0.0,False,False,False,1.0112011838174446
2010-05-05,0.0,0.0,0.0,False,False,False,1.0112011838174446
2010-05-06,0.0,0.0,0.0,False,False,False,1.0112011838174446
2010-05-07,0.0,0.0,0.0,False,False,False,1.0112011838174446
2010-05-10,0.0,0.0,0.0,False,False,False,1.0112011838174446
2010-05-11,0.0,0.0,0.0,False,False,False,1.0112011838174446
2010-05-12,0.0,0.0,0.0,False,False,False,1.0112011838174446
