rebalance_date,entry_count,exit_count,turnover_frac_one_side,two_side_cost_rate,effective_date,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,holding_count_after
2014-06-26,15,15,0.15,0.0009,,,,,,
2014-07-10,16,16,0.16,0.00096,,,,,,
2014-07-24,18,18,0.18,0.00108,,,,,,
2014-08-07,14,14,0.14,0.00084,,,,,,
2014-08-21,14,14,0.14,0.00084,,,,,,
2014-09-04,15,15,0.15,0.0009,,,,,,
2014-09-18,19,19,0.19,0.00114,,,,,,
2014-10-08,14,14,0.14,0.00084,,,,,,
2014-10-16,10,10,0.1,0.0006,,,,,,
2014-10-30,15,15,0.15,0.0009,,,,,,
2014-11-13,22,22,0.22,0.00132,,,,,,
2014-11-27,14,14,0.14,0.00084,,,,,,
2014-12-11,15,15,0.15,0.0009,,,,,,
2014-12-25,17,17,0.17,0.00102,,,,,,
2015-01-08,11,11,0.11,0.00066,,,,,,
2015-01-22,14,14,0.14,0.00084,,,,,,
2015-02-05,11,11,0.11,0.00066,,,,,,
2015-02-25,16,16,0.16,0.00096,,,,,,
2015-03-05,13,13,0.13,0.00078,,,,,,
2015-03-19,17,17,0.17,0.00102,,,,,,
2015-04-02,21,21,0.21,0.00126,,,,,,
2015-04-16,14,14,0.14,0.00084,,,,,,
2015-04-30,24,24,0.24,0.0014399999999999,,,,,,
2015-05-14,25,25,0.25,0.0015,,,,,,
2015-05-28,29,29,0.29,0.00174,,,,,,
2015-06-11,40,40,0.4,0.0024,,,,,,
2015-06-25,33,33,0.33,0.00198,,,,,,
2015-07-09,45,45,0.45,0.0027,,,,,,
2015-07-23,27,27,0.27,0.00162,,,,,,
2015-08-06,23,23,0.23,0.00138,,,,,,
2015-08-20,23,23,0.23,0.00138,,,,,,
2015-09-07,35,35,0.35,0.0021,,,,,,
2015-09-17,17,17,0.17,0.00102,,,,,,
2015-10-08,24,24,0.24,0.0014399999999999,,,,,,
2015-10-22,21,21,0.21,0.00126,,,,,,
2015-11-05,22,22,0.22,0.00132,,,,,,
2015-11-19,22,22,0.22,0.00132,,,,,,
