date,return_raw,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,ratio_bias_mom,ratio_r2,futures_drag,active_spread_ret,realized_vol,scale_raw,weight,return,nav
2023-05-08,0.0,cash,long_microcap_short_zz1000,True,1093.6010343303174,6702.5,0.0010950710473616176,0.007341834932706126,-0.01906588629319772,-0.0360775222338553,0.017011635940657577,9.218181219211672,0.7842509358316604,0.0,0.0,,,1.0,0.0,1.0
2023-05-09,-0.004830180849359966,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1073.8218197679028,6611.64,-0.018086316619594922,-0.013556135770234956,-0.030546858941769117,-0.05318464907067555,0.022637790128906432,12.857837284740071,0.21429909589726448,0.0003,-0.004530180849359966,,,1.0,-0.004830180849359966,0.9951698191506401
2023-05-10,0.008064285071694733,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1085.3485964068948,6627.31,0.01073434756753544,0.002370062495840708,-0.028833197122099086,-0.05900702694490467,0.030173829822805587,17.52701742012746,0.002822055996861072,0.0003,0.008364285071694733,,,1.0,0.008064285071694733,1.0031951522670177
2023-05-11,0.014118332730817718,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1100.2130596081631,6622.52,0.013695565876694404,-0.0007227668541233134,0.0018714483417310301,-0.04965868176684729,0.05153013010857832,22.703436099577335,0.259656064176748,0.0003,0.014418332730817718,,,1.0,0.014118332730817718,1.0173585952206667
2023-05-12,0.005080409467323988,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1091.7489403978525,6535.94,-0.007693163734418085,-0.013073573201742072,-0.004678284853198322,-0.06417397131214453,0.059495686458946206,27.071480507804292,0.8334920562961672,0.0003,0.005380409467323988,,,1.0,0.005080409467323988,1.0225271934594893
2023-05-15,0.0007697906762375809,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1101.2637613508057,6585.91,0.008715209697832016,0.007645419021594435,-0.008242703821842556,-0.06197247693355101,0.053729773111708456,31.620287475854614,0.9177017539853113,0.0003,0.0010697906762375808,,,1.0,0.0007697906762375809,1.0233143253592138
2023-05-16,0.006465298357581662,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1097.0726222910653,6516.29,-0.0038057540861959893,-0.010571052443777651,-0.011801686301269654,-0.06466795467659558,0.05286626837532593,37.84126948094878,0.8888170650710532,0.0003,0.006765298357581662,,,1.0,0.006465298357581662,1.0299303577862486
2023-05-17,0.013239067213859335,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1118.4397515134483,6554.98,0.01947649479918767,0.0059374275853283365,0.005291053967262371,-0.06625413634298138,0.07154519031024376,44.05139631618734,0.8874305920117326,0.0003,0.013539067213859335,,,1.0,0.013239067213859335,1.0435656750185751
2023-05-18,0.003435219927420319,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1127.5245286789525,6583.74,0.008122723779453445,0.0043875038520331255,0.013812058106266623,-0.06117839313138751,0.07499045123765413,50.0746965045112,0.9278598835763383,0.0003,0.003735219927420319,,,1.0,0.003435219927420319,1.0471505526209708
2023-05-19,-0.0029616831933647943,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1127.7054072464937,6602.32,0.0001604209602013018,0.0028221041535660962,0.02383868914482501,-0.056416471465913554,0.08025516061073856,52.942123585004666,0.8148136186835157,0.0003,-0.0026616831933647944,,,1.0,-0.0029616831933647943,1.0440492244283506
2023-05-22,0.009275522603089137,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1137.420875870184,6595.98,0.008615254091414393,-0.0009602685116747445,0.03835106437257929,-0.05306090806508579,0.09141197243766508,56.28174860835922,0.7875592409855335,0.0003,0.009575522603089137,,,1.0,0.009275522603089137,1.0537333266082736
2023-05-23,0.006912574004159422,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1133.979631663875,6528.45,-0.0030254800833301454,-0.010238054087489568,0.04679450170266586,-0.06252961702494286,0.10932411872760872,57.04170791100842,0.8049932685065155,0.0003,0.007212574004159422,,,1.0,0.006912574004159422,1.0610173362091022
