schedule,end_date,close_conservative_final_nav,baseline_final_nav,vs_baseline_delta,vs_baseline_delta_pct,close_exec_final_nav,vs_close_exec_delta,vs_close_exec_delta_pct
biweekly,2026-03-18,35.07790948854174,52.11178718083991,-17.03387769229817,-0.32687187705128373,94.559150817619,-59.48124132907726,-0.6290373889228524
monthly,2026-03-18,16.557464377292536,19.992755352897515,-3.4352909756049783,-0.17182679000306522,25.654198659485967,-9.096734282193431,-0.35459046696162533
weekly,2026-03-18,64.03769915198272,72.12312920925852,-8.0854300572758,-0.11210592421491694,183.26775038862,-119.23005123663727,-0.6505784622979738
