rebalance_date,execution_timing,constraint_trade_date,execution_date,effective_date,return_start_date,exit_count,entry_count,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,turnover_frac_one_side,two_side_cost_rate,holding_count_after
2013-11-01,close,2013-11-01,2013-11-01,2013-11-01,2013-11-04,13,13,7,7,0.13,0.13,0.13,0.0007800000000000001,100
2013-12-02,close,2013-12-02,2013-12-02,2013-12-02,2013-12-03,4,4,17,17,0.04,0.04,0.04,0.00024,100
2014-01-02,close,2014-01-02,2014-01-02,2014-01-02,2014-01-03,18,18,13,13,0.18,0.18,0.18,0.00108,100
2014-02-07,close,2014-02-07,2014-02-07,2014-02-07,2014-02-10,10,10,12,12,0.1,0.1,0.1,0.0006000000000000001,100
2014-03-03,close,2014-03-03,2014-03-03,2014-03-03,2014-03-04,10,10,10,10,0.1,0.1,0.1,0.0006000000000000001,100
2014-04-01,close,2014-04-01,2014-04-01,2014-04-01,2014-04-02,11,11,13,13,0.11,0.11,0.11,0.00066,100
2014-05-05,close,2014-05-05,2014-05-05,2014-05-05,2014-05-06,15,15,14,14,0.15,0.15,0.15,0.0009,100
2014-06-03,close,2014-06-03,2014-06-03,2014-06-03,2014-06-04,6,6,11,11,0.06,0.06,0.06,0.00035999999999999997,100
2014-07-01,close,2014-07-01,2014-07-01,2014-07-01,2014-07-02,13,13,14,14,0.13,0.13,0.13,0.0007800000000000001,100
2014-08-01,close,2014-08-01,2014-08-01,2014-08-01,2014-08-04,15,15,9,9,0.15,0.15,0.15,0.0009,100
2014-09-01,close,2014-09-01,2014-09-01,2014-09-01,2014-09-02,8,8,15,15,0.08,0.08,0.08,0.00048,100
2014-10-08,close,2014-10-08,2014-10-08,2014-10-08,2014-10-09,12,12,15,15,0.12,0.12,0.12,0.0007199999999999999,100
2014-11-03,close,2014-11-03,2014-11-03,2014-11-03,2014-11-04,12,12,16,16,0.12,0.12,0.12,0.0007199999999999999,100
2014-12-01,close,2014-12-01,2014-12-01,2014-12-01,2014-12-02,15,15,16,16,0.15,0.15,0.15,0.0009,100
2015-01-05,close,2015-01-05,2015-01-05,2015-01-05,2015-01-06,14,14,16,16,0.14,0.14,0.14,0.0008400000000000001,100
2015-02-02,close,2015-02-02,2015-02-02,2015-02-02,2015-02-03,7,7,15,15,0.07,0.07,0.07,0.00042000000000000007,100
2015-03-02,close,2015-03-02,2015-03-02,2015-03-02,2015-03-03,10,10,17,17,0.1,0.1,0.1,0.0006000000000000001,100
2015-04-01,close,2015-04-01,2015-04-01,2015-04-01,2015-04-02,15,15,18,18,0.15,0.15,0.15,0.0009,100
2015-05-04,close,2015-05-04,2015-05-04,2015-05-04,2015-05-05,23,23,17,17,0.23,0.23,0.23,0.0013800000000000002,100
2015-06-01,close,2015-06-01,2015-06-01,2015-06-01,2015-06-02,35,24,31,20,0.24,0.35,0.295,0.0017699999999999999,89
2015-07-01,close,2015-07-01,2015-07-01,2015-07-01,2015-07-02,11,22,34,34,0.22,0.11,0.165,0.00099,100
2015-08-03,close,2015-08-03,2015-08-03,2015-08-03,2015-08-04,14,14,32,32,0.14,0.14,0.14,0.0008400000000000001,100
2015-09-01,close,2015-09-01,2015-09-01,2015-09-01,2015-09-02,12,12,31,31,0.12,0.12,0.12,0.0007199999999999999,100
2015-10-08,close,2015-10-08,2015-10-08,2015-10-08,2015-10-09,17,17,20,20,0.17,0.17,0.17,0.00102,100
2015-11-02,close,2015-11-02,2015-11-02,2015-11-02,2015-11-03,16,16,22,22,0.16,0.16,0.16,0.00096,100
2015-12-01,close,2015-12-01,2015-12-01,2015-12-01,2015-12-02,23,23,13,13,0.23,0.23,0.23,0.0013800000000000002,100
2016-01-04,close,2016-01-04,2016-01-04,2016-01-04,2016-01-05,7,7,30,30,0.07,0.07,0.07,0.00042000000000000007,100
2016-02-01,close,2016-02-01,2016-02-01,2016-02-01,2016-02-02,18,18,12,12,0.18,0.18,0.18,0.00108,100
2016-03-01,close,2016-03-01,2016-03-01,2016-03-01,2016-03-02,11,11,13,13,0.11,0.11,0.11,0.00066,100
2016-04-01,close,2016-04-01,2016-04-01,2016-04-01,2016-04-05,12,12,15,15,0.12,0.12,0.12,0.0007199999999999999,100
2016-05-03,close,2016-05-03,2016-05-03,2016-05-03,2016-05-04,14,14,15,15,0.14,0.14,0.14,0.0008400000000000001,100
2016-06-01,close,2016-06-01,2016-06-01,2016-06-01,2016-06-02,15,15,17,17,0.15,0.15,0.15,0.0009,100
2016-07-01,close,2016-07-01,2016-07-01,2016-07-01,2016-07-04,18,18,15,15,0.18,0.18,0.18,0.00108,100
2016-08-01,close,2016-08-01,2016-08-01,2016-08-01,2016-08-02,10,10,16,16,0.1,0.1,0.1,0.0006000000000000001,100
2016-09-01,close,2016-09-01,2016-09-01,2016-09-01,2016-09-02,9,9,16,16,0.09,0.09,0.09,0.00054,100
2016-10-10,close,2016-10-10,2016-10-10,2016-10-10,2016-10-11,12,12,13,13,0.12,0.12,0.12,0.0007199999999999999,100
2016-11-01,close,2016-11-01,2016-11-01,2016-11-01,2016-11-02,15,15,9,9,0.15,0.15,0.15,0.0009,100
2016-12-01,close,2016-12-01,2016-12-01,2016-12-01,2016-12-02,15,15,13,13,0.15,0.15,0.15,0.0009,100
2017-01-03,close,2017-01-03,2017-01-03,2017-01-03,2017-01-04,24,16,14,6,0.16,0.24,0.2,0.0012000000000000001,92
2017-02-03,close,2017-02-03,2017-02-03,2017-02-03,2017-02-06,24,18,19,5,0.18,0.24,0.21,0.00126,86
2017-03-01,close,2017-03-01,2017-03-01,2017-03-01,2017-03-02,10,24,9,9,0.24,0.1,0.17,0.00102,100
2017-04-05,close,2017-04-05,2017-04-05,2017-04-05,2017-04-06,14,14,9,9,0.14,0.14,0.14,0.0008400000000000001,100
2017-05-02,close,2017-05-02,2017-05-02,2017-05-02,2017-05-03,18,18,10,10,0.18,0.18,0.18,0.00108,100
2017-06-01,close,2017-06-01,2017-06-01,2017-06-01,2017-06-02,26,26,10,10,0.26,0.26,0.26,0.0015600000000000002,100
2017-07-03,close,2017-07-03,2017-07-03,2017-07-03,2017-07-04,21,21,10,10,0.21,0.21,0.21,0.00126,100
2017-08-01,close,2017-08-01,2017-08-01,2017-08-01,2017-08-02,25,25,10,10,0.25,0.25,0.25,0.0015,100
2017-09-01,close,2017-09-01,2017-09-01,2017-09-01,2017-09-04,20,20,9,9,0.2,0.2,0.2,0.0012000000000000001,100
2017-10-09,close,2017-10-09,2017-10-09,2017-10-09,2017-10-10,20,20,6,6,0.2,0.2,0.2,0.0012000000000000001,100
2017-11-01,close,2017-11-01,2017-11-01,2017-11-01,2017-11-02,22,22,6,6,0.22,0.22,0.22,0.00132,100
2017-12-01,close,2017-12-01,2017-12-01,2017-12-01,2017-12-04,19,19,7,7,0.19,0.19,0.19,0.00114,100
2018-01-02,close,2018-01-02,2018-01-02,2018-01-02,2018-01-03,16,16,5,5,0.16,0.16,0.16,0.00096,100
2018-02-01,close,2018-02-01,2018-02-01,2018-02-01,2018-02-02,18,18,2,2,0.18,0.18,0.18,0.00108,100
2018-03-01,close,2018-03-01,2018-03-01,2018-03-01,2018-03-02,13,13,2,2,0.13,0.13,0.13,0.0007800000000000001,100
2018-04-02,close,2018-04-02,2018-04-02,2018-04-02,2018-04-03,22,22,4,4,0.22,0.22,0.22,0.00132,100
2018-05-02,close,2018-05-02,2018-05-02,2018-05-02,2018-05-03,14,14,8,8,0.14,0.14,0.14,0.0008400000000000001,100
2018-06-01,close,2018-06-01,2018-06-01,2018-06-01,2018-06-04,20,20,7,7,0.2,0.2,0.2,0.0012000000000000001,100
2018-07-02,close,2018-07-02,2018-07-02,2018-07-02,2018-07-03,16,16,6,6,0.16,0.16,0.16,0.00096,100
2018-08-01,close,2018-08-01,2018-08-01,2018-08-01,2018-08-02,13,13,5,5,0.13,0.13,0.13,0.0007800000000000001,100
2018-09-03,close,2018-09-03,2018-09-03,2018-09-03,2018-09-04,14,14,5,5,0.14,0.14,0.14,0.0008400000000000001,100
2018-10-08,close,2018-10-08,2018-10-08,2018-10-08,2018-10-09,8,8,6,6,0.08,0.08,0.08,0.00048,100
2018-11-01,close,2018-11-01,2018-11-01,2018-11-01,2018-11-02,11,11,3,3,0.11,0.11,0.11,0.00066,100
2018-12-03,close,2018-12-03,2018-12-03,2018-12-03,2018-12-04,12,12,2,2,0.12,0.12,0.12,0.0007199999999999999,100
2019-01-02,close,2019-01-02,2019-01-02,2019-01-02,2019-01-03,15,15,1,1,0.15,0.15,0.15,0.0009,100
2019-02-01,close,2019-02-01,2019-02-01,2019-02-01,2019-02-11,18,18,2,2,0.18,0.18,0.18,0.00108,100
2019-03-01,close,2019-03-01,2019-03-01,2019-03-01,2019-03-04,9,9,2,2,0.09,0.09,0.09,0.00054,100
2019-04-01,close,2019-04-01,2019-04-01,2019-04-01,2019-04-02,11,11,3,3,0.11,0.11,0.11,0.00066,100
2019-05-06,close,2019-05-06,2019-05-06,2019-05-06,2019-05-07,11,11,7,7,0.11,0.11,0.11,0.00066,100
2019-06-03,close,2019-06-03,2019-06-03,2019-06-03,2019-06-04,19,19,3,3,0.19,0.19,0.19,0.00114,100
2019-07-01,close,2019-07-01,2019-07-01,2019-07-01,2019-07-02,13,13,2,2,0.13,0.13,0.13,0.0007800000000000001,100
2019-08-01,close,2019-08-01,2019-08-01,2019-08-01,2019-08-02,19,19,2,2,0.19,0.19,0.19,0.00114,100
2019-09-02,close,2019-09-02,2019-09-02,2019-09-02,2019-09-03,14,14,2,2,0.14,0.14,0.14,0.0008400000000000001,100
2019-10-08,close,2019-10-08,2019-10-08,2019-10-08,2019-10-09,15,15,2,2,0.15,0.15,0.15,0.0009,100
2019-11-01,close,2019-11-01,2019-11-01,2019-11-01,2019-11-04,19,19,3,3,0.19,0.19,0.19,0.00114,100
2019-12-02,close,2019-12-02,2019-12-02,2019-12-02,2019-12-03,18,18,3,3,0.18,0.18,0.18,0.00108,100
2020-01-02,close,2020-01-02,2020-01-02,2020-01-02,2020-01-03,15,15,2,2,0.15,0.15,0.15,0.0009,100
2020-02-03,close,2020-02-03,2020-02-03,2020-02-03,2020-02-04,7,7,7,7,0.07,0.07,0.07,0.00042000000000000007,100
2020-03-02,close,2020-03-02,2020-03-02,2020-03-02,2020-03-03,19,19,1,1,0.19,0.19,0.19,0.00114,100
