window_years,lookback,net_annual,net_max_dd,net_sharpe,net_vol,net_total_return,entry_days,exit_days,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,active_days_pct,window_rank
1,16,0.35547812633385645,-0.08625362885698491,2.3588725264787818,0.15069831978775813,0.3551959692321145,7,6,0.036000000000000004,0.00786,0.04386,0.7037037037037037,1
1,17,0.2868737976982809,-0.11754915165602547,1.8904504689832586,0.15174890979956238,0.286651660823958,8,7,0.042,0.00786,0.04986000000000001,0.720164609053498,2
1,14,0.2395345761827159,-0.09796449927674737,1.6037838763702925,0.14935589496312565,0.23935240431659643,11,10,0.06000000000000001,0.0061200000000000004,0.06612000000000001,0.6954732510288066,3
1,8,0.17120758607958075,-0.11571276943726078,1.1788581315051332,0.14523171321810172,0.17108090423124467,17,16,0.096,0.00534,0.10134,0.6584362139917695,4
2,16,0.28461207559107504,-0.10072809627197787,1.8397296649003843,0.15470320505294777,0.6496624900215604,15,14,0.084,0.015960000000000002,0.09996,0.7252066115702479,1
2,8,0.23930750470743023,-0.11571276943726078,1.6109834214018801,0.14854746580767697,0.5354320582765792,28,27,0.162,0.01242,0.17442000000000002,0.7066115702479339,2
2,17,0.2507657926359861,-0.11754915165602547,1.5964487605158963,0.1570772572462335,0.5639359528340815,15,14,0.084,0.01488,0.09888,0.7417355371900827,3
2,14,0.2045457585793673,-0.09796449927674752,1.3208959760422345,0.1548537979442123,0.4505608918428856,20,19,0.12000000000000002,0.01314,0.13314,0.7210743801652892,4
3,16,0.3036457976956759,-0.10072809627197772,2.105009545695648,0.1442491309916266,1.2127231007751522,18,17,0.10200000000000001,0.024359999999999903,0.1263599999999999,0.743448275862069,1
3,14,0.2987303431967865,-0.09796449927674748,2.0775519924415278,0.1437895871119549,1.1878274429804967,25,24,0.14400000000000002,0.0215399999999999,0.1655399999999999,0.7379310344827587,2
3,17,0.2653867541616268,-0.11754915165602538,1.808015004685891,0.14678349099637747,1.0238581775464368,19,18,0.108,0.023279999999999898,0.1312799999999999,0.7572413793103449,3
3,8,0.19933315916333805,-0.11674658867199368,1.400377194749762,0.142342477377288,0.7236191238924565,40,39,0.234,0.0208799999999999,0.2548799999999999,0.696551724137931,4
4,16,0.2867532673820934,-0.1311346309316355,2.022775937821167,0.14176224959990855,1.7414549831158155,24,23,0.138,0.033179999999999904,0.1711799999999999,0.7520661157024794,1
4,14,0.2770477489867278,-0.10680236281548004,1.9552282625480464,0.14169585940092752,1.6596748315274787,33,32,0.192,0.0314999999999999,0.22349999999999992,0.7541322314049587,2
4,17,0.25733142262860476,-0.12631999616453343,1.790157796026988,0.14374789931910856,1.499188866464955,25,24,0.14400000000000002,0.0332399999999999,0.1772399999999999,0.762396694214876,3
4,8,0.1892812738868519,-0.11674658867199363,1.3521897287365865,0.13998129838163034,1.0004989261856831,55,54,0.33,0.028559999999999898,0.35855999999999993,0.7159090909090909,4
5,16,0.2608763590570846,-0.16879024350313704,1.798712609235558,0.14503504212824497,2.186350914431847,34,33,0.198,0.0398999999999999,0.23789999999999992,0.7572254335260116,1
5,14,0.2561933848446192,-0.12992336980418345,1.7674206577114302,0.14495325927465103,2.1276252443776045,44,43,0.258,0.0382199999999999,0.29621999999999993,0.7555739058629232,2
5,17,0.24164306752787845,-0.15565764887340505,1.6480610597462886,0.14662264246755413,1.9506622679317704,35,34,0.20400000000000001,0.0408599999999999,0.2448599999999999,0.7671345995045417,3
5,8,0.15758393587671637,-0.1630667420991357,1.1140650563464596,0.1414494916423533,1.078351299359134,77,76,0.456,0.031379999999999894,0.4873799999999999,0.7151114781172585,4
6,16,0.23675679808171868,-0.1687902435031373,1.702590139056048,0.13905683619956924,2.577498884765093,41,40,0.24000000000000002,0.0464399999999998,0.2864399999999998,0.7269601100412655,1
6,14,0.2318524207142949,-0.12994940340918215,1.6690205508251506,0.13891525817322556,2.4932375476390187,54,53,0.31800000000000006,0.045719999999999796,0.3637199999999998,0.7248968363136176,2
6,17,0.22559584376741948,-0.15565764887340502,1.609717284935981,0.1401462516918873,2.3881508355822305,41,40,0.24,0.0473999999999998,0.2873999999999998,0.734525447042641,3
6,8,0.16940233601307408,-0.16306674209913577,1.2380454397437055,0.13683046726309414,1.556764365347974,89,88,0.528,0.0361799999999999,0.5641799999999999,0.686382393397524,4
8,16,0.22577761075909875,-0.16879024350313745,1.7703570129891342,0.12753224863830587,4.093911770116681,53,52,0.31200000000000006,0.061139999999999695,0.3731399999999997,0.7212776919113859,1
8,14,0.2238753061132157,-0.1299494034091817,1.7610215629815795,0.12712808907017198,4.031033003696805,67,66,0.396,0.0600599999999997,0.4560599999999997,0.7161257083977332,2
8,17,0.22022129936052126,-0.15565764887340586,1.7101295711559368,0.12877462800182207,3.9121560582155137,51,50,0.30000000000000004,0.0620999999999997,0.3620999999999997,0.7315816589386914,3
8,8,0.17080690923974395,-0.16306674209913566,1.3633843860585633,0.12528155007960246,2.52934985363048,113,112,0.672,0.0487199999999998,0.7207199999999998,0.6754250386398764,4
10,14,0.3718649694523515,-0.1299494034091819,2.967729164381685,0.12530286587988837,22.60074412564422,76,75,0.45,0.08273999999999959,0.5327399999999997,0.7348703170028819,1
10,16,0.367136018407179,-0.1687902435031375,2.9126013856945585,0.12605089739035102,21.799815736264065,61,60,0.36,0.0851399999999996,0.44513999999999965,0.7431041580897488,2
10,17,0.369075653157543,-0.15565764887340558,2.9067342621243712,0.12697261595829748,22.125318019772546,58,57,0.342,0.0863999999999996,0.4283999999999996,0.7525730753396459,3
10,8,0.3312944934470081,-0.16306674209913538,2.671559239873889,0.12400791586513607,16.48119972140004,126,125,0.7500000000000001,0.07163999999999969,0.8216399999999997,0.7048167970358172,4
