schedule,net_annual,net_max_dd,net_sharpe,net_vol,net_total_return,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,entry_days,rebalance_cost_days,avg_monthly_equiv_turnover_frac,rebalance_events
weekly,0.30360047057475703,-0.15973532384353084,2.8052687907159797,0.10822509114973972,71.12312920925852,0.6060000000000001,0.28008,0.88608,202,615,0.07418052256532068,842
biweekly,0.27760963450899556,-0.15184555120128204,2.6272429266953123,0.10566576531169423,51.11178718083991,0.621,0.19080000000000003,0.8118000000000001,207,296,0.10434679334916863,421
monthly,0.20396764993710814,-0.17400104162828778,1.9486362231942602,0.10467199958069061,18.992755352897515,0.7230000000000001,0.12135000000000001,0.8443500000000002,241,132,0.1509230769230769,195
