strategy,window,annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days
0.8x + nav 4/8,ytd,-0.0672391522435809,0.19875981455226235,-0.33829349456301133,-0.11372724508398013,-0.017754273839990953,2026-01-05,2026-04-09,62
0.8x + nav 5/6,ytd,-0.04235910819615152,0.1945209828255315,-0.2177611257195013,-0.10743711036538206,-0.011077266959616638,2026-01-05,2026-04-09,62
0.8x + nav 4/8,1y,0.3087656878750129,0.15314367374763882,2.0161831064848243,-0.1137272450839798,0.30852466385541666,2025-04-09,2026-04-09,243
0.8x + nav 5/6,1y,0.2802802196179597,0.14936363399314073,1.8764957180328852,-0.10743711036538184,0.2800637216177735,2025-04-09,2026-04-09,243
0.8x + nav 4/8,3y,0.28390433116828295,0.1441264246352377,1.9698284467043576,-0.11372724508397991,1.1153154044766862,2023-04-10,2026-04-09,726
0.8x + nav 5/6,3y,0.2539232327294585,0.13944120022358295,1.8210057882628137,-0.10743711036538217,0.9706570839721453,2023-04-10,2026-04-09,726
0.8x + nav 4/8,5y,0.24146761380362003,0.13993291617035422,1.7255955239984961,-0.12450936137995328,1.9485783857680024,2021-04-09,2026-04-09,1211
0.8x + nav 5/6,5y,0.22143329524527533,0.13568902475269917,1.631917508795202,-0.11507780461047401,1.7182494730487603,2021-04-09,2026-04-09,1211
