date,microcap,hedge,microcap_ret,hedge_ret,return,nav
2023-01-04,1010.5837800385414,6421.28,0.010583780038541324,-0.00037672992200754596,0.01066050996054887,1.0106605099605488
2023-01-05,1013.6894213113936,6485.47,0.0030731160881425357,0.009996449306057364,-0.007223333217914829,1.003360172326916
2023-01-06,1009.2275963798876,6500.32,-0.0044015699855424195,0.0022897338203706763,-0.006991303805913096,0.9963453765354253
2023-01-09,1016.230715286816,6535.75,0.0069390878054154115,0.005450500898417365,0.0011885869069980463,0.9975296196048234
2023-01-10,1011.6108285788388,6540.2,-0.004546100249167684,0.0006808705963354811,-0.005526970845503165,0.9920163024797417
2023-01-11,998.962567067382,6486.9,-0.012503090273584427,-0.008149597871624725,-0.004653492401959702,0.9873999621535321
2023-01-12,1001.0413008174468,6489.57,0.0020808925365114472,0.0004115987605790572,0.0013692937759323901,0.9887520027760648
2023-01-13,1002.3510034017274,6517.51,0.0013083402085520834,0.004305370001402409,-0.0032970297928503253,0.9854920579651717
2023-01-16,1015.7901290743548,6591.81,0.013407604349193303,0.011400059225072257,0.0017075451241210463,0.9871748301236102
2023-01-17,1013.2954490617934,6597.49,-0.0024559010184856955,0.000861675321345734,-0.0036175763398314294,0.9836036498148779
2023-01-18,1024.426019607154,6613.01,0.010984526335005684,0.002352409780083109,0.008332116554922575,0.9917991500689828
2023-01-19,1030.8991518829264,6676.08,0.006318789401946745,0.009537260642279444,-0.0035184712403326986,0.9883095332832786
2023-01-20,1038.3557953504362,6736.85,0.0072331454089280545,0.00910264706234809,-0.002169501653420036,0.9861653941167298
2023-01-30,1059.642466646298,6786.45,0.02050036354704199,0.007362491372080449,0.01283787217496154,0.998825659389771
2023-01-31,1066.3467493259864,6805.28,0.0063269290262657485,0.0027746465383227115,0.003252282487943037,1.0020741225903125
2023-02-01,1088.027092786784,6916.72,0.02033141984490605,0.01637552018432764,0.0036558996605784103,1.005737605034965
2023-02-02,1092.825472617405,6933.23,0.0044101657600557065,0.0023869695462588325,0.001723196213796874,1.0074706882680342
2023-02-03,1095.6316473552115,6925.08,0.002567816003671064,-0.0011754982886763576,0.0034433142923474217,1.0109397264880686
