count,window_years,window_start_actual,window_end,annual,max_dd,sharpe,vol,total_return,peak_date,trough_date,recovery_date
100,1,2025-03-18,2026-03-18,0.7648818474978272,-0.16689121527181064,2.857558302875328,0.2676697258383806,0.7614539668871665,2025-03-18,2025-04-07,2025-05-06
100,2,2024-03-18,2026-03-18,0.6837898904540898,-0.25724654080212045,1.9653523751710027,0.3479222856382658,1.8290881628911877,2024-04-02,2024-04-16,2024-09-30
100,3,2023-03-20,2026-03-18,0.43163880072842753,-0.4807232556023281,1.2272024439766538,0.3517258320719568,1.9263555853693206,2024-01-02,2024-02-07,2024-10-28
100,4,2022-03-18,2026-03-18,0.42278225309237594,-0.48072325560232815,1.2938915189724747,0.3267524725937785,3.0859772771521508,2024-01-02,2024-02-07,2024-10-28
200,1,2025-03-18,2026-03-18,0.7226432083522007,-0.16799121992499655,2.8195946331248463,0.25629329828569136,0.7194399053049325,2025-03-18,2025-04-07,2025-05-06
200,2,2024-03-18,2026-03-18,0.6387215334669394,-0.238454100382436,1.901416228656903,0.33591883977876374,1.6799666919807432,2024-04-02,2024-04-16,2024-09-30
200,3,2023-03-20,2026-03-18,0.4029224567977425,-0.4681509115069542,1.184500857663071,0.340162233054586,1.7541904725973665,2024-01-02,2024-02-07,2024-10-28
200,4,2022-03-18,2026-03-18,0.3842079361923769,-0.4681509115069545,1.209244507145096,0.317725599679963,2.661386492308743,2024-01-02,2024-02-07,2024-10-28
300,1,2025-03-18,2026-03-18,0.7007325929953676,-0.1663469788896137,2.8343061686974225,0.24723249758067142,0.6976444025163759,2025-03-18,2025-04-07,2025-05-06
300,2,2024-03-18,2026-03-18,0.6264222800673667,-0.22991981912220166,1.9209502414278345,0.32610021152955504,1.6399709140153726,2024-04-02,2024-04-16,2024-09-30
300,3,2023-03-20,2026-03-18,0.3939562725774981,-0.46436294235876363,1.1891646849023563,0.3312882375159386,1.7018509468868204,2024-01-02,2024-02-07,2024-10-28
300,4,2022-03-18,2026-03-18,0.3631833590315494,-0.4643629423587635,1.1697482534821102,0.31047993271237984,2.4443869470588124,2024-01-02,2024-02-07,2024-10-28
400,1,2025-03-18,2026-03-18,0.6679635387540015,-0.1673537313644367,2.7530219458434275,0.24262920960819342,0.6650457109359384,2025-03-20,2025-04-07,2025-05-06
400,2,2024-03-18,2026-03-18,0.6076323745731984,-0.2182866503713809,1.9030584669420374,0.3192925415211142,1.5794476845630858,2024-04-02,2024-04-16,2024-09-30
400,3,2023-03-20,2026-03-18,0.37656231965354925,-0.4601409631644801,1.1588518386605733,0.3249443173760576,1.6022117046912707,2024-01-02,2024-02-07,2024-10-28
400,4,2022-03-18,2026-03-18,0.35184845588056146,-0.4601409631644805,1.1523144271907393,0.30534066707673096,2.331475725593721,2024-01-02,2024-02-07,2024-10-28
