config,target_vol,annual,max_dd,sharpe,vol,avg_effective_leverage_all_days,avg_leverage_active_days,active_days_pct,rebalances_per_year
baseline,,0.16039021244102702,-0.1462591735256279,1.3019578401034397,0.1231915562091351,0.537463976945245,1.0,0.537463976945245,13.63133971291866
tv_10,0.1,0.17757490829872058,-0.10460247189642306,1.4170805074468982,0.1253103880587919,0.5593480881223678,1.040717354308105,0.537463976945245,37.398803827751195
tv_20,0.2,0.275712315028378,-0.20832536804807256,1.378608590735905,0.19999317926867266,0.8909773592896781,1.657743397713235,0.537463976945245,29.010287081339712
tv_30,0.3,0.2981852382753378,-0.25160562195682135,1.3118153986569256,0.2273073167006794,0.996831607818785,1.8546947341185975,0.537463976945245,16.07799043062201
