rank,variant,param,annual,max_dd,sharpe,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,hedge_ratio_mean_live,hedge_ratio_median_live,entry_days,signal_changes,active_days_pct,peak_date,trough_date,recovery_date
1,rolling_beta,window_20,0.7000286705465197,-0.1446376179163478,5.3194155749119965,0.4770000000000001,0.24731999999999668,0.7243199999999967,0.9625365474727589,0.9605538031570607,80,158,0.7549144753637989,2022-04-13,2022-07-15,2023-03-08
2,rolling_beta,window_60,0.699498723819284,-0.11905850788578466,5.303856497820283,0.4770000000000001,0.24731999999999668,0.7243199999999967,0.9796324015762562,0.9895012646016288,80,158,0.7549144753637989,2022-04-22,2022-07-15,2022-09-02
3,rolling_beta,window_90,0.6990811120692457,-0.12419521163107601,5.288631284662246,0.4770000000000001,0.24731999999999668,0.7243199999999967,0.9837370634796886,0.9943778930479492,80,158,0.7549144753637989,2022-04-13,2022-07-15,2022-09-01
4,rolling_beta,window_40,0.6910435246313218,-0.12058863009961115,5.250129981480167,0.4770000000000001,0.24731999999999668,0.7243199999999967,0.9738547033247877,0.9761402215470348,80,158,0.7549144753637989,2022-04-22,2022-07-15,2022-09-01
5,fixed,1.00,0.7063491288966837,-0.14826657740737736,5.227805065339419,0.4770000000000001,0.24731999999999668,0.7243199999999967,1.0,1.0,80,158,0.7549144753637989,2021-04-16,2021-11-29,2022-01-11
6,fixed,0.90,0.717152430278637,-0.1318378284051457,5.227749985305715,0.4770000000000001,0.24731999999999668,0.7243199999999967,0.9,0.9,80,158,0.7549144753637989,2021-04-16,2021-11-29,2022-01-06
7,rolling_beta,window_120,0.6940193911173558,-0.12331668643218885,5.220202782691807,0.4770000000000001,0.24731999999999668,0.7243199999999967,0.9870406074099338,1.0,80,158,0.7549144753637989,2022-04-13,2022-07-15,2022-09-01
8,fixed,0.80,0.7271428718558788,-0.11799554162612479,5.089892325996264,0.4770000000000001,0.24731999999999668,0.7243199999999967,0.7999999999999999,0.8,80,158,0.7549144753637989,2022-04-13,2022-07-15,2022-09-01
9,fixed,1.10,0.6947514259979741,-0.1644951287438338,5.077845803346515,0.4770000000000001,0.24731999999999668,0.7243199999999967,1.0999999999999999,1.1,80,158,0.7549144753637989,2021-04-16,2021-11-29,2022-01-13
10,fixed,0.70,0.7363029811453301,-0.13622368028241208,4.852268217755342,0.4770000000000001,0.24731999999999668,0.7243199999999967,0.7000000000000001,0.7,80,158,0.7549144753637989,2015-08-17,2015-09-17,2015-10-15
11,fixed,1.20,0.6823787197528444,-0.1805230008180861,4.799917960538586,0.4770000000000001,0.24731999999999668,0.7243199999999967,1.1999999999999997,1.2,80,158,0.7549144753637989,2021-04-16,2021-11-29,2022-01-13
12,fixed,1.30,0.6692513007815974,-0.19770484224399,4.439150826879225,0.4770000000000001,0.24731999999999668,0.7243199999999967,1.3000000000000003,1.3,80,158,0.7549144753637989,2021-03-25,2021-11-29,2022-01-28
