version,source_file,start_date,end_date,days,final_nav,total_return_pct,annual_return_pct,annual_vol_pct,sharpe,max_drawdown_pct,calmar,daily_win_rate_pct
v1.0,microcap_top100_mom16_biweekly_live_nav.csv,2024-04-10,2026-04-10,484,1.69719441808308,69.719441808308,30.30001706018126,16.26585939143047,1.8627984129842268,-9.945147077745553,3.0467138216572174,41.942148760330575
v1.1,microcap_top100_mom16_biweekly_live_v1_1_nav.csv,2024-04-10,2026-04-10,484,1.7318828374959887,73.18828374959887,31.625774206803705,16.297515006033585,1.940527386849797,-9.895925970790875,3.1958377922542396,41.942148760330575
v1.2,microcap_top100_mom16_biweekly_live_v1_2_nav.csv,2024-04-10,2026-04-10,484,1.6572456322938791,65.72456322938791,28.756325477590615,15.29832397189125,1.8797043081599496,-9.176068600618681,3.133839417422377,41.942148760330575
