r2_threshold,annual,max_dd,sharpe,active_days_pct,signal_changes,latest_next_holding
0.0,0.2615801402999596,-0.07664793339443128,2.1538846767234348,0.67578125,129,long_microcap_short_zz1000
0.1,0.1925662414893632,-0.08730092936082204,1.7046639904791343,0.58203125,171,long_microcap_short_zz1000
0.2,0.17345042147311718,-0.0792591110329743,1.6028257326555164,0.5338541666666666,185,long_microcap_short_zz1000
0.3,0.12173983900005436,-0.10089095724323563,1.1518164970547478,0.4895833333333333,187,long_microcap_short_zz1000
0.4,0.09583341969576997,-0.11314701421040123,0.9388328374165139,0.4453125,179,long_microcap_short_zz1000
0.5,0.11302490211457394,-0.08539196044645501,1.1539038557448398,0.4049479166666667,161,long_microcap_short_zz1000
0.6,0.09591225115009605,-0.09070238750425885,1.034171117173136,0.3515625,159,long_microcap_short_zz1000
0.7,0.090613546494267,-0.08189781672134015,1.0834574508489163,0.2890625,153,long_microcap_short_zz1000
0.8,0.05862782454136317,-0.09626306507613827,0.7717645170321096,0.20572916666666666,119,long_microcap_short_zz1000
0.9,0.024878541747192617,-0.11440582437212883,0.37887020145237676,0.11979166666666667,90,cash
