lookback,annual,max_dd,sharpe,vol,total_return,active_days_pct,signal_changes,start_date,end_date
1,0.23143001819926234,-0.11147011759345636,1.8222450248019173,0.12700268901786102,0.9458669092557475,0.5841968911917098,357,2023-01-05,2026-03-18
2,0.2132585868021155,-0.12140513028248281,1.6930638476840139,0.12596015625390472,0.8545436624458673,0.6044098573281452,243,2023-01-06,2026-03-18
3,0.29065128985810595,-0.06007793309001162,2.4528668968991285,0.11849452174740596,1.2549261728071506,0.6246753246753247,177,2023-01-09,2026-03-18
4,0.2736838378842501,-0.0977719539631301,2.134736661267686,0.12820496450448668,1.1603738490387125,0.657997399219766,145,2023-01-10,2026-03-18
