date,return_raw,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,ratio_bias_mom,ratio_r2,futures_drag,active_spread_ret,weight,realized_vol,scale_raw,return,nav,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net,nav_rebased,nav_1y_rebased
2025-03-18,0.0065837639331895,long_microcap_short_zz1000,long_microcap_short_zz1000,True,26419110.02438288,6611.93,0.01027700507032,0.0033932411371304,0.0792618515119052,0.0228820455382254,0.0563798059736797,18.64026142998907,0.9931070586544862,0.0003,0.0068837639331895,1.0,,,0.0065837639331895,8809.195505060883,0.0,0.0,0.0,0.0065837639331896,3140.9707138405056,2.315209700591474,1.0
2025-03-19,-0.0043868476093536,long_microcap_short_zz1000,long_microcap_short_zz1000,True,26122343.59959262,6564.68,-0.0112330212681793,-0.0071461736588257,0.0699823026826216,0.0200841280225252,0.0498981746600963,22.420456065190606,0.8035506054089275,0.0003,-0.0040868476093536,1.0,,,-0.0043868476093536,8770.550906819179,0.0,0.0,0.0,-0.0043868476093535,3127.1917539734445,2.3050532284512824,0.9956131523906463
2025-03-20,0.0061619641890614,long_microcap_short_zz1000,long_microcap_short_zz1000,True,26173280.58218984,6535.06,0.0019499392312569,-0.0045120249578044,0.0599150493854221,0.0016323315058373,0.0582827178795848,26.960526152616087,0.7703434743620099,0.0003,0.0064619641890614,1.0,,,0.0061619641890614,8824.594727425338,0.0,0.0,0.0,0.0061619641890613,3146.4613975737566,2.319256883898879,1.0017480849818359
2025-03-21,0.0039424687180293,long_microcap_short_zz1000,long_microcap_short_zz1000,True,25765865.42060097,6405.61,-0.0155660716779273,-0.0198085403959566,0.0455487919385859,-0.0144502756353152,0.0599990675739011,27.37068725629877,0.7630947493621991,0.0003,0.0042424687180293,1.0,,,0.0039424687180293,8859.3854160875,0.0,0.0,0.0,0.0039424687180293,3158.8662232061783,2.328400481612725,1.0056974454702228
2025-03-24,-0.0375737706977459,long_microcap_short_zz1000,long_microcap_short_zz1000,True,24623380.838839225,6360.34,-0.0443410133178866,-0.0070672426201406,0.0228276224512908,0.0143403472175707,0.0084872752337201,22.38696255047698,0.294426060090909,0.0003,-0.0372737706977459,1.0,,,-0.0375737706977459,8526.504899940473,0.0,0.0,0.0,-0.0375737706977459,3040.1757080705747,2.240913695824087,0.9679096002628157
2025-03-25,0.0067266420932031,long_microcap_short_zz1000,long_microcap_short_zz1000,True,24604456.81853818,6310.76,-0.0007685386675737,-0.0077951807607768,0.0118008355468872,0.0059120100355931,0.0058888255112941,18.41007503121527,0.4877579889544928,0.0003,0.0070266420932031,1.0,,,0.0067266420932031,8583.859646708315,0.0,0.0,0.0,0.006726642093203,3060.625881959216,2.2559875202176527,0.974420381722359
2025-03-26,0.0242786487817136,long_microcap_short_zz1000,long_microcap_short_zz1000,True,25303357.392683327,6334.91,0.0284054461880483,0.0038267974063346,0.0210564229745267,-0.0035736587376113,0.024630081712138,16.98314814832801,0.1127851002039896,0.0003,0.0245786487817136,1.0,,,0.0242786487817136,8792.264160262272,0.0,0.0,0.0,0.0242786487817137,3134.9337427995265,2.3107598488769465,0.9980779919359396
2025-03-27,-0.0104542564628286,long_microcap_short_zz1000,long_microcap_short_zz1000,True,25021895.77862585,6328.77,-0.0111234888591845,-0.0009692323963559,0.0162403079655464,-0.0108576733601739,0.0270979813257203,13.239525854251676,0.0013241862106365,0.0003,-0.0101542564628286,1.0,,,-0.0104542564628286,8700.347575841954,0.0,0.0,0.0,-0.0104542564628286,3102.160341458325,2.28660257279278,0.9876438286383363
2025-03-28,-0.0108672331248951,long_microcap_short_zz1000,long_microcap_short_zz1000,True,24518483.95669591,6268.32,-0.0201188521598736,-0.0095516190349784,-0.0241115805592599,-0.0408035538036135,0.0166919732443535,9.206306158205486,0.194915586899382,0.0003,-0.0105672331248951,1.0,,,-0.0108672331248951,8605.798870467663,0.0,0.00078,0.00078,-0.0116387566830576,3066.0550520522606,2.259989361817191,0.9761488824272913
2025-03-31,-0.0022450795188236,long_microcap_short_zz1000,long_microcap_short_zz1000,True,24307801.68126545,6226.65,-0.0085927937389017,-0.0066477142200781,-0.0243905418257182,-0.0431961227826472,0.018805580956929,6.082703407792512,0.0794086447504887,0.0003,-0.0019450795188236,1.0,,,-0.0022450795188236,8586.478167680461,0.0,0.0,0.0,-0.0022450795188235,3059.1715146513125,2.254915505988216,0.9739573505640311
