date,return_raw,holding,next_holding,signal_on,microcap_close,hedge_close,microcap_ret,hedge_ret,microcap_mom,hedge_mom,momentum_gap,ratio_bias_mom,ratio_r2,futures_drag,active_spread_ret,weight,realized_vol,scale_raw,return,nav,entry_exit_cost,rebalance_cost,total_cost,return_net,nav_net
2010-01-27,0.0,cash,long_microcap_short_zz1000,True,965.9102741419537,4194.63,-0.006537453885991251,-0.007643827449644314,-0.04390885550189738,-0.05997001499250365,0.01606115949060627,,0.31484592362593483,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2010-01-28,-0.0026771609683864713,long_microcap_short_zz1000,long_microcap_short_zz1000,True,975.913033927142,4248.04,0.010355785680066454,0.012732946648452925,-0.03309744344878052,-0.04599954635998804,0.012902102911207525,,0.6026230737322414,0.0003,-0.0023771609683864714,1.0,,,-0.0026771609683864713,0.9973228390316136,0.003,0.0,0.003,-0.005669129485481261,0.9943308705145187
2010-01-29,-0.0007132686290216902,long_microcap_short_zz1000,long_microcap_short_zz1000,True,985.2228116231282,4290.32,0.009539556673941574,0.009952825302963264,-0.004708724588258217,-0.01624338478753362,0.011534660199275404,,0.7691506660848743,0.0003,-0.00041326862902169026,1.0,,,-0.0007132686290216902,0.9966114799375255,0.0,0.0,0.0,-0.0007132686290216572,0.9936216454977129
2010-02-01,-3.071716649763993e-05,long_microcap_short_zz1000,long_microcap_short_zz1000,True,973.9304076044856,4239.99,-0.011461776854353123,-0.011731059687855483,-0.025449404726254454,-0.040242022558892976,0.014792617832638522,,0.5621162809234146,0.0003,0.00026928283350236004,1.0,,,-3.071716649763993e-05,0.9965808668567628,0.0,0.0,0.0,-3.071716649760692e-05,0.9935911242561926
2010-02-02,0.004251340343780019,long_microcap_short_zz1000,long_microcap_short_zz1000,True,975.0278362495609,4225.47,0.0011268039651566308,-0.0034245363786233884,-0.028372758630322736,-0.0504433767646304,0.022070618134307662,,0.09185340395888628,0.0003,0.004551340343780019,1.0,,,0.004251340343780019,1.0008176713018704,0.0,0.0,0.0,0.004251340343780052,0.9978152182879647
2010-02-03,-0.0005733330826503177,long_microcap_short_zz1000,long_microcap_short_zz1000,True,993.0759682895764,4304.84,0.018510376185194355,0.018783709267844673,-0.029747856016786534,-0.05213140743350364,0.022383551416717107,,0.716309677094872,0.0003,-0.00027333308265031775,1.0,,,-0.0005733330826503177,1.000243869421212,0.0,0.00048,0.00048,-0.0010530578827706583,0.9967644611067981
2010-02-04,-0.001211833425805586,long_microcap_short_zz1000,long_microcap_short_zz1000,True,1005.8710230727754,4364.23,0.012884265848499554,0.01379609927430514,-0.008903333680496783,-0.026996958968367957,0.018093625287871173,,0.6097072800033351,0.0003,-0.000911833425805586,1.0,,,-0.001211833425805586,0.9990317404662902,0.0,0.0,0.0,-0.001211833425805553,0.9955565486151737
2010-02-05,0.008006085578002387,long_microcap_short_zz1000,long_microcap_short_zz1000,True,995.2227356649472,4281.78,-0.01058613595935931,-0.018892221537361698,-0.04404382948295904,-0.07105634261167648,0.02701251312871744,,0.6761629299748755,0.0003,0.008306085578002387,1.0,,,0.008006085578002387,1.007030074075604,0.0,0.0,0.0,0.00800608557800242,1.0035270595411276
2010-02-08,0.0029884139956252945,long_microcap_short_zz1000,long_microcap_short_zz1000,True,997.7516576027673,4278.58,0.0025410612591465487,-0.0007473527364787458,-0.049896074616295194,-0.08147330772913364,0.03157723311283844,,0.7332769136149236,0.0003,0.0032884139956252945,1.0,,,0.0029884139956252945,1.010039496842987,0.0,0.0,0.0,0.0029884139956253275,1.0065260138508492
2010-02-09,-2.1622596785541833e-05,long_microcap_short_zz1000,long_microcap_short_zz1000,True,997.7379129742151,4277.33,-1.3775600819609934e-05,-0.0002921530040340681,-0.06716921661958897,-0.09647553363399208,0.029306317014403116,,0.8540893987776724,0.0003,0.00027837740321445814,1.0,,,-2.1622596785541833e-05,1.0100176571662094,0.0,0.0,0.0,-2.162259678550882e-05,1.0065042501446975
