lookback,gross_rank,net_rank,gross_annual,gross_max_dd,gross_sharpe,net_annual,net_max_dd,net_sharpe,entry_days,exit_days,rebalance_cost_days,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,active_days_pct,signal_changes,peak_date,trough_date,recovery_date
16,9,1,0.5306124957652545,-0.11582671465914196,4.171274998801523,0.46232821135641466,-0.1687902435031368,3.6277068451247776,99,98,134,0.5910000000000001,0.14447999999999928,0.7354799999999994,0.7470002552974215,196,2021-04-16,2021-11-29,2022-01-13
14,3,2,0.5350595920656895,-0.09768647173301342,4.274898498236382,0.45351701271542155,-0.12994940340918196,3.6132555658519427,124,123,129,0.7410000000000001,0.1388999999999993,0.8798999999999992,0.7394743557029855,246,2020-09-09,2021-02-09,2021-03-09
17,10,3,0.5281552238167091,-0.1094120303145882,4.138016760870391,0.45962156603109006,-0.15565764887340564,3.594633376819011,99,98,137,0.5910000000000001,0.14831999999999929,0.7393199999999993,0.7540858018386108,196,2021-04-16,2021-11-29,2022-01-11
12,6,4,0.5293828842816661,-0.10746107968394585,4.207216118709121,0.4385141438495628,-0.13528514695223864,3.4698449708065,143,142,122,0.855,0.1330799999999993,0.9880799999999994,0.7362917623055343,284,2021-04-16,2021-11-30,2022-01-11
11,4,5,0.5283530958752181,-0.10746107968394578,4.246487370466393,0.43287884947521005,-0.13598951218587582,3.460577056023587,152,151,121,0.909,0.1316999999999992,1.0406999999999993,0.7307496175420704,303,2021-04-16,2021-12-03,2022-01-12
18,16,6,0.5129294196319183,-0.1482837625783732,3.949001110499416,0.4466618649766505,-0.16374081542554114,3.4318671869852166,95,95,141,0.5700000000000001,0.1515599999999993,0.7215599999999993,0.7598978288633461,190,2024-01-09,2024-07-18,2024-10-28
15,14,7,0.5135944525743801,-0.12145626282192219,4.036102546846115,0.4371708281271407,-0.18149355125052097,3.4256095494838785,115,115,135,0.6900000000000001,0.1450799999999992,0.8350799999999992,0.7478305257784584,230,2021-04-16,2021-11-30,2022-02-07
20,18,8,0.5024622405950903,-0.20858126543100858,3.8580821629504474,0.4445627788704054,-0.22811878770118849,3.405714988074857,79,79,147,0.47400000000000003,0.15869999999999929,0.6326999999999994,0.7661640684896499,158,2024-01-09,2024-07-18,2024-12-16
13,13,9,0.5129162170362656,-0.113818158373818,4.086252236516345,0.42879383905978186,-0.15189820900975853,3.4016063208437886,132,131,123,0.789,0.1336799999999993,0.9226799999999993,0.735969387755102,262,2021-04-16,2021-12-08,2022-01-13
9,2,10,0.5317946910518312,-0.1078393688859945,4.277895880861931,0.4206972029408975,-0.14048866405627272,3.3647626902637247,183,182,111,1.0950000000000002,0.1201199999999995,1.2151199999999998,0.7173802242609582,365,2021-04-16,2021-09-27,2022-02-07
19,17,11,0.5057783226498935,-0.16325499670608964,3.876539622817474,0.439549899751035,-0.18391147528341237,3.3602212271845837,95,95,143,0.5700000000000001,0.1542599999999993,0.7242599999999993,0.7657128257537047,190,2024-01-09,2024-07-18,2024-11-14
10,8,12,0.5220025815428553,-0.11167846805640345,4.17221350319723,0.4196947549357175,-0.18844701917280812,3.332964456062449,166,165,121,0.9930000000000001,0.1298399999999992,1.1228399999999992,0.7280142747897017,331,2021-03-25,2021-12-03,2022-03-07
8,1,13,0.5336619147739547,-0.10783936888599396,4.316601324204579,0.4149810131325975,-0.1630667420991353,3.3312521572588394,197,196,112,1.179,0.1214999999999995,1.3004999999999995,0.7118471337579618,393,2021-03-25,2021-10-21,2022-02-14
7,5,14,0.5237706094105352,-0.10434089667876477,4.223788098722276,0.39877233401793877,-0.16820000628868348,3.186028064102313,211,210,111,1.2630000000000001,0.1192799999999995,1.3822799999999995,0.7091186958736627,421,2021-03-25,2021-09-27,2022-02-08
6,7,15,0.5119303616117279,-0.10283949466186094,4.172401220762579,0.37473522680296756,-0.1545246970148004,3.02500978021863,237,236,108,1.419,0.11747999999999939,1.5364799999999996,0.6967150496562261,472,2021-03-25,2021-09-30,2022-01-11
5,12,16,0.4987685308390011,-0.09920182141570463,4.097662873218781,0.34049439352047894,-0.19065902567120716,2.760867319549805,281,281,108,1.6860000000000002,0.1169399999999994,1.8029399999999995,0.6804989816700611,563,2022-01-13,2023-01-20,2023-08-18
4,19,17,0.4694304388528021,-0.1250301637654092,3.8408291605501663,0.284053235446297,-0.2922445570319985,2.2939085103480426,345,345,100,2.0700000000000003,0.10883999999999949,2.178839999999999,0.667345380503945,691,2020-09-09,2023-02-27,2024-12-12
3,15,18,0.4769106720985339,-0.12399773843695883,3.95351434138541,0.26031293286824786,-0.3446742108786986,2.1239186121213214,410,409,97,2.457,0.10667999999999951,2.5636799999999997,0.6473282442748092,819,2017-11-15,2023-04-19,
2,20,19,0.4303412404084208,-0.18970158811733087,3.567370197512552,0.15776060879600373,-0.6021516783565071,1.2779344053484067,556,556,74,3.3360000000000003,0.0822599999999997,3.41826,0.6235054693462223,1112,2018-05-29,2026-01-29,
1,11,20,0.4932818745415559,-0.13187574373708374,4.136372523446449,0.09206366012081912,-0.6944249883328288,0.7510737501087341,831,831,66,4.985999999999999,0.0737999999999999,5.059799999999999,0.602238046795524,1662,2017-05-17,2026-01-19,
