date,mom0_bias100,mom10_bias90,mom20_bias80,mom30_bias70,mom40_bias60,mom50_bias50,mom60_bias40,mom70_bias30,mom80_bias20,mom90_bias10,mom100_bias0
2010-02-22,1.0,0.999834499279922,0.9996689985598439,0.9995034978397659,0.9993379971196878,0.9991724963996098,0.9990069956795318,0.9988414949594537,0.9986759942393757,0.9985104935192977,0.9983449927992196
2010-02-23,1.0123357847304362,1.0105099021187123,1.00868456851088,1.0068597839069393,1.0050355483068902,1.0032118617107324,1.0013887241184665,0.999566135530092,0.997744095945609,0.9959226053650175,0.9941016637883177
2010-02-24,1.0363096588340635,1.032047472740383,1.0277944940675987,1.0235507189152997,1.0193161433830755,1.0150907635705153,1.0108745755772097,1.0066675755027474,1.0024697594467185,0.9982811235087118,0.9941016637883177
2010-02-25,1.0532824776271137,1.04726018366341,1.041261179092174,1.035285414728165,1.0293328414116956,1.0234034100086298,1.0174970714103866,1.0116137765339344,1.005753476321797,0.9999161217420485,0.9941016637883177
2010-02-26,1.0532824776271137,1.04726018366341,1.041261179092174,1.035285414728165,1.0293328414116956,1.0234034100086298,1.0174970714103866,1.0116137765339344,1.005753476321797,0.9999161217420485,0.9941016637883177
2010-03-01,1.0532824776271137,1.04726018366341,1.041261179092174,1.035285414728165,1.0293328414116956,1.0234034100086298,1.0174970714103866,1.0116137765339344,1.005753476321797,0.9999161217420485,0.9941016637883177
2010-03-02,1.0532824776271137,1.0474872185363258,1.0417126477971919,1.0359587313391596,1.0302254350746025,1.0245127248988433,1.0188205666901862,1.013148926309938,1.0074977696024434,1.001867062395106,0.996256770498422
2010-03-03,1.0532824776271137,1.0473504237145124,1.0414405663941648,1.0355528635035858,1.0296872728810225,1.023843752365489,1.0180222597968098,1.0122227530156513,1.0064451898635691,1.0006895281830392,0.9949557258175032
2010-03-04,1.013509248794945,1.0115022673298206,1.009474876411642,1.0074272703344445,1.0053596427970135,1.0032721869029297,1.0011650951606255,0.999038559483431,0.9968927711896356,0.9947279210025343,0.9925441990504897
2010-03-05,1.0194011638664249,1.0173629030352025,1.0153041927211766,1.0132252295237432,1.011126209428565,1.0090073278076754,1.006868779419592,1.0047107584094224,1.0025334583089809,1.0003370720368956,0.998121791898727
2010-03-08,1.0339926424258896,1.0305929503039022,1.0271779078304997,1.023747793983766,1.02030288609268,1.0168434598412373,1.0133697892725828,1.009882146793134,1.0063808031767154,1.0028660275686798,0.9993380874900438
2010-03-09,1.0359294335275482,1.0323644149211089,1.0287850706812018,1.0251916872822866,1.0215845493755291,1.017963939794198,1.014330139559071,1.010683427883825,1.0070240821804388,1.0033523780645717,0.9996685893609587
2010-03-10,1.0273250626219426,1.024910495917521,1.0224739503585376,1.0200156643129434,1.017535875576727,1.0150348213693958,1.0125127383295067,1.0099698625102114,1.0074064293748515,1.004822673792565,1.0022188300339443
