rebalance_date,rank,symbol,name,market_cap
2026-02-24,1,688701,卓锦股份,1427368464.36
2026-02-24,2,300929,华骐环保,1678088541.1999998
2026-02-24,3,002719,麦趣尔,1689152732.8999999
2026-02-24,4,002883,中设股份,1714605682.68
2026-02-24,5,688217,睿昂基因,1759460724.0
2026-02-24,6,002193,如意集团,1761345651.5
2026-02-24,7,600543,莫高股份,1762948800.0
2026-02-24,8,603729,龙韵股份,1780889039.9999998
2026-02-24,9,688296,和达科技,1793275729.2
2026-02-24,10,688659,元琛科技,1793600000.0
2026-02-24,11,301098,金埔园林,1809926097.36
2026-02-24,12,600455,博通股份,1848756800.0000002
2026-02-24,13,688021,奥福科技,1895060181.6000001
2026-02-24,14,300665,飞鹿股份,1907017308.3000002
2026-02-24,15,300621,维业股份,1961974680.9999998
2026-02-24,16,688671,碧兴物联,1963757689.0000002
2026-02-24,17,300417,南华仪器,1982115936.0
2026-02-24,18,688004,博汇科技,1984580640.0000002
2026-02-24,19,603880,南卫股份,1988608960.0
2026-02-24,20,688793,倍轻松,1989636449.85
2026-02-24,21,688067,爱威科技,1993080000.0
2026-02-24,22,002856,美芝股份,2003982686.4800003
2026-02-24,23,301372,科净源,2020114327.8
2026-02-24,24,300635,中达安,2024602440.0
2026-02-24,25,688156,路德科技,2047518811.8099997
2026-02-24,26,688329,艾隆科技,2048888000.0
2026-02-24,27,688565,力源科技,2049803700.0
2026-02-24,28,600561,江西长运,2059612032.0000002
2026-02-24,29,300649,杭州园林,2060402436.0400002
2026-02-24,30,300405,科隆股份,2070233044.8800004
2026-02-24,31,600883,博闻科技,2087017919.9999998
2026-02-24,32,688528,秦川物联,2091600000.0
2026-02-24,33,301167,建研设计,2108959999.9999998
2026-02-24,34,001211,双枪科技,2113200000.0
2026-02-24,35,688450,光格科技,2121240000.0
2026-02-24,36,688681,科汇股份,2123754300.0
2026-02-24,37,000692,惠天热电,2147316893.28
2026-02-24,38,300295,三六五网,2165388613.88
2026-02-24,39,600137,浪莎股份,2168924388.2799997
2026-02-24,40,688193,仁度生物,2185010011.1
2026-02-24,41,600448,华纺股份,2185474227.1400003
2026-02-24,42,688078,龙软科技,2186790000.0
2026-02-24,43,688178,万德斯,2188694483.0
2026-02-24,44,002494,华斯股份,2211040807.48
2026-02-24,45,600697,欧亚集团,2214506004.0
2026-02-24,46,300886,华业香料,2231972320.0
2026-02-24,47,603860,中公高科,2233113200.0
