rebalance_date,effective_date,exit_count,entry_count,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,turnover_frac_one_side,two_side_cost_rate,holding_count_after
2010-01-04,2010-01-05,0,100,0,0,1.0,0.0,0.5,0.003,100
2010-01-12,2010-01-13,5,5,2,2,0.05,0.05,0.05,0.00030000000000000003,100
2010-01-26,2010-01-27,9,9,1,1,0.09,0.09,0.09,0.00054,100
2010-02-09,2010-02-10,11,11,2,2,0.11,0.11,0.11,0.00066,100
2010-02-23,2010-02-24,6,6,2,2,0.06,0.06,0.06,0.00035999999999999997,100
2010-03-09,2010-03-10,5,5,1,1,0.05,0.05,0.05,0.00030000000000000003,100
2010-03-23,2010-03-24,7,7,4,4,0.07,0.07,0.07,0.00042000000000000007,100
2010-04-06,2010-04-07,7,7,3,3,0.07,0.07,0.07,0.00042000000000000007,100
2010-04-20,2010-04-21,12,12,4,4,0.12,0.12,0.12,0.0007199999999999999,100
2010-05-04,2010-05-05,12,12,6,6,0.12,0.12,0.12,0.0007199999999999999,100
2010-05-18,2010-05-19,11,11,5,5,0.11,0.11,0.11,0.00066,100
2010-06-01,2010-06-02,7,7,5,5,0.07,0.07,0.07,0.00042000000000000007,100
2010-06-17,2010-06-18,6,6,5,5,0.06,0.06,0.06,0.00035999999999999997,100
2010-06-29,2010-06-30,7,7,4,4,0.07,0.07,0.07,0.00042000000000000007,100
2010-07-13,2010-07-14,9,9,3,3,0.09,0.09,0.09,0.00054,100
2010-07-27,2010-07-28,4,4,3,3,0.04,0.04,0.04,0.00024,100
2010-08-10,2010-08-11,3,3,6,6,0.03,0.03,0.03,0.00017999999999999998,100
2010-08-24,2010-08-25,6,6,3,3,0.06,0.06,0.06,0.00035999999999999997,100
2010-09-07,2010-09-08,5,5,3,3,0.05,0.05,0.05,0.00030000000000000003,100
2010-09-21,2010-09-27,5,5,5,5,0.05,0.05,0.05,0.00030000000000000003,100
2010-10-08,2010-10-11,4,4,5,5,0.04,0.04,0.04,0.00024,100
2010-10-19,2010-10-20,4,4,5,5,0.04,0.04,0.04,0.00024,100
2010-11-02,2010-11-03,7,7,6,6,0.07,0.07,0.07,0.00042000000000000007,100
2010-11-16,2010-11-17,10,10,5,5,0.1,0.1,0.1,0.0006000000000000001,100
2010-11-30,2010-12-01,6,6,7,7,0.06,0.06,0.06,0.00035999999999999997,100
2010-12-14,2010-12-15,5,5,7,7,0.05,0.05,0.05,0.00030000000000000003,100
2010-12-28,2010-12-29,7,7,9,9,0.07,0.07,0.07,0.00042000000000000007,100
2011-01-11,2011-01-12,3,3,7,7,0.03,0.03,0.03,0.00017999999999999998,100
