date,nav_net,nav_ytd,drawdown,return_net,holding,next_holding
2026-01-05,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-06,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-07,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-08,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-09,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-12,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-13,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-14,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-15,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-16,29.303271925804093,1.0,0.0,0.0,cash,cash
2026-01-19,29.303271925804093,1.0,0.0,0.0,cash,long_microcap_short_zz1000
2026-01-20,29.634249544110283,1.0112949031474787,0.0,0.0112949031474787,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-01-21,29.82884834394288,1.0179357588282136,0.0,0.0065666856028507,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-01-22,29.97456521108084,1.0229084754418025,0.0,0.0048850986621327,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-01-23,29.523532550696647,1.007516588094676,-0.015047179407208122,-0.015047179407208,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-01-26,29.576193032615297,1.0093136734867778,-0.013290340515707433,0.0017836782176463,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-01-27,29.430245428972142,1.0043330827864392,-0.018159388744276916,-0.004934631156965,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-01-28,29.057834226445703,0.991624222032958,-0.03058362909284984,-0.0126540297947983,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-01-29,29.13975749283049,0.9944199257547887,-0.027850536358797306,0.0028193177009121,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-01-30,29.93849573357546,1.0216775727085956,-0.0012033361368672946,0.027410600137681,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-02,31.91514122846534,1.0891323436261486,0.0,0.0660235408111407,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-03,31.469183935257004,1.07391365766038,-0.013973220109412599,-0.0139732201094127,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-04,31.72284787272276,1.0825701632583908,-0.006025145067228177,0.0080607091047426,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-05,32.33364265690184,1.1034140739904623,0.0,0.0192540968146899,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-06,32.596018982186884,1.1123678975071463,0.0,0.0081146540793182,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-09,32.352561302816326,1.1040596894685697,-0.007468939059816049,-0.0074689390598159,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-10,32.36070663388834,1.104337656075597,-0.007219051762951123,0.0002517677347328,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-11,32.309585567093634,1.1025931045823665,-0.008787374165224904,-0.0015797265298642,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-12,31.60983451792624,1.078713482848003,-0.030254751808789115,-0.0216576918857193,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-13,32.05967415511154,1.094064657226219,-0.016454304661205676,0.0142310025992129,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-24,32.37846636824177,1.1049437226745213,-0.006674208100811541,0.0099437134509803,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-25,31.97634204861963,1.0912208755931336,-0.019010816440679257,-0.0124194986584218,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-26,31.584854440080683,1.0778610156590553,-0.031021105450293907,-0.0122430391801443,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-02-27,31.39723435209008,1.0714583146751633,-0.03677702576967812,-0.005940191630344,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-02,30.5793667348518,1.043547860876382,-0.06186805353246194,-0.0260490337482173,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-03,30.91913163054608,1.0551426376151218,-0.05144454457942216,0.0111109199428593,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-04,30.832230476179884,1.0521770590754205,-0.054110549726053336,-0.0028105949224117,long_microcap_short_zz1000,cash
2026-03-05,30.739733784751344,1.049020527898194,-0.05694821807687522,-0.003,cash,cash
2026-03-06,30.739733784751344,1.049020527898194,-0.05694821807687522,0.0,cash,long_microcap_short_zz1000
2026-03-09,30.527322478135623,1.0417718047128262,-0.06346469810260469,-0.0069099917423841,long_microcap_short_zz1000,cash
2026-03-10,30.435740510701216,1.0386464892986877,-0.06627430400829681,-0.003,cash,cash
2026-03-11,30.435740510701216,1.0386464892986877,-0.06627430400829681,0.0,cash,cash
2026-03-12,30.435740510701216,1.0386464892986877,-0.06627430400829681,0.0,cash,cash
2026-03-13,30.435740510701216,1.0386464892986877,-0.06627430400829681,0.0,cash,long_microcap_short_zz1000
2026-03-16,30.274977906297952,1.0331603236305562,-0.07120627451951544,-0.005282033612645,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-17,30.24757871469704,1.032225302051045,-0.0720468431673581,-0.0009050111179508,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-18,30.566759671044608,1.0431176337045114,-0.06225482051201503,0.0105522812043292,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-19,30.343667562074145,1.0355044187183033,-0.06909897252617281,-0.0072985200711933,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-20,29.50592007509085,1.006915546830397,-0.09479988672189443,-0.0276086430643068,long_microcap_short_zz1000,cash
2026-03-23,29.41740231486558,1.003894800189906,-0.09751548706172852,-0.003,cash,cash
2026-03-24,29.41740231486558,1.003894800189906,-0.09751548706172852,0.0,cash,long_microcap_short_zz1000
2026-03-25,29.59099902935361,1.0098189411843852,-0.09218978411061374,0.0059011571664269,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-26,29.491637023597537,1.0064281251005138,-0.09523807064555445,-0.0033578455954632,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-27,29.626382537629446,1.011026434612608,-0.09110426786106263,0.0045689397955119,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-30,29.93925282026097,1.0217034089594903,-0.08150584779625347,0.0105605293604149,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-03-31,30.00409583870941,1.0239162341556876,-0.0795165552239343,0.0021658195292224,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-04-01,29.695920740139304,1.013399487106061,-0.08897093364783071,-0.0102711009932359,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-04-02,29.363405312728208,1.0020521048665272,-0.09917203911389427,-0.0111973435786296,long_microcap_short_zz1000,long_microcap_short_zz1000
2026-04-03,28.52065097394772,0.9732923697449906,-0.12502655647814775,-0.0287008379922196,long_microcap_short_zz1000,cash
2026-04-07,28.43508902102587,0.9703724926357554,-0.12765147680871347,-0.003,cash,cash
2026-04-08,28.43508902102587,0.9703724926357554,-0.12765147680871347,0.0,cash,cash
2026-04-09,28.43508902102587,0.9703724926357554,-0.12765147680871347,0.0,cash,cash
