weight_mom5_hedged,weight_bias20_10_long_only,annual,max_dd,sharpe,vol,total_return,peak_date,trough_date,recovery_date
0.0,1.0,0.31146158836948357,-0.29675071150929533,1.5591615818340847,0.19976222605684185,76.95190489179191,2010-11-10,2012-12-13,2013-10-21
0.1,0.9,0.3045919406559352,-0.25939126895796066,1.6662152163539972,0.1828046807317254,70.64447748178709,2010-11-10,2012-12-13,2013-09-23
0.2,0.8,0.2972811683320631,-0.22066182377764462,1.787481168149245,0.16631289527926468,64.45956481776626,2010-11-10,2012-12-13,2013-08-13
0.3,0.7,0.28953785066849136,-0.18088378451942133,1.924605256525949,0.150440122558497,58.456858073956575,2010-12-21,2012-12-13,2013-08-06
0.4,0.6,0.28137093691223036,-0.1518554848902086,2.0780070042501437,0.1354042293104609,52.68748455976797,2010-12-21,2012-01-16,2013-05-20
0.5,0.5,0.2727897309573537,-0.13479648272301414,2.2448823765171295,0.12151626909761709,47.193669822564665,2015-08-17,2015-09-15,2015-10-12
0.6,0.4,0.26380387560917784,-0.12256853417263237,2.4154536747379396,0.10921504244447941,42.00868229051371,2015-08-17,2015-09-15,2015-10-12
0.7,0.30000000000000004,0.25442333647545556,-0.11029689727106044,2.5675144782371873,0.09909324314702148,37.157033536382144,2015-08-17,2015-09-15,2015-10-13
0.8,0.19999999999999996,0.24465838551850894,-0.09798293425118487,2.6629761676989383,0.09187404246652225,32.65490016439113,2015-08-17,2015-09-15,2015-10-15
0.9,0.09999999999999998,0.23451958430247433,-0.09307557656347863,2.6567687324389757,0.08827248734110923,28.510728508632955,2022-01-13,2022-07-15,2022-11-14
1.0,0.0,0.22401776697010978,-0.12171608663242198,2.52470719642899,0.08873019702520997,24.725980767637996,2021-04-16,2021-09-30,2022-01-05
