bias_n,bias_mom_day,annual,max_dd,sharpe,vol
20,20,0.17267740664102305,-0.12187714943793267,2.1878203474121753,0.07892668465455652
20,10,0.17046604915152885,-0.08401915332571197,2.089428364131094,0.0815850172601723
100,10,0.16603434788304328,-0.12900956899432742,2.057115705295245,0.08071220663750336
100,5,0.17525345639582968,-0.11423706028835384,2.0550243521792666,0.08528047670577761
40,10,0.16999074182740204,-0.09960302719761306,2.030102398079408,0.08373505789078567
40,5,0.16567794639196465,-0.11918306338367958,2.028156991246984,0.08168891614751177
100,15,0.17157956842159505,-0.19081602882896595,2.0266075018380145,0.08466344285510757
60,10,0.16607460904628546,-0.11483466871922542,2.025463867397409,0.0819933703678855
60,15,0.16765220114549617,-0.14969048776183308,2.020865038204606,0.08296061239915514
20,15,0.16006283706744262,-0.11377372196434345,2.008893320206998,0.0796771214565787
80,15,0.16347550565497815,-0.19651460489104855,1.9514284992505246,0.08377222415157069
60,20,0.16349593549864805,-0.1466974715746336,1.9415088957205875,0.084210757859014
80,10,0.158470492781992,-0.1138933715730126,1.9113966678830374,0.08290821860514468
80,5,0.16168972131321913,-0.12040604244876595,1.9085003842196147,0.08472082198680511
40,15,0.15610814320441135,-0.17239743167374622,1.8594639079184432,0.08395330640171711
60,5,0.15753090962170635,-0.11742815808086078,1.8547689453773681,0.08493290229724834
20,5,0.14324798907168135,-0.13677434102810634,1.7451013958008499,0.08208576843521632
80,20,0.14913576257941497,-0.24751315046139713,1.7278949808174935,0.0863106636890956
40,20,0.1450428043878247,-0.18358198861089145,1.7242782821564584,0.08411797903435156
20,30,0.14070165314012417,-0.25984646920668375,1.6925577597971806,0.08312960212181147
100,20,0.1412679782173918,-0.2308934880830222,1.6317442992475364,0.08657482565285271
60,30,0.14031717010160993,-0.15894258160939115,1.6148033310724492,0.08689427833197509
100,30,0.1291131279950164,-0.25416236948457066,1.47024468798302,0.08781744225999716
80,30,0.12564668403161505,-0.19740156559521715,1.4356835200309344,0.08751697869242643
80,40,0.13120662975936415,-0.19100520699946558,1.4303475296830914,0.09173059486349752
100,40,0.12735397935767745,-0.22964769814157743,1.378975797913735,0.0923540351834691
40,40,0.11978103996918366,-0.1761450771397292,1.3738566693701806,0.08718597990581876
60,40,0.12318474479721053,-0.16940969312185153,1.3704747095570926,0.08988472675794297
40,30,0.11677387437241804,-0.24480698808971202,1.348235171570811,0.08661239287828869
20,40,0.11030938747782715,-0.22610194825439023,1.2797329363412906,0.08619719344975026
