rebalance_date,effective_date,exit_count,entry_count,blocked_entry_count,blocked_exit_count,buy_turnover_frac,sell_turnover_frac,turnover_frac_one_side,two_side_cost_rate,holding_count_after
2016-03-01,2016-03-02,12,12,13,13,0.12,0.12,0.12,0.0007199999999999999,100
2016-04-01,2016-04-05,10,10,16,16,0.1,0.1,0.1,0.0006000000000000001,100
2016-05-03,2016-05-04,14,14,16,16,0.14,0.14,0.14,0.0008400000000000001,100
2016-06-01,2016-06-02,13,13,18,18,0.13,0.13,0.13,0.0007800000000000001,100
2016-07-01,2016-07-04,19,19,16,16,0.19,0.19,0.19,0.00114,100
2016-08-01,2016-08-02,9,9,17,17,0.09,0.09,0.09,0.00054,100
2016-09-01,2016-09-02,11,11,16,16,0.11,0.11,0.11,0.00066,100
2016-10-10,2016-10-11,13,13,13,13,0.13,0.13,0.13,0.0007800000000000001,100
2016-11-01,2016-11-02,17,17,9,9,0.17,0.17,0.17,0.00102,100
2016-12-01,2016-12-02,15,15,13,13,0.15,0.15,0.15,0.0009,100
2017-01-03,2017-01-04,26,18,12,4,0.18,0.26,0.22,0.00132,92
2017-02-03,2017-02-06,25,22,16,5,0.22,0.25,0.235,0.00141,89
2017-03-01,2017-03-02,12,23,10,10,0.23,0.12,0.175,0.00105,100
2017-04-05,2017-04-06,15,15,9,9,0.15,0.15,0.15,0.0009,100
2017-05-02,2017-05-03,23,23,8,8,0.23,0.23,0.23,0.0013800000000000002,100
2017-06-01,2017-06-02,28,28,9,9,0.28,0.28,0.28,0.0016800000000000003,100
2017-07-03,2017-07-04,20,20,10,10,0.2,0.2,0.2,0.0012000000000000001,100
2017-08-01,2017-08-02,23,23,10,10,0.23,0.23,0.23,0.0013800000000000002,100
2017-09-01,2017-09-04,21,21,9,9,0.21,0.21,0.21,0.00126,100
2017-10-09,2017-10-10,21,21,5,5,0.21,0.21,0.21,0.00126,100
2017-11-01,2017-11-02,24,22,7,5,0.22,0.24,0.23,0.0013800000000000002,98
2017-12-01,2017-12-04,17,19,7,7,0.19,0.17,0.18,0.00108,100
2018-01-02,2018-01-03,15,15,5,5,0.15,0.15,0.15,0.0009,100
2018-02-01,2018-02-02,18,18,2,2,0.18,0.18,0.18,0.00108,100
2018-03-01,2018-03-02,12,12,2,2,0.12,0.12,0.12,0.0007199999999999999,100
2018-04-02,2018-04-03,22,22,4,4,0.22,0.22,0.22,0.00132,100
2018-05-02,2018-05-03,16,16,6,6,0.16,0.16,0.16,0.00096,100
2018-06-01,2018-06-04,23,23,5,5,0.23,0.23,0.23,0.0013800000000000002,100
2018-07-02,2018-07-03,14,14,6,6,0.14,0.14,0.14,0.0008400000000000001,100
2018-08-01,2018-08-02,12,12,5,5,0.12,0.12,0.12,0.0007199999999999999,100
2018-09-03,2018-09-04,14,14,5,5,0.14,0.14,0.14,0.0008400000000000001,100
2018-10-08,2018-10-09,10,10,4,4,0.1,0.1,0.1,0.0006000000000000001,100
2018-11-01,2018-11-02,12,12,3,3,0.12,0.12,0.12,0.0007199999999999999,100
2018-12-03,2018-12-04,12,12,2,2,0.12,0.12,0.12,0.0007199999999999999,100
2019-01-02,2019-01-03,15,15,1,1,0.15,0.15,0.15,0.0009,100
2019-02-01,2019-02-11,18,18,2,2,0.18,0.18,0.18,0.00108,100
2019-03-01,2019-03-04,10,10,1,1,0.1,0.1,0.1,0.0006000000000000001,100
2019-04-01,2019-04-02,12,12,2,2,0.12,0.12,0.12,0.0007199999999999999,100
2019-05-06,2019-05-07,16,16,2,2,0.16,0.16,0.16,0.00096,100
2019-06-03,2019-06-04,19,19,3,3,0.19,0.19,0.19,0.00114,100
2019-07-01,2019-07-02,13,13,2,2,0.13,0.13,0.13,0.0007800000000000001,100
2019-08-01,2019-08-02,19,19,2,2,0.19,0.19,0.19,0.00114,100
2019-09-02,2019-09-03,14,14,2,2,0.14,0.14,0.14,0.0008400000000000001,100
2019-10-08,2019-10-09,15,15,2,2,0.15,0.15,0.15,0.0009,100
2019-11-01,2019-11-04,20,20,2,2,0.2,0.2,0.2,0.0012000000000000001,100
2019-12-02,2019-12-03,19,19,2,2,0.19,0.19,0.19,0.00114,100
2020-01-02,2020-01-03,16,16,2,2,0.16,0.16,0.16,0.00096,100
2020-02-03,2020-02-04,13,13,1,1,0.13,0.13,0.13,0.0007800000000000001,100
2020-03-02,2020-03-03,15,15,1,1,0.15,0.15,0.15,0.0009,100
2020-04-01,2020-04-02,18,18,2,2,0.18,0.18,0.18,0.00108,100
2020-05-06,2020-05-07,16,16,4,4,0.16,0.16,0.16,0.00096,100
2020-06-01,2020-06-02,16,16,2,2,0.16,0.16,0.16,0.00096,100
