rebalance_date,removed_count,added_count,removed_symbols,added_symbols
2023-03-21,9,9,"000571,000889,002021,002052,002316,600589,600671,603030,688309","002830,002862,300611,300669,300886,301098,600689,603037,688528"
2023-04-04,7,7,"000571,002021,002052,002316,600589,600671,603030","000679,002883,002921,003003,300931,301131,603332"
2023-04-18,6,6,"000889,002021,002052,600234,600671,603030","002778,003003,300509,300844,301125,605303"
2023-05-04,7,7,"000692,002021,002052,300209,300220,600234,600671","002494,002719,301007,600302,600689,603356,688655"
2023-05-16,13,13,"000007,000637,000692,000889,002021,002052,002800,300209,300220,600234,600671,603030,688309","002207,002494,002715,002778,300749,300823,300836,301007,301113,301125,301131,688013,688448"
2023-05-30,16,16,"000007,000637,000692,000889,002021,002052,002800,300010,300209,300220,600234,600589,600671,603030,603880,688309","000679,000890,002207,002883,002890,300823,300931,301105,600250,600302,600593,600689,603037,605303,688193,688251"
2023-06-13,15,15,"000007,000637,000692,000889,002021,002052,002800,300209,300220,600234,600589,600671,603030,603880,688309","002209,002316,002778,003003,300013,300329,300521,300749,301105,600883,603226,603356,605303,605318,688528"
2023-06-27,13,13,"000007,000692,000889,002021,002052,002800,300209,300220,600234,600671,603030,603880,688309","002778,003003,300749,300844,300992,301027,301105,301131,600302,600689,603038,603226,605069"
2023-07-11,15,15,"000007,000637,000692,000889,002021,002052,002800,300209,300220,600234,600530,600671,603030,603880,688309","002188,002883,300254,300269,300521,300931,300992,301027,301156,301336,600302,600883,603860,605303,605318"
2023-07-25,17,17,"000007,000637,000692,000889,002021,002052,002700,002800,300209,300220,600234,600530,600589,600671,603030,603880,688309","002209,002890,002899,300269,300635,301037,301105,301131,301156,603320,603332,603716,603725,603860,605303,688171,688616"
2023-08-08,14,14,"000007,000637,000692,000889,002021,002052,002800,300209,300220,600530,600589,600671,603030,603880","002247,002836,002883,002890,300640,300886,301036,301336,600889,603316,603499,688021,688109,688328"
2023-08-22,15,15,"000007,000637,000692,000889,002021,002052,002800,300209,300220,600530,600671,600847,603030,603880,688309","002247,002494,002883,002899,002921,300449,300521,300640,300992,301131,600156,600302,600883,603316,603499"
2023-09-05,15,15,"000007,000637,000692,002021,002052,002700,002800,300209,300220,600530,600671,600847,603030,603880,688309","002494,003017,300521,300823,300920,300984,300995,301131,600778,603332,605303,688171,688379,688616,688655"
2023-09-19,12,12,"000007,000692,002021,002052,002700,002800,300209,300220,600671,600847,603880,688309","002828,003017,300640,300823,300923,300931,300984,600543,600883,688171,688193,688616"
2023-10-09,12,12,"000007,000692,002021,002052,002700,002800,300209,300220,600530,600671,600847,603880","000702,002780,002862,300640,300961,600302,600678,600778,603608,688092,688500,688679"
2023-10-17,14,14,"000007,000692,000889,002021,002052,002800,300209,300220,600234,600530,600671,600847,603880,688309","002629,300210,300640,300703,300749,300923,301024,301167,600678,600778,603499,688021,688193,688659"
2023-10-31,13,13,"000007,000692,000889,002021,002052,002800,300209,300220,600530,600671,600847,603880,688309","000890,002899,003017,300594,300640,300703,300923,300984,600156,600678,600889,603499,688335"
