top_n,net_annual,net_max_dd,net_sharpe,net_vol,net_total_return,entry_exit_cost_sum,rebalance_cost_sum,total_cost_sum,entry_days,rebalance_events,avg_turnover_frac_one_side
10,6.677190284887673,-0.29140847680668075,17.98378011996877,0.37128958652433014,192492792212777.9,0.81,0.4698,1.2798,270,420,0.2254761904761905
20,3.439377818440902,-0.15434413360191201,9.719454390276184,0.35386531798346865,27910479063.16686,0.6900000000000001,0.4077,1.0977000000000001,230,420,0.19607142857142856
30,2.1434750309336277,-0.21327865877462515,8.285839069652802,0.25869136642831814,106329055.6059768,0.588,0.37260000000000004,0.9606000000000001,196,420,0.18087301587301588
50,1.2663958749989321,-0.14256357154639498,6.714559056762433,0.1886044733977739,542018.8018327667,0.624,0.31476,0.93876,208,420,0.15685714285714283
100,0.6989310506112569,-0.15894217837021773,5.140746018683313,0.13595907054561557,5178.900346703397,0.549,0.2484,0.7974,183,420,0.12835714285714284
